PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,OID,OTO,OT,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,RN,PMC,AB,PS,FPS
13485209,NLM,MEDLINE,20000701,20181201,0370-1514 (Print) 0370-1514 (Linking),13,17,1957 Sep 15,"[Effects of 2,4-diamino-5-p-chlorphenyl-6-ethylpirimidine in myelocytic leukemia].",537-8,"['SCAFI, M', 'MARTINELLI, G P']","['SCAFI M', 'MARTINELLI GP']",['ita'],['Journal Article'],Italy,Prog Med (Napoli),Il Progresso medico,2984827R,OM,"['Antimalarials/*therapeutic use', 'Humans', '*Leukemia', 'Leukemia, Myeloid/*therapy']",['CLML: 5833:28154:43:291'],['NLM'],"['*ANTIMALARIALS/therapeutic use', '*LEUKEMIA, MYELOCYTIC/therapy']",1957/09/15 00:00,1957/09/15 00:01,['1957/09/15 00:00'],"['1957/09/15 00:00 [pubmed]', '1957/09/15 00:01 [medline]', '1957/09/15 00:00 [entrez]']",,ppublish,Prog Med (Napoli). 1957 Sep 15;13(17):537-8.,"Sull'azione della 2,4-diamino-5-p-clorofenil-6-etil-pirimidina nella leucemia a plastrine.",['0 (Antimalarials)'],,,,
13485206,NLM,MEDLINE,20000701,20181201,0370-1514 (Print) 0370-1514 (Linking),13,17,1957 Sep 15,[Pathogenesis & working hypothesis regarding leukemic & erythremic diseases].,518-28,"['CAJANO, A']",['CAJANO A'],['ita'],['Journal Article'],Italy,Prog Med (Napoli),Il Progresso medico,2984827R,OM,"['Humans', 'Leukemia/*etiology', 'Polycythemia Vera/*etiology', '*Work']",['CLML: 5833:28151:290:404'],['NLM'],"['*LEUKEMIA/etiology and pathogenesis', '*POLYCYTHEMIA VERA/etiology and pathogenesis']",1957/09/15 00:00,1957/09/15 00:01,['1957/09/15 00:00'],"['1957/09/15 00:00 [pubmed]', '1957/09/15 00:01 [medline]', '1957/09/15 00:00 [entrez]']",,ppublish,Prog Med (Napoli). 1957 Sep 15;13(17):518-28.,Prospettive patogenetiche ed ipotesi di lavoro in tema di processi leucemici ed eritremici.,,,,,
13484977,NLM,MEDLINE,20000701,20181201,0035-9157 (Print) 0035-9157 (Linking),50,9,1957 Sep,Eosinophilic leukaemia in eosinophilic family; larva migrans syndrome.,714-6,"['CUNNINGHAM, A A', 'ELLIS, F R']","['CUNNINGHAM AA', 'ELLIS FR']",['eng'],['Journal Article'],England,Proc R Soc Med,Proceedings of the Royal Society of Medicine,7505890,OM,"['*Ancylostomiasis', 'Child', '*Eosinophilia', '*Hookworm Infections', 'Humans', '*Hypereosinophilic Syndrome', 'Infant', '*Larva Migrans', '*Leukemia']",['CLML: 5833:27922:242:290'],['NLM'],"['*HOOKWORM INFECTION/in infant and child', '*LEUKEMIA/in infant and child']",1957/09/01 00:00,1957/09/01 00:01,['1957/09/01 00:00'],"['1957/09/01 00:00 [pubmed]', '1957/09/01 00:01 [medline]', '1957/09/01 00:00 [entrez]']",,ppublish,Proc R Soc Med. 1957 Sep;50(9):714-6.,,"['Eosinophilia, Familial']",PMC1889444,,,
13484971,NLM,MEDLINE,20000701,20181201,0035-9157 (Print) 0035-9157 (Linking),50,9,1957 Sep,Acute monocytic leukaemia.,681-2,"['COOK, H P']",['COOK HP'],['eng'],['Journal Article'],England,Proc R Soc Med,Proceedings of the Royal Society of Medicine,7505890,OM,"['*Gingiva', 'Humans', '*Leukemia', '*Leukemia, Monocytic, Acute', '*Leukemia, Myeloid']",['CLML: 5833:27916:213:290'],['NLM'],"['*GINGIVA', '*LEUKEMIA, MYELOCYTIC/manifestations']",1957/09/01 00:00,1957/09/01 00:01,['1957/09/01 00:00'],"['1957/09/01 00:00 [pubmed]', '1957/09/01 00:01 [medline]', '1957/09/01 00:00 [entrez]']",,ppublish,Proc R Soc Med. 1957 Sep;50(9):681-2.,,,PMC1889466,,,
13484919,NLM,MEDLINE,20000701,20181201,0552-2080 (Print) 0552-2080 (Linking),2,4,1957 Jul-Aug,[Present state of the problem of etiology etiology of leukosis].,47-62,"[""BERGOL'TS, V M""]","[""BERGOL'TS VM""]",['rus'],['Journal Article'],Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,OM,"['Humans', 'Leukemia/*etiology']",['CLML: 5833:27864:290'],['NLM'],['*LEUKEMIA/etiology and pathogenesis'],1957/07/01 00:00,1957/07/01 00:01,['1957/07/01 00:00'],"['1957/07/01 00:00 [pubmed]', '1957/07/01 00:01 [medline]', '1957/07/01 00:00 [entrez]']",,ppublish,Probl Gematol Pereliv Krovi. 1957 Jul-Aug;2(4):47-62.,Sovremennoe sostoianie voprosa ob etlologli leikozov.,,,,,
13484917,NLM,MEDLINE,20000701,20181201,0552-2080 (Print) 0552-2080 (Linking),2,4,1957 Jul-Aug,[Vascular reflexes in leukosis].,42-3,"['ALLAVERDIAN, S N']",['ALLAVERDIAN SN'],['rus'],['Journal Article'],Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,OM,"['*Blood Vessels', 'Humans', 'Leukemia/*physiology', '*Reflex']",['CLML: 5833:27862:83:290'],['NLM'],"['*BLOOD VESSELS', '*LEUKEMIA/physiology']",1957/07/01 00:00,1957/07/01 00:01,['1957/07/01 00:00'],"['1957/07/01 00:00 [pubmed]', '1957/07/01 00:01 [medline]', '1957/07/01 00:00 [entrez]']",,ppublish,Probl Gematol Pereliv Krovi. 1957 Jul-Aug;2(4):42-3.,K voprosu o sosudistykh refleksakh pri leikozakh.,,,,,
13484916,NLM,MEDLINE,20000701,20181201,0552-2080 (Print) 0552-2080 (Linking),2,4,1957 Jul-Aug,[Result of application of new drugs in the treatment of leukemia].,30-41,"[""DUL'TSIN, M S"", 'BIUR, L S', 'MOKEEVA, R A']","[""DUL'TSIN MS"", 'BIUR LS', 'MOKEEVA RA']",['rus'],['Journal Article'],Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,OM,"['Busulfan/*therapeutic use', 'Humans', 'Leukemia/*therapy']",['CLML: 5833:27861:97:290'],['NLM'],"['*BUSULFAN/therapeutic use', '*LEUKEMIA/therapy']",1957/07/01 00:00,1957/07/01 00:01,['1957/07/01 00:00'],"['1957/07/01 00:00 [pubmed]', '1957/07/01 00:01 [medline]', '1957/07/01 00:00 [entrez]']",,ppublish,Probl Gematol Pereliv Krovi. 1957 Jul-Aug;2(4):30-41.,Opyt primeneniia novykh khimioterapevticheskikh preparatov dlia lecheniia leikozov.,['G1LN9045DK (Busulfan)'],,,,
13484858,NLM,MEDLINE,20000701,20181201,0032-7867 (Print) 0032-7867 (Linking),65,68,1957 Sep 25,[Bone manifestations of leukemias; spontaneous femoral fracture; first symptom of an atypical myeloid leukemia].,1542-3,"['OLMER, J', 'MONGIN, M']","['OLMER J', 'MONGIN M']",['fre'],['Journal Article'],France,Presse Med,La Presse medicale,0312556,OM,"['*Femoral Fractures', '*Femoral Neck Fractures', '*Femur', '*Femur Neck', '*Fractures, Spontaneous', 'Humans', '*Leukemia', '*Leukemia, Myeloid']",['CLML: 5833:27803:196:290'],['NLM'],"['*FEMUR NECK/fractures', '*LEUKEMIA, MYELOCYTIC/manifestations']",1957/09/25 00:00,1957/09/25 00:01,['1957/09/25 00:00'],"['1957/09/25 00:00 [pubmed]', '1957/09/25 00:01 [medline]', '1957/09/25 00:00 [entrez]']",,ppublish,Presse Med. 1957 Sep 25;65(68):1542-3.,"A propos des manifestations osseuses des leucemies; fracture spontanee du femur, symptme initial d'une leucemie myeloide atypique.",,,,,
13484554,NLM,MEDLINE,20000701,20181201,0860-8857 (Print) 0860-8857 (Linking),12,32,1957 Aug 5,[Case of acute leukemia with megaloblastic reaction].,1244-6,"['MIEDZIANOWSKI, A', 'KALINOWSKAANKUDOWICZ, M']","['MIEDZIANOWSKI A', 'KALINOWSKAANKUDOWICZ M']",['pol'],"['Case Reports', 'Journal Article']",Poland,Pol Tyg Lek (Wars),Polski tygodnik lekarski,9706227,OM,"['*Acute Disease', '*Anemia, Megaloblastic', 'Humans', '*Leukemia', '*Medical Records']",['CLML: 5833:27500:289'],['NLM'],['*LEUKEMIA/case reports'],1957/08/05 00:00,1957/08/05 00:01,['1957/08/05 00:00'],"['1957/08/05 00:00 [pubmed]', '1957/08/05 00:01 [medline]', '1957/08/05 00:00 [entrez]']",,ppublish,Pol Tyg Lek (Wars). 1957 Aug 5;12(32):1244-6.,Przypadek ostrej biallaczki z odczynem megaloblastycznym.,,,,,
13484551,NLM,MEDLINE,20000701,20181201,0860-8857 (Print) 0860-8857 (Linking),12,32,1957 Aug 5,[Subacute course of erythremic myelosis].,1237-9,"['RASZEJA-WANIC, B']",['RASZEJA-WANIC B'],['pol'],"['Case Reports', 'Journal Article']",Poland,Pol Tyg Lek (Wars),Polski tygodnik lekarski,9706227,OM,"['*Leukemia, Erythroblastic, Acute', '*Medical Records', '*Polycythemia Vera']",['CLML: 5833:27497:404'],['NLM'],['*POLYCYTHEMIA VERA/case reports'],1957/08/05 00:00,1957/08/05 00:01,['1957/08/05 00:00'],"['1957/08/05 00:00 [pubmed]', '1957/08/05 00:01 [medline]', '1957/08/05 00:00 [entrez]']",,ppublish,Pol Tyg Lek (Wars). 1957 Aug 5;12(32):1237-9.,Szpikowica czerwonokrwinkowa o podostrym przebiegu.,,,,,
13484316,NLM,MEDLINE,20000701,20181201,0031-4005 (Print) 0031-4005 (Linking),20,"5, Part 1",1957 Nov,Intracranial complications of leukemia in children.,757-81,"['SULLIVAN, M P']",['SULLIVAN MP'],['eng'],['Journal Article'],United States,Pediatrics,Pediatrics,0376422,OM,"['*Brain', '*Brain Diseases', 'Child', 'Humans', 'Infant', '*Leukemia']",['CLML: 5833:27262:90:290'],['NLM'],"['*BRAIN/pathology', '*LEUKEMIA/in infant and child']",1957/11/01 00:00,1957/11/01 00:01,['1957/11/01 00:00'],"['1957/11/01 00:00 [pubmed]', '1957/11/01 00:01 [medline]', '1957/11/01 00:00 [entrez]']",,ppublish,"Pediatrics. 1957 Nov;20(5, Part 1):757-81.",,,,,,
13484278,NLM,MEDLINE,20000701,20181201,0031-2991 (Print) 0031-2991 (Linking),1,3,1957 May-Jun,[Leukemoid reaction in mice].,51-6,"['ZHAROVA, E I', 'KHOKHLOVA, M P', 'DVOLAITSKAIA-BARYSHEVA, K M']","['ZHAROVA EI', 'KHOKHLOVA MP', 'DVOLAITSKAIA-BARYSHEVA KM']",['rus'],['Journal Article'],Russia (Federation),Patol Fiziol Eksp Ter,Patologicheskaia fiziologiia i eksperimental'naia terapiia,0376421,OM,"['Animals', '*Leukemia, Experimental', '*Leukemoid Reaction', 'Mice', '*Paratyphoid Fever']",['CLML: 5833:27224:290:377'],['NLM'],"['*LEUKEMIA/experimental', '*PARATYPHOID FEVERS/experimental']",1957/05/01 00:00,1957/05/01 00:01,['1957/05/01 00:00'],"['1957/05/01 00:00 [pubmed]', '1957/05/01 00:01 [medline]', '1957/05/01 00:00 [entrez]']",,ppublish,Patol Fiziol Eksp Ter. 1957 May-Jun;1(3):51-6.,K voprosu o leikemoidnoi reaktsii u myshei.,,,,,
13484277,NLM,MEDLINE,20000701,20181201,0031-2991 (Print) 0031-2991 (Linking),1,3,1957 May-Jun,[Effect of repeated injections of human leukemic blood on hemopoiesis in rabbits].,48-51,"['KAKHETELIDZE, M G', 'RAMONOVATSKHOVREBOVA, O D', 'ROZANOVA, N S']","['KAKHETELIDZE MG', 'RAMONOVATSKHOVREBOVA OD', 'ROZANOVA NS']",['rus'],['Journal Article'],Russia (Federation),Patol Fiziol Eksp Ter,Patologicheskaia fiziologiia i eksperimental'naia terapiia,0376421,OM,"['Animals', '*Hematopoiesis', 'Humans', 'Leukemia/*blood', 'Rabbits']",['CLML: 5833:27223:233:289'],['NLM'],"['*HEMOPOIESIS', '*LEUKEMIA/blood in']",1957/05/01 00:00,1957/05/01 00:01,['1957/05/01 00:00'],"['1957/05/01 00:00 [pubmed]', '1957/05/01 00:01 [medline]', '1957/05/01 00:00 [entrez]']",,ppublish,Patol Fiziol Eksp Ter. 1957 May-Jun;1(3):48-51.,O vliianii povtornogo vvedeniia krovi bol'nykh ostrym leikozom na krovetvorenie u krolikov.,,,,,
13483983,NLM,MEDLINE,20000701,20200923,0029-1420 (Print) 0029-1420 (Linking),58,34,1957 Aug 22,Myleran in chronic myelogenous living chemistry.,1254,"['JOSEPHSEN, J O']",['JOSEPHSEN JO'],['nor'],['Journal Article'],Sweden,Nord Med,Nordisk medicin,0401001,OM,"['Busulfan/*therapeutic use', '*Leukemia', 'Leukemia, Myeloid/*therapy']",['CLML: 5833:26929:97:291'],['NLM'],"['*BUSULFAN/therapeutic use', '*LEUKEMIA, MYELOCYTIC/therapy']",1957/08/22 00:00,1957/08/22 00:01,['1957/08/22 00:00'],"['1957/08/22 00:00 [pubmed]', '1957/08/22 00:01 [medline]', '1957/08/22 00:00 [entrez]']",,ppublish,Nord Med. 1957 Aug 22;58(34):1254.,Myleran ved kronisk myelogen levkemi.,['G1LN9045DK (Busulfan)'],,,,
13483982,NLM,MEDLINE,20000701,20181201,0029-1420 (Print) 0029-1420 (Linking),58,34,1957 Aug 22,[Therapy of leukemia].,1250-3,"['NORDENSON, N G']",['NORDENSON NG'],['swe'],['Journal Article'],Sweden,Nord Med,Nordisk medicin,0401001,OM,"['Antineoplastic Agents/*therapeutic use', 'Humans', 'Leukemia/*therapy']",['CLML: 5833:26928:148:290'],['NLM'],"['*CYTOTOXIC DRUGS/therapeutic use', '*LEUKEMIA/therapy']",1957/08/22 00:00,1957/08/22 00:01,['1957/08/22 00:00'],"['1957/08/22 00:00 [pubmed]', '1957/08/22 00:01 [medline]', '1957/08/22 00:00 [entrez]']",,ppublish,Nord Med. 1957 Aug 22;58(34):1250-3.,Leukemiernas behandling.,['0 (Antineoplastic Agents)'],,,,
13483981,NLM,MEDLINE,20000701,20181201,0029-1420 (Print) 0029-1420 (Linking),58,34,1957 Aug 22,[Etiological factors in leukemia in man].,1246-9,"['ARNESEN, K']",['ARNESEN K'],['nor'],['Journal Article'],Sweden,Nord Med,Nordisk medicin,0401001,OM,"['Humans', '*Leukemia', 'Male']",['CLML: 5833:26927:289'],['NLM'],['*LEUKEMIA'],1957/08/22 00:00,1957/08/22 00:01,['1957/08/22 00:00'],"['1957/08/22 00:00 [pubmed]', '1957/08/22 00:01 [medline]', '1957/08/22 00:00 [entrez]']",,ppublish,Nord Med. 1957 Aug 22;58(34):1246-9.,Arsaksforholdene ved levkemi hos menneske.,,,,,
13483311,NLM,MEDLINE,20000701,20181201,0026-4806 (Print) 0026-4806 (Linking),48,75,1957 Sep 19,[Herpes zoster in leukemias and lymphomas].,2954-9,"['MAURO, G', 'PRATO, V']","['MAURO G', 'PRATO V']",['ita'],['Journal Article'],Italy,Minerva Med,Minerva medica,0400732,OM,"['Herpes Zoster/*complications', 'Hodgkin Disease/*complications', 'Humans', 'Leukemia/*complications', '*Lymphoma']",['CLML: 5833:26257:238:241:289'],['NLM'],"['*HERPES ZOSTER/complications', ""*HODGKIN'S DISEASE/complications"", '*LEUKEMIA/complications']",1957/09/19 00:00,1957/09/19 00:01,['1957/09/19 00:00'],"['1957/09/19 00:00 [pubmed]', '1957/09/19 00:01 [medline]', '1957/09/19 00:00 [entrez]']",,ppublish,Minerva Med. 1957 Sep 19;48(75):2954-9.,L'herpes zoster nelle leucemie e nel linfogranuloma.,,,,,
13483258,NLM,MEDLINE,20000701,20181201,0026-4806 (Print) 0026-4806 (Linking),48,65-66,1957 Aug 18,[Manifestations of acute myeloid leukemia after trauma].,2628-31,"['LA FAUCI, F']",['LA FAUCI F'],['ita'],['Journal Article'],Italy,Minerva Med,Minerva medica,0400732,OM,"['Humans', '*Leukemia', '*Leukemia, Myeloid', '*Leukemia, Myeloid, Acute', 'Wounds and Injuries/*complications']",['CLML: 5833:26204:290:548'],['NLM'],"['*LEUKEMIA, MYELOCYTIC/manifestations', '*WOUNDS AND INJURIES/complications']",1957/08/18 00:00,1957/08/18 00:01,['1957/08/18 00:00'],"['1957/08/18 00:00 [pubmed]', '1957/08/18 00:01 [medline]', '1957/08/18 00:00 [entrez]']",,ppublish,Minerva Med. 1957 Aug 18;48(65-66):2628-31.,Leucemia mieloide acuta manifestatasi dopo trauma.,,,,,
13482894,NLM,MEDLINE,20000701,20181201,0342-1147 (Print) 0342-1147 (Linking),2,40,1957 Oct 5,[Treatment of chronic myelocytic leukemia with myleran].,1460-1; discussion 1461-2,"['KANZOW, U', 'WOLFERS, H']","['KANZOW U', 'WOLFERS H']",['ger'],['Journal Article'],Germany,Medizinische,Die Medizinische,18630160R,OM,"['Busulfan/*therapeutic use', '*Leukemia', '*Leukemia, Myelogenous, Chronic, BCR-ABL Positive', 'Leukemia, Myeloid/*therapy']",['CLML: 5833:25840:97:291'],['NLM'],"['*BUSULFAN/therapeutic use', '*LEUKEMIA, MYELOCYTIC/therapy']",1957/10/05 00:00,1957/10/05 00:01,['1957/10/05 00:00'],"['1957/10/05 00:00 [pubmed]', '1957/10/05 00:01 [medline]', '1957/10/05 00:00 [entrez]']",,ppublish,Medizinische. 1957 Oct 5;2(40):1460-1; discussion 1461-2.,Zur Behandlung der chronisch-myeloischen Leukamie mit Myleran.,['G1LN9045DK (Busulfan)'],,,,
13482674,NLM,MEDLINE,20000701,20181201,0025-7869 (Print) 0025-7869 (Linking),9,6,1957 Jun,[Leukemic reticulosis with unusual blood protein picture].,906-15,"['BRUCKNER, I', 'PURICE, S', 'VELICAN, E']","['BRUCKNER I', 'PURICE S', 'VELICAN E']","['ita', 'rum']","['Case Reports', 'Journal Article']",Romania,Med Interna (Bucur),Medicina interna,7503144,OM,"['*Blood Proteins', '*Globulins', 'Humans', '*Leukemia', '*Medical Records', 'Occupational Health/*legislation & jurisprudence', '*Serum Globulins']",['CLML: 5833:25620:258:289:460'],['NLM'],"['*INDUSTRIAL HYGIENE/legislation', '*LEUKEMIA/case reports', '*SERUM GLOBULIN']",1957/06/01 00:00,1957/06/01 00:01,['1957/06/01 00:00'],"['1957/06/01 00:00 [pubmed]', '1957/06/01 00:01 [medline]', '1957/06/01 00:00 [entrez]']",,ppublish,Med Interna (Bucur). 1957 Jun;9(6):906-15.,Reticuloza leucemica cu aspect deosebit al proteinelor plasmatice.,"['0 (Blood Proteins)', '0 (Globulins)', '0 (Serum Globulins)']",,,,
13482672,NLM,MEDLINE,20000701,20181201,0025-7869 (Print) 0025-7869 (Linking),9,6,1957 Jun,[Clinical and therapeutic aspects of several unusual cases of malignant blood diseases].,890-5,"['DULCE, M', 'MARINESCU, S', 'GROZEA, P']","['DULCE M', 'MARINESCU S', 'GROZEA P']",['rum'],"['Case Reports', 'Journal Article']",Romania,Med Interna (Bucur),Medicina interna,7503144,OM,"['*Hematologic Diseases', 'Humans', '*Leukemia', '*Leukemia, Myeloid', '*Lymphoid Tissue', '*Medical Records', '*Neoplasms']",['CLML: 5833:25618:290:307'],['NLM'],"['*LEUKEMIA, MYELOCYTIC/case reports', '*LYMPHOID TISSUE/neoplasms']",1957/06/01 00:00,1957/06/01 00:01,['1957/06/01 00:00'],"['1957/06/01 00:00 [pubmed]', '1957/06/01 00:01 [medline]', '1957/06/01 00:00 [entrez]']",,ppublish,Med Interna (Bucur). 1957 Jun;9(6):890-5.,Consideratiuni clinice si terapeutice in legatura cu unele cazuri particulare de hemopatii maligne.,,,,,
13482665,NLM,MEDLINE,20000701,20181201,0025-7869 (Print) 0025-7869 (Linking),9,6,1957 Jun,[A problem in the leukemias: etio-pathogenesis and classification].,803-14,"['PETRESCU, M']",['PETRESCU M'],['rum'],['Journal Article'],Romania,Med Interna (Bucur),Medicina interna,7503144,OM,"['Humans', '*Leukemia']",['CLML: 5833:25611:289'],['NLM'],['*LEUKEMIA'],1957/06/01 00:00,1957/06/01 00:01,['1957/06/01 00:00'],"['1957/06/01 00:00 [pubmed]', '1957/06/01 00:01 [medline]', '1957/06/01 00:00 [entrez]']",,ppublish,Med Interna (Bucur). 1957 Jun;9(6):803-14.,Problema leucemiilor: etio-patogenie si clasificare.,,,,,
13482655,NLM,MEDLINE,20000701,20181201,0025-7869 (Print) 0025-7869 (Linking),9,5,1957 May,[1-4-Dimethanesulfoxybutane therapy of chronic leukemic myeloses].,699-709,"['PETRESCU, M', 'PAPAZIAN, R', 'OLARU, C']","['PETRESCU M', 'PAPAZIAN R', 'OLARU C']",['rum'],['Journal Article'],Romania,Med Interna (Bucur),Medicina interna,7503144,OM,"['Busulfan/*therapeutic use', 'Humans', '*Leukemia', '*Leukemia, Myelogenous, Chronic, BCR-ABL Positive', 'Leukemia, Myeloid/*therapy']",['CLML: 5833:25601:97:290'],['NLM'],"['*BUSULFAN/therapeutic use', '*LEUKEMIA, MYELOCYTIC/therapy']",1957/05/01 00:00,1957/05/01 00:01,['1957/05/01 00:00'],"['1957/05/01 00:00 [pubmed]', '1957/05/01 00:01 [medline]', '1957/05/01 00:00 [entrez]']",,ppublish,Med Interna (Bucur). 1957 May;9(5):699-709.,Asupra tratamentului mielozei leucemice cronice cu 1:4-dimetansulfonoxibutan.,['G1LN9045DK (Busulfan)'],,,,
13482610,NLM,MEDLINE,20000701,20181201,0212-3584 (Print) 0212-3584 (Linking),19,8-9,1957 Aug-Sep,[Indications for blood transfusion in leukocytic diseases].,479-91,"['SERRANO GALNARES, J']",['SERRANO GALNARES J'],['spa'],['Journal Article'],Spain,Med Cir Guerra,Medicina y cirugia de guerra,0404435,OM,"['Agranulocytosis/*therapy', '*Blood Transfusion', 'Humans', 'Leukemia/*therapy', '*Leukocytes']",['CLML: 5833:25556:16:82:290'],['NLM'],"['*AGRANULOCYTOSIS/therapy', '*BLOOD TRANSFUSION', '*LEUKEMIA/therapy']",1957/08/01 00:00,1957/08/01 00:01,['1957/08/01 00:00'],"['1957/08/01 00:00 [pubmed]', '1957/08/01 00:01 [medline]', '1957/08/01 00:00 [entrez]']",,ppublish,Med Cir Guerra. 1957 Aug-Sep;19(8-9):479-91.,Indicaciones de la transiusion sanguinea en las leucopatias.,,,,,
13482462,NLM,MEDLINE,20000701,20181201,0025-4053 (Print) 0025-4053 (Linking),94,7,1957,[First therapeutic trials with the ethylene-quinone E 39].,499-502,"['OLMER, J']",['OLMER J'],['fre'],['Journal Article'],France,Mars Med,Marseille medical,2985228R,OM,"['Antineoplastic Agents/*therapeutic use', '*Benzoquinones', 'Carcinoma, Squamous Cell/*therapy', '*Disease', '*Ethylenes', 'Humans', 'Leukemia/*therapy', '*Mononuclear Phagocyte System']",['CLML: 5833:25407:102:148:290:443'],['NLM'],"['*CARCINOMA, EPIDERMOID/therapy', '*CYTOTOXIC DRUGS/therapeutic use', '*LEUKEMIA/therapy', '*RETICULOENDOTHELIAL SYSTEM/diseases']",1957/01/01 00:00,1957/01/01 00:01,['1957/01/01 00:00'],"['1957/01/01 00:00 [pubmed]', '1957/01/01 00:01 [medline]', '1957/01/01 00:00 [entrez]']",,ppublish,Mars Med. 1957;94(7):499-502.,Premiers essais therapeutiques par l'ethylene quinone E. 39.,"['0 (Antineoplastic Agents)', '0 (Benzoquinones)', '0 (Ethylenes)', '3T006GV98U (quinone)']",,,,
13482401,NLM,MEDLINE,20000701,20181201,0024-905X (Print) 0024-905X (Linking),26,3,1957 Oct,Neoplastic changes related to ionizing radiation.,157-62,"['BLEJER-PRIETO, H']",['BLEJER-PRIETO H'],['eng'],['Journal Article'],Canada,McGill Med J,McGill medical journal,2985231R,OM,"['Leukemia/*etiology', 'Neoplasms/*etiology', 'Radiation/*adverse effects', '*Radiation, Ionizing']",['CLML: 5833:25346:290:342:433'],['NLM'],"['*LEUKEMIA/etiology and pathogenesis', '*NEOPLASMS/etiology and pathogenesis', '*RADIATIONS/injurious effects']",1957/10/01 00:00,1957/10/01 00:01,['1957/10/01 00:00'],"['1957/10/01 00:00 [pubmed]', '1957/10/01 00:01 [medline]', '1957/10/01 00:00 [entrez]']",,ppublish,McGill Med J. 1957 Oct;26(3):157-62.,,,,,,
13482245,NLM,MEDLINE,20000701,20190611,0140-6736 (Print) 0140-6736 (Linking),273,7002,1957 Nov 9,Leukaemia and pulmonary tuberculosis.,917-8,"['ABBATT, J D', 'LEA, A J']","['ABBATT JD', 'LEA AJ']",['eng'],['Journal Article'],England,Lancet,"Lancet (London, England)",2985213R,OM,"['Humans', 'Leukemia/*complications', '*Tuberculosis', 'Tuberculosis, Pulmonary/*complications']",['CLML: 5833:25190:289:519'],['NLM'],"['*LEUKEMIA/complications', '*TUBERCULOSIS, PULMONARY/complications']",1957/11/09 00:00,1957/11/09 00:01,['1957/11/09 00:00'],"['1957/11/09 00:00 [pubmed]', '1957/11/09 00:01 [medline]', '1957/11/09 00:00 [entrez]']","['S0140-6736(57)92379-6 [pii]', '10.1016/s0140-6736(57)92380-2 [doi]']",ppublish,Lancet. 1957 Nov 9;273(7002):917-8. doi: 10.1016/s0140-6736(57)92380-2.,,,,,,
13481990,NLM,MEDLINE,20000701,20181201,0035-8665 (Print) 0035-8665 (Linking),103,4,1957 Oct,A review of 49 cases of leukaemia occurring in the British Army during the period January 1947 to December 1954.,180-5,"['HUGHES, J T', 'THOMSON, W B']","['HUGHES JT', 'THOMSON WB']",['eng'],['Journal Article'],England,J R Army Med Corps,Journal of the Royal Army Medical Corps,7505627,OM,"['*Disease', 'Humans', 'Leukemia/*statistics & numerical data', '*Military Personnel']",['CLML: 5833:24935:49:290'],['NLM'],"['*ARMED FORCES PERSONNEL/diseases', '*LEUKEMIA/statistics']",1957/10/01 00:00,1957/10/01 00:01,['1957/10/01 00:00'],"['1957/10/01 00:00 [pubmed]', '1957/10/01 00:01 [medline]', '1957/10/01 00:00 [entrez]']",,ppublish,J R Army Med Corps. 1957 Oct;103(4):180-5.,,,,,,
13481945,NLM,MEDLINE,20000701,20181201,0368-394X (Print) 0368-394X (Linking),38,7-8,1957 Jul-Aug,[Case of vertebral localization of myeloid leukemia].,787-9,"['HOREAU, J', 'DAVID', 'SORIN, A']","['HOREAU J', 'DAVID', 'SORIN A']",['fre'],['Journal Article'],France,J Radiol Electrol Arch Electr Medicale,"Journal de radiologie, d'electrologie & archives d'electricite medicale",0013747,OM,"['Humans', '*Leukemia', 'Leukemia, Myeloid/*diagnosis', '*Physiological Phenomena', 'Spine/*pathology']",['CLML: 5833:24890:290:476'],['NLM'],"['*LEUKEMIA, MYELOCYTIC/diagnosis', '*SPINE/pathology']",1957/07/01 00:00,1957/07/01 00:01,['1957/07/01 00:00'],"['1957/07/01 00:00 [pubmed]', '1957/07/01 00:01 [medline]', '1957/07/01 00:00 [entrez]']",,ppublish,J Radiol Electrol Arch Electr Medicale. 1957 Jul-Aug;38(7-8):787-9.,A propos d'une localisation vertebrale de la leucemie myeloide.,,,,,
13481681,NLM,MEDLINE,20000701,20181201,0099-9695 (Print) 0099-9695 (Linking),24,6,1957 Nov-Dec,Factors in the causation of leukemia.,1331-4,"['WARREN, S']",['WARREN S'],['eng'],['Journal Article'],United States,J Mt Sinai Hosp N Y,"Journal of the Mount Sinai Hospital, New York",0242260,OM,"['Leukemia/*etiology', 'Radiation/*adverse effects']",['CLML: 5833:24626:290:433'],['NLM'],"['*LEUKEMIA/etiology and pathogenesis', '*RADIATIONS/injurious effects']",1957/11/01 00:00,1957/11/01 00:01,['1957/11/01 00:00'],"['1957/11/01 00:00 [pubmed]', '1957/11/01 00:01 [medline]', '1957/11/01 00:00 [entrez]']",,ppublish,J Mt Sinai Hosp N Y. 1957 Nov-Dec;24(6):1331-4.,,,,,,
