PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,AB,OID,RF
5292972,NLM,MEDLINE,19730307,20041117,0004-0061 (Print) 0004-0061 (Linking),57,1,1971 Aug,[Leukemia and leukemoid reactions during the course of epithelial malignant neoplasms (2 cases of stomach carcinoma appearing with an acute erythro-leukemic syndrome)].,153-76,"['Telleschi, S']",['Telleschi S'],['ita'],['Journal Article'],Italy,Arch De Vecchi Anat Patol,"Archivio ""de Vecchi"" per l'anatomia patologica e la medicina clinica",0372455,,IM,"['Autopsy', 'Carcinoma/complications', 'Female', 'Humans', 'Leukemia, Erythroblastic, Acute/*etiology', 'Leukemoid Reaction/*etiology', 'Middle Aged', 'Stomach Neoplasms/*complications', 'Syndrome']",,1971/08/01 00:00,1971/08/01 00:01,['1971/08/01 00:00'],"['1971/08/01 00:00 [pubmed]', '1971/08/01 00:01 [medline]', '1971/08/01 00:00 [entrez]']",,ppublish,Arch De Vecchi Anat Patol. 1971 Aug;57(1):153-76.,In tema di leucemia e reazioni leucemoidi in corso di neoplasie maligne epiteliali (due casi di carcinoma gastrico esordito con sindrome eritro-leucemica acuta.,,,
5292890,NLM,MEDLINE,19730105,20210526,0019-9567 (Print) 0019-9567 (Linking),4,5,1971 Nov,Correlation of immunological responsiveness with lymphocyte changes in chickens infected with Marek's disease.,567-74,"['Evans, D L', 'Patterson, L T']","['Evans DL', 'Patterson LT']",['eng'],['Journal Article'],United States,Infect Immun,Infection and immunity,0246127,"['0 (Antigens, Bacterial)']",IM,"['Agglutination Tests', 'Anemia/complications', 'Animals', 'Antibody-Producing Cells', 'Antigens, Bacterial/administration & dosage', 'Cell Transformation, Neoplastic', 'Chickens', 'Hematocrit', 'Leukemia, Myeloid/complications', 'Leukocyte Count', '*Lymphocytes', '*Marek Disease/blood/complications/immunology/pathology', 'Salmonella/immunology', 'Time Factors']",PMC416354,1971/11/01 00:00,1971/11/01 00:01,['1971/11/01 00:00'],"['1971/11/01 00:00 [pubmed]', '1971/11/01 00:01 [medline]', '1971/11/01 00:00 [entrez]']",['10.1128/iai.4.5.567-574.1971 [doi]'],ppublish,Infect Immun. 1971 Nov;4(5):567-74. doi: 10.1128/iai.4.5.567-574.1971.,,"Several immunological, hematological, and pathological responses associated with Marek's disease were determined. Four-week-old Marek's disease-infected and control chickens were injected with Salmonella pullorum antigen. About one-half of all infected chickens tested were unresponsive to antigenic challenge. Antibody titers in responsive infected chickens were significantly depressed at 1 and 2 weeks post-inoculation when compared to controls. Total white blood cell counts of control and control-antigen chickens were significantly lower than counts in infected chickens. Based on response to antigenic challenge, 24% of the responsive group had leukemia compared to 54% of the unresponsive chickens. The predominant cell populations in these two groups responsible for the mononuclear cell leukemia were large lymphocytes and blast cells. These cell increases were significantly greater in unresponsive chickens. Also, transient increases in the granulocytic elements were observed in some infected chickens. Large fluctuations in hematocrit values were observed in Marek's disease-infected chickens. As many as 30% of the infected chickens were anemic throughout the testing periods. Infected chickens which did not receive antigen had lower incidences of mortality and gross lesions than similarly treated chickens which did receive antigen. In addition, those chickens which were unresponsive to antigenic challenge had a higher mortality rate and increased percentages of gross lesions when compared with responsive chickens.",,
5292889,NLM,MEDLINE,19730103,20140729,0379-9190 (Print) 0379-9190 (Linking),49,406,1970 Jan-Apr,Acute on chronic myeloid leukaemia.,108-10,"['Lategan, L R']",['Lategan LR'],['eng'],['Journal Article'],South Africa,Proc Mine Med Off Assoc,Proceedings of the Mine Medical Officers' Association,7707378,,IM,"['Adult', 'Diagnosis, Differential', 'Humans', 'Leukemia, Myeloid/blood/*diagnosis', 'Leukemia, Myeloid, Acute/blood/diagnosis', 'Male']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",,ppublish,Proc Mine Med Off Assoc. 1970 Jan-Apr;49(406):108-10.,,,,
5292822,NLM,MEDLINE,19721221,20120216,,2,,1963,[Treatment of chronic myeloid leukemia with colloidal radiogold (Au 198)].,Suppl 1:389-98,"['Hofer, R', 'Mannheimer, E', 'Reimer, E E', 'Vetter, H']","['Hofer R', 'Mannheimer E', 'Reimer EE', 'Vetter H']",['ger'],['Journal Article'],Germany,Nucl Med (Stuttg),Nuclear-Medizin,7607194,"['0 (Gold Colloid, Radioactive)']",IM,"['Gold Colloid, Radioactive/adverse effects/*therapeutic use', 'Humans', 'Leukemia, Myeloid/mortality/*radiotherapy', 'Radiotherapy/adverse effects', 'Radiotherapy Dosage', 'Remission, Spontaneous']",,1963/01/01 00:00,1963/01/01 00:01,['1963/01/01 00:00'],"['1963/01/01 00:00 [pubmed]', '1963/01/01 00:01 [medline]', '1963/01/01 00:00 [entrez]']",,ppublish,Nucl Med (Stuttg). 1963;2:Suppl 1:389-98.,Therpaie der chronischen myeloischen Leukamie mit kolloidalem Radiogold (Au 198.,,,
5292820,NLM,MEDLINE,19721129,20190825,0001-2815 (Print) 0001-2815 (Linking),1,3,1971,"HL-A antigens and susceptibility to diseases. A study of patients with acute lymphoblastic leukaemia, Hodgkin's disease, and childhood asthma.",147-52,"['Thorsby, E', 'Engeset, A', 'Lie, S O']","['Thorsby E', 'Engeset A', 'Lie SO']",['eng'],['Journal Article'],England,Tissue Antigens,Tissue antigens,0331072,"['0 (Histocompatibility Antigens)', '0 (Immune Sera)']",IM,"['Asthma/*immunology', 'Child', 'Cytotoxicity Tests, Immunologic', 'Gene Frequency', 'Histocompatibility Antigens/*analysis', 'Hodgkin Disease/*immunology', 'Humans', 'Immune Sera', 'Leukemia, Lymphoid/*immunology']",,1971/01/01 00:00,1971/01/01 00:01,['1971/01/01 00:00'],"['1971/01/01 00:00 [pubmed]', '1971/01/01 00:01 [medline]', '1971/01/01 00:00 [entrez]']",['10.1111/j.1399-0039.1971.tb00091.x [doi]'],ppublish,Tissue Antigens. 1971;1(3):147-52. doi: 10.1111/j.1399-0039.1971.tb00091.x.,,,,
5292818,NLM,MEDLINE,19721110,20110728,0001-5806 (Print) 0001-5806 (Linking),34,2,1971 Apr,Acute granulocytic leukemia terminating in profound megaloblastoid cell proliferation: a case report.,205-13,"['Okada, H', 'Hoshino, T', 'Yamamoto, T']","['Okada H', 'Hoshino T', 'Yamamoto T']",['eng'],['Journal Article'],Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,,IM,"['Adult', 'Autopsy', 'Bone Marrow/pathology', 'Bone Marrow Examination', 'Humans', 'Kidney/pathology', 'Leukemia, Erythroblastic, Acute/*complications/pathology', 'Leukemia, Myeloid, Acute/*complications/pathology', 'Liver/pathology', 'Lymph Nodes/pathology', 'Male', 'Spleen/pathology']",,1971/04/01 00:00,1971/04/01 00:01,['1971/04/01 00:00'],"['1971/04/01 00:00 [pubmed]', '1971/04/01 00:01 [medline]', '1971/04/01 00:00 [entrez]']",,ppublish,Nihon Ketsueki Gakkai Zasshi. 1971 Apr;34(2):205-13.,,,,
5292817,NLM,MEDLINE,19721110,20131121,0001-5806 (Print) 0001-5806 (Linking),34,2,1971 Apr,Leukokinetic studies in peripheral blood. II. Granulocyte kinetics in chronic myelocytic leukemia.,186-204,"['Uchida, T']",['Uchida T'],['eng'],['Journal Article'],Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,"['0 (Phosphorus Isotopes)', '10028-17-8 (Tritium)', '12UHW9R67N (Isoflurophate)', 'VC2W18DGKR (Thymidine)']",IM,"['Adult', 'Aged', 'Autoradiography', 'Cell Survival', 'Chronic Disease', 'Female', 'Humans', 'Isoflurophate/metabolism', 'Leukemia, Myeloid/*blood', 'Leukocyte Count', '*Leukocytes', 'Male', 'Middle Aged', 'Phosphorus Isotopes', 'Thymidine/metabolism', 'Tritium']",,1971/04/01 00:00,1971/04/01 00:01,['1971/04/01 00:00'],"['1971/04/01 00:00 [pubmed]', '1971/04/01 00:01 [medline]', '1971/04/01 00:00 [entrez]']",,ppublish,Nihon Ketsueki Gakkai Zasshi. 1971 Apr;34(2):186-204.,,,,
5292816,NLM,MEDLINE,19721110,20131121,0001-5806 (Print) 0001-5806 (Linking),34,2,1971 Apr,Leukokinetic studies in peripheral blood. I. Neutrophilic granulocyte kinetics in normal man.,164-85,"['Uchida, T']",['Uchida T'],['eng'],['Journal Article'],Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,"['0 (Phosphorus Isotopes)', '10028-17-8 (Tritium)', '12UHW9R67N (Isoflurophate)']",IM,"['Adult', 'Autoradiography', 'Bone Marrow Cells', 'Cell Survival', 'Female', 'Humans', 'Isoflurophate/metabolism', 'Isotope Labeling', 'Leukemia, Myeloid/blood', 'Leukocyte Count', 'Male', 'Middle Aged', '*Neutrophils', 'Phosphorus Isotopes', 'Spherocytosis, Hereditary/blood', 'Tritium']",,1971/04/01 00:00,1971/04/01 00:01,['1971/04/01 00:00'],"['1971/04/01 00:00 [pubmed]', '1971/04/01 00:01 [medline]', '1971/04/01 00:00 [entrez]']",,ppublish,Nihon Ketsueki Gakkai Zasshi. 1971 Apr;34(2):164-85.,,,,
5292814,NLM,MEDLINE,19721110,20110728,0001-5806 (Print) 0001-5806 (Linking),34,4,1971 Aug,"Serum, urine, and leukocyte muramidase (lysozyme) activity in monocytic leukemia and other hematologic malignancies.",498-512,"['Ota, H', 'Nagase, H']","['Ota H', 'Nagase H']",['eng'],['Journal Article'],Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,"['EC 3.1.3.1 (Alkaline Phosphatase)', 'EC 3.1.3.2 (Acid Phosphatase)', 'EC 3.2.1.17 (Muramidase)']",IM,"['Acid Phosphatase/metabolism', 'Adult', 'Aged', 'Alkaline Phosphatase/metabolism', 'Female', 'Humans', 'Leukemia, Lymphoid/enzymology', 'Leukemia, Myeloid/blood/*enzymology', 'Leukocytes/enzymology', 'Lymphoma/enzymology', 'Male', 'Middle Aged', 'Multiple Myeloma/enzymology', 'Muramidase/blood/*metabolism/urine', 'Sarcoidosis/enzymology', 'Seasons']",,1971/08/01 00:00,1971/08/01 00:01,['1971/08/01 00:00'],"['1971/08/01 00:00 [pubmed]', '1971/08/01 00:01 [medline]', '1971/08/01 00:00 [entrez]']",,ppublish,Nihon Ketsueki Gakkai Zasshi. 1971 Aug;34(4):498-512.,,,,
5292803,NLM,MEDLINE,19721025,20041117,0009-4730 (Print) 0009-4730 (Linking),20,7,1971 Jul,[Intestinal occlusion caused by Crohn's regional enteritis].,637-41,"['Dihlmann, W']",['Dihlmann W'],['rum'],['Journal Article'],Romania,Chirurgia (Bucur),Chirurgia,7501738,,IM,"['Aged', 'Crohn Disease/*complications', 'Humans', 'Intestinal Obstruction/*etiology', 'Leukemia, Myeloid/complications', 'Male']",,1971/07/01 00:00,1971/07/01 00:01,['1971/07/01 00:00'],"['1971/07/01 00:00 [pubmed]', '1971/07/01 00:01 [medline]', '1971/07/01 00:00 [entrez]']",,ppublish,Chirurgia (Bucur). 1971 Jul;20(7):637-41.,Ocluzie intestinala prin enterita regionala Crohn.,,,
5292725,NLM,MEDLINE,19721010,20041117,0021-8324 (Print) 0021-8324 (Linking),24,4,1970 May-Jun,[Thoracic manifestations of chronic myeloid leukemia].,387-90,"['Monnier, J', 'Pris, J']","['Monnier J', 'Pris J']",['fre'],['Journal Article'],France,J Fr Med Chir Thorac,Journal francais de medecine et chirurgie thoraciques,0376571,,IM,"['Female', 'Humans', 'Leukemia, Myeloid/blood/*complications', 'Male', 'Respiratory Tract Diseases/*etiology', 'Thoracic Diseases/blood/etiology']",,1970/05/01 00:00,1970/05/01 00:01,['1970/05/01 00:00'],"['1970/05/01 00:00 [pubmed]', '1970/05/01 00:01 [medline]', '1970/05/01 00:00 [entrez]']",,ppublish,J Fr Med Chir Thorac. 1970 May-Jun;24(4):387-90.,Les manifestations thoraciques de la leucemie myeloide chronique.,,,
5292724,NLM,MEDLINE,19721006,20190904,0080-0015 (Print) 0080-0015 (Linking),33,,1970,A summary of the clinical status of asparaginase.,350-4,"['Burchenal, J H']",['Burchenal JH'],['eng'],['Journal Article'],Germany,Recent Results Cancer Res,Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer,0044671,"['0 (Antineoplastic Agents)', '0 (Immunosuppressive Agents)', 'EC 3.5.1.1 (Asparaginase)']",IM,"['Acute Disease', 'Antineoplastic Agents/therapeutic use', 'Asparaginase/adverse effects/*therapeutic use', 'Central Nervous System Diseases/chemically induced', 'Chemical and Drug Induced Liver Injury', 'Chronic Disease', 'Drug Synergism', 'Immunosuppressive Agents/therapeutic use', 'Leukemia/*drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Lymphoma, Non-Hodgkin/drug therapy', 'Time Factors']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",['10.1007/978-3-642-99984-0_41 [doi]'],ppublish,Recent Results Cancer Res. 1970;33:350-4. doi: 10.1007/978-3-642-99984-0_41.,,,,
5292723,NLM,MEDLINE,19721006,20190904,0080-0015 (Print) 0080-0015 (Linking),33,,1970,Dysmetabolic and neurological complications in leukemia patients treated with L-asparaginase.,344-9,"['Storti, E', 'Quaglino, D']","['Storti E', 'Quaglino D']",['eng'],['Journal Article'],Germany,Recent Results Cancer Res,Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer,0044671,"['0 (Lipids)', '268B43MJ25 (Uric Acid)', '9001-32-5 (Fibrinogen)', 'EC 3.5.1.1 (Asparaginase)']",IM,"['Asparaginase/*adverse effects', 'Central Nervous System Diseases/*chemically induced', 'Child', 'Clinical Enzyme Tests', 'Drug Hypersensitivity/etiology', 'Feeding and Eating Disorders/chemically induced', 'Female', 'Fibrinogen/metabolism', 'Humans', 'Leukemia/blood/*drug therapy/enzymology/urine', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Monocytic, Acute/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Lipids/blood', 'Male', 'Metabolic Diseases/*chemically induced', 'Middle Aged', 'Nausea/chemically induced', 'Prothrombin Time', 'Uric Acid/urine', 'Vomiting/chemically induced']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",['10.1007/978-3-642-99984-0_40 [doi]'],ppublish,Recent Results Cancer Res. 1970;33:344-9. doi: 10.1007/978-3-642-99984-0_40.,,,,
5292722,NLM,MEDLINE,19721006,20190904,0080-0015 (Print) 0080-0015 (Linking),33,,1970,Use of asparaginase in conjunction with cytosine arabinoside in acute leukemia in children.,323-8,"['Hardisty, R M', 'McElwain, T J']","['Hardisty RM', 'McElwain TJ']",['eng'],['Journal Article'],Germany,Recent Results Cancer Res,Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer,0044671,"['04079A1RDZ (Cytarabine)', 'EC 3.5.1.1 (Asparaginase)']",IM,"['Acute Disease', 'Asparaginase/*therapeutic use', 'Blood Cell Count', 'Blood Platelet Disorders/chemically induced', 'Bone Marrow Examination', 'Child', 'Child, Preschool', 'Cytarabine/adverse effects/*therapeutic use', 'Female', 'Hemoglobinometry', 'Humans', 'Leukemia, Lymphoid/blood/*drug therapy', 'Leukocyte Count', 'Leukopenia/chemically induced', 'Male']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",['10.1007/978-3-642-99984-0_36 [doi]'],ppublish,Recent Results Cancer Res. 1970;33:323-8. doi: 10.1007/978-3-642-99984-0_36.,,,,
5292721,NLM,MEDLINE,19721006,20190904,0080-0015 (Print) 0080-0015 (Linking),33,,1970,Clinical trials of asparaginase in chemotherapy-resistant acute leukemias.,316-22,"['Goudemand, M', 'Bauters, F']","['Goudemand M', 'Bauters F']",['eng'],['Journal Article'],Germany,Recent Results Cancer Res,Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer,0044671,"['0 (Lipids)', 'EC 2.6.1.1 (Aspartate Aminotransferases)', 'EC 2.6.1.2 (Alanine Transaminase)', 'EC 3.1.3.1 (Alkaline Phosphatase)', 'EC 3.2.1.- (Amylases)', 'EC 3.5.1.1 (Asparaginase)', 'RFM9X3LJ49 (Bilirubin)']",IM,"['Acute Disease', 'Adolescent', 'Adult', 'Alanine Transaminase/blood', 'Alkaline Phosphatase/blood', 'Amylases/analysis', 'Asparaginase/adverse effects/*therapeutic use', 'Aspartate Aminotransferases/blood', 'Bilirubin/blood', 'Blood Coagulation Tests', 'Child', 'Drug Resistance', 'Feeding and Eating Disorders/chemically induced', 'Humans', 'Leukemia, Lymphoid/blood/*drug therapy/enzymology', 'Leukemia, Myeloid, Acute/blood/*drug therapy/enzymology', 'Lipids/blood', 'Liver Function Tests', 'Middle Aged', 'Nausea/chemically induced']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",['10.1007/978-3-642-99984-0_35 [doi]'],ppublish,Recent Results Cancer Res. 1970;33:316-22. doi: 10.1007/978-3-642-99984-0_35.,,,,
5292720,NLM,MEDLINE,19721006,20190904,0080-0015 (Print) 0080-0015 (Linking),33,,1970,Treatment of acute leukemia with L-asparaginase--preliminary results on 84 cases.,263-78,"['Jacquillat, C', 'Weil, M', 'Bussel, A', 'Loisel, J P', 'Rouesse, T', 'Larrieu, M J', 'Boiron, M', 'Dreyfus, B', 'Bernard, J']","['Jacquillat C', 'Weil M', 'Bussel A', 'Loisel JP', 'Rouesse T', 'Larrieu MJ', 'Boiron M', 'Dreyfus B', 'Bernard J']",['eng'],['Journal Article'],Germany,Recent Results Cancer Res,Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer,0044671,"['5J49Q6B70F (Vincristine)', '7006-34-0 (Asparagine)', 'EC 3.5.1.1 (Asparaginase)', 'HG18B9YRS7 (Valine)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Acute Disease', 'Asparaginase/administration & dosage/adverse effects/blood/pharmacology/*therapeutic use', 'Asparagine/pharmacology', 'Blood Coagulation Disorders/chemically induced', 'Cells, Cultured', 'Central Nervous System Diseases/drug therapy/etiology', 'Chemical and Drug Induced Liver Injury', 'Daunorubicin/therapeutic use', 'Humans', 'Kidney Diseases/chemically induced', 'Leukemia/complications/*drug therapy/enzymology/metabolism', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Liver Function Tests', 'Methotrexate/therapeutic use', 'Prednisone/pharmacology', 'Valine/metabolism', 'Vincristine/pharmacology']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",['10.1007/978-3-642-99984-0_31 [doi]'],ppublish,Recent Results Cancer Res. 1970;33:263-78. doi: 10.1007/978-3-642-99984-0_31.,,,,
5292719,NLM,MEDLINE,19721006,20151119,0080-0015 (Print) 0080-0015 (Linking),33,,1970,"Result of a cooperative study with L-asparaginase in human leukemias. Report of the section ""oncology"" of the Paul-Ehrlich-Society for Chemotherapy.",244-56,"['Gerhartz, H', 'Begemann, H']","['Gerhartz H', 'Begemann H']",['eng'],['Journal Article'],Germany,Recent Results Cancer Res,Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer,0044671,"['5J49Q6B70F (Vincristine)', 'EC 3.5.1.1 (Asparaginase)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Asparaginase/administration & dosage/adverse effects/*therapeutic use', 'Blood Chemical Analysis', 'Blood Platelets/analysis', 'Blood Sedimentation', 'Body Weight', 'Central Nervous System Diseases/chemically induced', 'Daunorubicin/therapeutic use', 'Erythrocyte Count', 'Hepatomegaly/etiology', 'Humans', 'Leukemia/blood/complications/*drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Leukocyte Count', 'Nausea/chemically induced', 'Splenomegaly/etiology', 'Time Factors', 'Vincristine/administration & dosage/therapeutic use', 'Vomiting/chemically induced']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",,ppublish,Recent Results Cancer Res. 1970;33:244-56.,,,,
5292718,NLM,MEDLINE,19721006,20190904,0080-0015 (Print) 0080-0015 (Linking),33,,1970,Clinical experience with L-asparaginase.,219-35,"['Oettgen, H F', 'Tallal, L', 'Tan, C C', 'Murphy, M L', 'Clarkson, B D', 'Golbey, R D', 'Krakoff, I H', 'Karnofsky, D A', 'Burchenal, H J']","['Oettgen HF', 'Tallal L', 'Tan CC', 'Murphy ML', 'Clarkson BD', 'Golbey RD', 'Krakoff IH', 'Karnofsky DA', 'Burchenal HJ']",['eng'],['Journal Article'],Germany,Recent Results Cancer Res,Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer,0044671,"['0 (Antineoplastic Agents)', '97C5T2UQ7J (Cholesterol)', 'EC 3.5.1.1 (Asparaginase)']",IM,"['Adolescent', 'Adult', 'Antineoplastic Agents/therapeutic use', 'Asparaginase/administration & dosage/adverse effects/*therapeutic use', 'Blood Chemical Analysis', 'Blood Urea Nitrogen', 'Body Weight', 'Central Nervous System Diseases/chemically induced', 'Child', 'Child, Preschool', 'Cholesterol/blood', 'Drug Hypersensitivity/etiology', 'Edema/chemically induced', 'Feeding and Eating Disorders/chemically induced', 'Female', 'Humans', 'Leukemia, Lymphoid/blood/*drug therapy', 'Male', 'Nausea/chemically induced', 'Neoplasms/*drug therapy', 'Time Factors', 'Vomiting/chemically induced']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",['10.1007/978-3-642-99984-0_27 [doi]'],ppublish,Recent Results Cancer Res. 1970;33:219-35. doi: 10.1007/978-3-642-99984-0_27.,,,,
5292717,NLM,MEDLINE,19721006,20190904,0080-0015 (Print) 0080-0015 (Linking),33,,1970,Treatment of acute leukemia with L-asparaginase.,204-18,"['Loeb, E', 'Hill, J M', 'Hill, N O', 'MacLellan, A', 'Khan, A', 'Alexander, T R', 'Adachi, A']","['Loeb E', 'Hill JM', 'Hill NO', 'MacLellan A', 'Khan A', 'Alexander TR', 'Adachi A']",['eng'],['Journal Article'],Germany,Recent Results Cancer Res,Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer,0044671,"['0 (Amino Acids)', 'EC 2.6.1.1 (Aspartate Aminotransferases)', 'EC 3.5.1.1 (Asparaginase)', 'RFM9X3LJ49 (Bilirubin)']",IM,"['Adolescent', 'Adult', 'Aged', 'Amino Acids/blood', 'Asparaginase/administration & dosage/adverse effects/*therapeutic use', 'Aspartate Aminotransferases/blood', 'Bilirubin/blood', 'Blood Coagulation Tests', 'Body Weight', 'Central Nervous System Diseases/drug therapy', 'Child', 'Child, Preschool', 'Drug Hypersensitivity/etiology', 'Female', 'Humans', 'Leukemia/blood/*drug therapy/enzymology', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Male', 'Middle Aged', 'Pancreatitis/chemically induced']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",['10.1007/978-3-642-99984-0_26 [doi]'],ppublish,Recent Results Cancer Res. 1970;33:204-18. doi: 10.1007/978-3-642-99984-0_26.,,,,
5292716,NLM,MEDLINE,19721006,20190904,0080-0015 (Print) 0080-0015 (Linking),33,,1970,Experimental studies with L-asparaginase in mouse leukemias.,102-13,"['Burchenal, J H', 'Benvenisti, D', 'Dollinger, M']","['Burchenal JH', 'Benvenisti D', 'Dollinger M']",['eng'],['Journal Article'],Germany,Recent Results Cancer Res,Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer,0044671,"['0 (Antibiotics, Antineoplastic)', '0 (Neoplasm Proteins)', '0 (Pyridines)', '0 (Thiosemicarbazones)', '04079A1RDZ (Cytarabine)', '10028-17-8 (Tritium)', '1CC1JFE158 (Dactinomycin)', '7006-34-0 (Asparagine)', '9000-55-9 (Podophyllin)', 'EC 3.5.1.1 (Asparaginase)', 'FTK8U1GZNX (Thioguanine)', 'HG18B9YRS7 (Valine)', 'U68WG3173Y (Carmustine)']",IM,"['Animals', 'Antibiotics, Antineoplastic/therapeutic use', 'Asparaginase/administration & dosage/antagonists & inhibitors/blood/*therapeutic use', 'Asparagine/pharmacology', 'Carmustine/therapeutic use', 'Cell Line', 'Child, Preschool', 'Cytarabine/therapeutic use', 'Dactinomycin/therapeutic use', 'Drug Resistance', 'Drug Synergism', 'Female', 'Half-Life', 'Humans', 'Leukemia, Experimental/blood/*drug therapy/metabolism', 'Leukemia, Lymphoid/drug therapy', 'Mice', 'Neoplasm Proteins/biosynthesis', 'Podophyllin/therapeutic use', 'Pyridines/therapeutic use', 'Stereoisomerism', 'Thioguanine/therapeutic use', 'Thiosemicarbazones/therapeutic use', 'Time Factors', 'Tritium', 'Valine/metabolism']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",['10.1007/978-3-642-99984-0_12 [doi]'],ppublish,Recent Results Cancer Res. 1970;33:102-13. doi: 10.1007/978-3-642-99984-0_12.,,,,
5292650,NLM,MEDLINE,19721005,20180216,0030-2414 (Print) 0030-2414 (Linking),25,3,1971,Vincristine toxicity with hyponatremia and hypochloremia in an adult.,234-8,"['Meriwether, W D']",['Meriwether WD'],['eng'],['Journal Article'],Switzerland,Oncology,Oncology,0135054,"['0 (Chlorides)', '0 (Isotonic Solutions)', '451W47IQ8X (Sodium Chloride)', '5J49Q6B70F (Vincristine)', '9NEZ333N27 (Sodium)', 'IY9XDZ35W2 (Glucose)', 'RWP5GA015D (Potassium)']",IM,"['Adult', 'Chlorides/*blood', 'Cognition Disorders/chemically induced', 'Glucose/therapeutic use', 'Humans', 'Hyponatremia/*chemically induced/therapy', 'Infusions, Parenteral', 'Injections, Intravenous', 'Isotonic Solutions', 'Leukemia, Lymphoid/drug therapy', 'Male', 'Potassium/therapeutic use', 'Sodium/blood', 'Sodium Chloride/therapeutic use', 'Vincristine/administration & dosage/*adverse effects', 'Water-Electrolyte Balance']",,1971/01/01 00:00,1971/01/01 00:01,['1971/01/01 00:00'],"['1971/01/01 00:00 [pubmed]', '1971/01/01 00:01 [medline]', '1971/01/01 00:00 [entrez]']",['10.1159/000224573 [doi]'],ppublish,Oncology. 1971;25(3):234-8. doi: 10.1159/000224573.,,,,
