PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,GR,RF,SI,TT,EIN,OID,OAB,OABL,OTO,OT,GN,CN,AD,CIN
3109088,NLM,MEDLINE,19870723,20071115,0041-1337 (Print) 0041-1337 (Linking),43,6,1987 Jun,Positive effect of prophylactic total parenteral nutrition on long-term outcome of bone marrow transplantation.,833-8,"In a randomized trial we studied the impact of providing total parenteral nutrition (TPN) to bone marrow transplant (BMT) patients during their cytoreductive therapy, and for 4 weeks following BMT, on 8 parameters of outcome. A total of 137 patients over 1 year of age and with normal nutritional status were randomized either to receive TPN starting one week prior to transplant or to receive hydration with a 5% dextrose solution containing electrolytes, minerals, trace elements, and vitamins. TPN was ultimately required by 40 of the 66 control patients when nutritional depletion was documented. Average total calorie and protein intake was significantly higher for the TPN group than for the control group. Minimum follow-up was 1 year and median was 2 years. Overall survival, time to relapse, and disease-free survival were significantly improved in the TPN group. Engraftment, duration of hospitalization, and incidences of acute and chronic graft-vs.-host disease and bacteremia were not different. Thus TPN during BMT had a positive effect on long-term outcome. Prophylactic nutritional therapy appears to be indicated even for well-nourished individuals during cytoreduction and BMT.","['Weisdorf, S A', 'Lysne, J', 'Wind, D', 'Haake, R J', 'Sharp, H L', 'Goldman, A', 'Schissel, K', 'McGlave, P B', 'Ramsay, N K', 'Kersey, J H']","['Weisdorf SA', 'Lysne J', 'Wind D', 'Haake RJ', 'Sharp HL', 'Goldman A', 'Schissel K', 'McGlave PB', 'Ramsay NK', 'Kersey JH']",['eng'],"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",United States,Transplantation,Transplantation,0132144,,IM,"['*Bone Marrow Transplantation', 'Clinical Trials as Topic', 'Graft Survival', 'Humans', 'Leukemia/*therapy', 'Leukemia, Lymphoid/therapy', 'Leukemia, Myeloid/therapy', '*Parenteral Nutrition, Total', 'Random Allocation', 'Time Factors']",1987/06/01 00:00,1987/06/01 00:01,['1987/06/01 00:00'],"['1987/06/01 00:00 [pubmed]', '1987/06/01 00:01 [medline]', '1987/06/01 00:00 [entrez]']",,ppublish,Transplantation. 1987 Jun;43(6):833-8.,,,,,,,,,,,,,,,
3109020,NLM,MEDLINE,19870714,20051117,0301-3847 (Print) 0301-3847 (Linking),61,,1986,Lymphoma in Sjogren's syndrome: urinary monoclonal free light chains as a diagnostic aid and a means of tumour monitoring.,114-7,"Non Hodgkins lymphoma (NHL) is reported to be at least 40 times more common in Sjogren's syndrome (SS). Diagnosis may be difficult as blood and bone marrow haematology can remain normal, with no evidence of a serum paraprotein band or Bence-Jones proteinuria by routine electrophoresis. Using the technique of isoelectric focusing in agarose, followed by immunofixation, monoclonal free light chains can be found in the urine of 44% and 74% respectively of patients with NHL and B cell chronic lymphocytic leukaemia, but not in normal individuals. Three patients, two with typical severe primary SS and the third with several features of SS including abnormal sialography and reduced tear secretion, developed B cell NHL of parotid and/or lung. Using the above method on concentrated urine specimens, monoclonal free light chains of the same class as that demonstrated on the tumour cells were found to be present in each patient's urine. In one patient the level of urinary free light chains was monitored and found to correlate with disease activity. Using similar techniques no monoclonal light chains could be found in the urine from a further 10 cases of primary SS and 18 cases of SS secondary to rheumatoid arthritis, all of whom had no clinical evidence of lymphoma. Screening of SS patients' urine by the method described for monoclonal urinary free light chains may provide an early diagnostic clue to the development of lymphoma and be a means of tumour monitoring.","['Walters, M T', 'Stevenson, F K', 'Herbert, A', 'Cawley, M I', 'Smith, J L']","['Walters MT', 'Stevenson FK', 'Herbert A', 'Cawley MI', 'Smith JL']",['eng'],"['Case Reports', 'Journal Article']",Norway,Scand J Rheumatol Suppl,Scandinavian journal of rheumatology. Supplement,0400360,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Neoplasm)', '0 (Immunoglobulin kappa-Chains)']",IM,"['Adult', 'Aged', 'Antibodies, Monoclonal/*urine', 'Antibodies, Neoplasm/*urine', 'Female', 'Humans', 'Immunoglobulin kappa-Chains/*urine', 'Lung Neoplasms/immunology/urine', 'Lymphoma, Non-Hodgkin/*immunology/urine', 'Male', 'Monitoring, Physiologic/methods', 'Parotid Neoplasms/immunology/urine', ""Sjogren's Syndrome/*complications""]",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",,ppublish,Scand J Rheumatol Suppl. 1986;61:114-7.,,,,,,,,,,,,,,,
3108882,NLM,MEDLINE,19870708,20190501,0027-8424 (Print) 0027-8424 (Linking),84,11,1987 Jun,Protein-nucleotide contacts in the immunoglobulin heavy-chain promoter region.,3851-5,"Immunoglobulin heavy-chain variable-region genes contain the octanucleotide ATGCAAAT upstream from the site of transcription initiation. The complement of this sequence, in the reverse orientation, is found at an identical location in light-chain variable-region genes. This sequence element is thought to be involved in the lymphoid-specific expression of immunoglobulin genes. Analysis of nuclear extracts from both lymphoid and nonlymphoid cells in a gel migration inhibition assay, using an immunoglobulin promoter region fragment containing the octamer, reveals multiple migration-retarded species that represent specific DNA-protein complexes. The number and relative level of these complexes vary with cell type; some complexes are detected with all extracts, whereas one complex is lymphoid-specific and may represent an interaction involved in the lymphoid-restricted expression of immunoglobulin genes. Mitogenic stimulation of a B-lymphoid line can increase the level of the protein responsible for this lymphoid-specific complex. Analysis of the complexes detected in the gel migration inhibition assay by DNase I protection (""footprinting"") has revealed that all of these DNA-protein complexes involve contact of the protein with the nucleotides of the octamer. One complex, present in both lymphoid and nonlymphoid cells, displays an additional DNA-protein contact adjacent to the octamer. Our results also indicate that the interaction of proteins with the octameric sequence can cause a local alteration in the structure of the DNA helix.","['Landolfi, N F', 'Capra, J D', 'Tucker, P W']","['Landolfi NF', 'Capra JD', 'Tucker PW']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Immunoglobulin Heavy Chains)', 'EC 3.1.21.1 (Deoxyribonuclease I)']",IM,"['Animals', 'B-Lymphocytes/immunology', 'Base Sequence', 'Deoxyribonuclease I', '*Genes', 'Immunoglobulin Heavy Chains/*genetics', 'Leukemia, Experimental/immunology', 'Lymphocyte Activation', 'Mice', 'Nucleic Acid Conformation', '*Promoter Regions, Genetic', 'Transcription, Genetic']",1987/06/01 00:00,1987/06/01 00:01,['1987/06/01 00:00'],"['1987/06/01 00:00 [pubmed]', '1987/06/01 00:01 [medline]', '1987/06/01 00:00 [entrez]']",['10.1073/pnas.84.11.3851 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1987 Jun;84(11):3851-5. doi: 10.1073/pnas.84.11.3851.,PMC304974,"['AI-18016/AI/NIAID NIH HHS/United States', 'GM-1751/GM/NIGMS NIH HHS/United States', 'GM-31689/GM/NIGMS NIH HHS/United States']",,,,,,,,,,,,,
3108879,NLM,MEDLINE,19870708,20190501,0027-8424 (Print) 0027-8424 (Linking),84,11,1987 Jun,Distinct forms of the beta subunit of GTP-binding regulatory proteins identified by molecular cloning.,3792-6,"Two distinct beta subunits of guanine nucleotide-binding regulatory proteins have been identified by cDNA cloning and are referred to as beta 1 and beta 2 subunits. The bovine transducin beta subunit (beta 1) has been cloned previously. We have now isolated and analyzed cDNA clones that encode the beta 2 subunit from bovine adrenal, bovine brain, and a human myeloid leukemia cell line, HL-60. The 340-residue Mr 37,329 beta 2 protein is 90% identical with beta 1 in predicted amino acid sequence, and it is also organized as a series of repetitive homologous segments. The major mRNA that encodes the bovine beta 2 subunit is 1.7 kilobases in length. It is expressed at lower levels than beta 1 subunit mRNA in all tissues examined. The beta 1 and beta 2 messages are expressed in cloned human cell lines. Hybridization of cDNA probes to bovine DNA showed that beta 1 and beta 2 are encoded by separate genes. The amino acid sequences for the bovine and human beta 2 subunit are identical, as are the amino acid sequences for the bovine and human beta 1 subunit. This evolutionary conservation suggests that the two beta subunits have different roles in the signal transduction process.","['Fong, H K', 'Amatruda, T T 3rd', 'Birren, B W', 'Simon, M I']","['Fong HK', 'Amatruda TT 3rd', 'Birren BW', 'Simon MI']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Macromolecular Substances)', '0 (RNA, Messenger)', '9007-49-2 (DNA)', 'EC 3.6.1.- (GTP-Binding Proteins)']",IM,"['Adrenal Glands/metabolism', 'Amino Acid Sequence', 'Animals', 'Base Sequence', 'Brain/metabolism', 'Cattle', 'Cell Line', '*Cloning, Molecular', 'DNA/metabolism', 'GTP-Binding Proteins/*genetics', '*Genes', 'Humans', 'Macromolecular Substances', 'Nucleic Acid Hybridization', 'RNA, Messenger/genetics', 'Sequence Homology, Nucleic Acid']",1987/06/01 00:00,1987/06/01 00:01,['1987/06/01 00:00'],"['1987/06/01 00:00 [pubmed]', '1987/06/01 00:01 [medline]', '1987/06/01 00:00 [entrez]']",['10.1073/pnas.84.11.3792 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1987 Jun;84(11):3792-6. doi: 10.1073/pnas.84.11.3792.,PMC304962,"['GM10974/GM/NIGMS NIH HHS/United States', 'GM34236/GM/NIGMS NIH HHS/United States']",,"['GENBANK/M16480', 'GENBANK/M16514']",,,,,,,,,,,
3108807,NLM,MEDLINE,19870713,20170214,0194-5998 (Print) 0194-5998 (Linking),96,3,1987 Mar,Immunohistochemical detection of retroviral-P15E-related material in carcinomas of the head and neck.,251-5,"As has been reported previously, head and neck carcinomas produce low molecular weight factors (H/N ca LMWFs); a molecular weight less than 25000 daltons is capable of inhibiting the chemotaxis of mononuclear phagocytes. The effect of the factors could be neutralized by antibodies to P15E, one of the structural envelope proteins of Murine Leukemia Viruses (MuLV). This indicates that these low molecular weight factors derived from the tumors are related to P15E. In this study, 35 biopsy specimens of head and neck carcinomas were subjected to an indirect immunoperoxidase assay, in order for P15E-like material to be detected morphologically. All head and neck carcinomas gave positive results. Sixty-three percent of other carcinomas (used as controls) were positive as well. P15E-like material was also expressed in epithelia-overlaying inflammatory responses. Healthy epithelia were not positive. This report thus supports the view that P15E-like molecules can be easily detected in cancerous disease--not only by way of biologic isolation, but also by use of immunohistochemical techniques. Since the factor is not specific for the malignant state, it cannot be used as a tumor marker. Possibly involved in the pathogenesis of cancerous disease, its relationship to growth factors, oncogenes, and the immune system needs further clarification.","['Tan, I B', 'Drexhage, H A', 'Mullink, R', 'Hensen-Logmans, S', 'De Haan-Meulman, M', 'Snow, G B', 'Balm, A J']","['Tan IB', 'Drexhage HA', 'Mullink R', 'Hensen-Logmans S', 'De Haan-Meulman M', 'Snow GB', 'Balm AJ']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Otolaryngol Head Neck Surg,Otolaryngology--head and neck surgery : official journal of American Academy of Otolaryngology-Head and Neck Surgery,8508176,"['0 (Antibodies, Monoclonal)', '0 (Gene Products, gag)', '0 (Retroviridae Proteins)', '0 (Retroviridae Proteins, Oncogenic)', '0 (virus structural protein p15)']",IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Antibodies, Monoclonal', 'Biopsy', 'Carcinoma, Squamous Cell/*pathology', 'Female', '*Gene Products, gag', 'Head and Neck Neoplasms/*pathology', 'Humans', 'Immunoenzyme Techniques', 'Male', 'Middle Aged', 'Retroviridae Proteins/*analysis', '*Retroviridae Proteins, Oncogenic', 'Tumor Virus Infections/*pathology']",1987/03/01 00:00,1987/03/01 00:01,['1987/03/01 00:00'],"['1987/03/01 00:00 [pubmed]', '1987/03/01 00:01 [medline]', '1987/03/01 00:00 [entrez]']",['10.1177/019459988709600304 [doi]'],ppublish,Otolaryngol Head Neck Surg. 1987 Mar;96(3):251-5. doi: 10.1177/019459988709600304.,,,,,,,,,,,,,,,
3108448,NLM,MEDLINE,19870706,20190508,0022-1007 (Print) 0022-1007 (Linking),165,6,1987 Jun 1,Differentiation-linked secretion of urokinase and tissue plasminogen activator by normal human hemopoietic cells.,1609-23,Previous studies have shown that the response of patients with acute myeloid leukemia to induction chemotherapy can be predicted by the species of plasminogen activator that their cells secrete. Patients whose cells secreted tissue plasminogen activator (tPA) only failed to respond to combination chemotherapy. Individuals whose leukemic cells display features of the early progenitor phenotype also respond poorly to therapy. This suggested that the two species of plasminogen activator secreted by leukemic cells might be produced by normal cells at distinct stages of differentiation. These results indicate that the secretion of the two enzyme types is a differentiation-linked property of normal cells with tPA being produced by granulocyte/macrophage progenitors and urokinase by more differentiated cells and by mature neutrophils and macrophages.,"['Wilson, E L', 'Francis, G E']","['Wilson EL', 'Francis GE']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Exp Med,The Journal of experimental medicine,2985109R,"['EC 3.4.21.- (Plasminogen Activators)', 'EC 3.4.21.68 (Tissue Plasminogen Activator)', 'EC 3.4.21.73 (Urokinase-Type Plasminogen Activator)']",IM,"['Bone Marrow/metabolism', 'Cell Differentiation', 'Cells, Cultured', 'Centrifugation, Density Gradient', 'Hematopoietic Stem Cells/*metabolism', 'Humans', 'Leukemia, Myeloid, Acute/drug therapy/metabolism/pathology', 'Macrophages/metabolism', 'Neutrophils/metabolism', 'Plasminogen Activators/*metabolism', 'Tissue Plasminogen Activator/*metabolism', 'Urokinase-Type Plasminogen Activator/*metabolism']",1987/06/01 00:00,1987/06/01 00:01,['1987/06/01 00:00'],"['1987/06/01 00:00 [pubmed]', '1987/06/01 00:01 [medline]', '1987/06/01 00:00 [entrez]']",['10.1084/jem.165.6.1609 [doi]'],ppublish,J Exp Med. 1987 Jun 1;165(6):1609-23. doi: 10.1084/jem.165.6.1609.,PMC2188366,,,,,,,,,,,,,,
3108384,NLM,MEDLINE,19870715,20210103,0022-1767 (Print) 0022-1767 (Linking),138,12,1987 Jun 15,Tumor necrosis factor-alpha enhances cytolytic activity of human natural killer cells.,4185-91,"The effect of recombinant tumor necrosis factor-alpha (rTNF alpha) on human natural killer (NK) function was examined. Lysis of both the NK-sensitive K562 erythroleukemia line and the relatively insensitive renal carcinoma line Cur by nonadherent peripheral blood lymphocytes was significantly enhanced as a result of an 18-hr preincubation with either rTNF alpha or recombinant interleukin 2 (rIL 2). When cells were preincubated with rTNF alpha and low doses of rIL 2 (1 to 10 U/ml), marked additional augmentation of lysis of both targets was noted which was greater than that caused by either cytokine alone. Similar results were observed when responses of CD16+ large granular lymphocytes selected with the fluorescence-activated cell sorter after staining with the NK-specific monoclonal antibody Leu-11 were examined, indicating that the action of the cytokines was directly on the cytotoxic cells. Augmentation of tumor cell lysis could not be ascribed to a cytolytic activity of rTNF alpha on the targets, because no combination of rIL 2, rTNF alpha, or interferon-gamma caused lysis of K562 or Cur. By flow cytometric analysis, it was found that expression of IL 2 receptors was induced on purified CD16+ large granular lymphocytes by rTNF alpha alone and to an even greater degree by the combination of rTNF alpha and rIL 2. Additional analysis of the expression of surface antigens and blocking studies with monoclonal antibodies showed that enhanced tumor cell lysis was not caused by the augmentation of leukocyte function-associated antigen-1-mediated effector/target interactions. These data indicate that rTNF alpha alone, or in combination with rIL 2, directly augments NK cytotoxic activity.","['Ostensen, M E', 'Thiele, D L', 'Lipsky, P E']","['Ostensen ME', 'Thiele DL', 'Lipsky PE']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Glycoproteins)', '0 (Interleukin-2)', '0 (Receptors, Immunologic)', '0 (Receptors, Interleukin-2)', '0 (Recombinant Proteins)', '0 (Tumor Necrosis Factor-alpha)', '82115-62-6 (Interferon-gamma)']",IM,"['Carcinoma, Renal Cell/pathology', 'Cytotoxicity Tests, Immunologic', 'Cytotoxicity, Immunologic/*drug effects', 'Drug Synergism', 'Glycoproteins/*pharmacology', 'Humans', 'Interferon-gamma/pharmacology', 'Interleukin-2/pharmacology', 'Kidney Neoplasms/pathology', 'Killer Cells, Natural/drug effects/*immunology', 'Leukemia, Erythroblastic, Acute/pathology', 'Receptors, Immunologic/biosynthesis', 'Receptors, Interleukin-2', 'Recombinant Proteins/pharmacology', 'Tumor Necrosis Factor-alpha']",1987/06/15 00:00,1987/06/15 00:01,['1987/06/15 00:00'],"['1987/06/15 00:00 [pubmed]', '1987/06/15 00:01 [medline]', '1987/06/15 00:00 [entrez]']",,ppublish,J Immunol. 1987 Jun 15;138(12):4185-91.,,['AM01251/AM/NIADDK NIH HHS/United States'],,,,,,,,,,,,,
3108381,NLM,MEDLINE,19870702,20071114,0022-1767 (Print) 0022-1767 (Linking),138,11,1987 Jun 1,"Antigen-driven T cell clones can proliferate in vivo, eradicate disseminated leukemia, and provide specific immunologic memory.",4012-7,"The aim of the current study was to determine the ability of antigen-driven cloned helper cell independent cytotoxic T lymphocytes (HITc) to proliferate and to survive in vivo and to mediate tumor therapy. The HITc clone utilized (denoted 1.B6) was specifically cytolytic to FBL-3, a syngeneic Friend virus-induced murine leukemia. Activation in vitro (48 hr) with FBL-3 induced secretion of interleukin 2 (IL 2), expression of IL 2 receptors (IL 2R), and in vitro proliferation. These cells could be ""rested"" for several weeks without stimulation, which resulted in reduced expression of IL 2R; however, restimulation with antigen resulted in reinduction of IL 2R and proliferation. The ability of cloned HITc to proliferate and to survive in vivo was examined in cyclophosphamide (CY) pretreated donor mice congenic for the Thy-1 gene. Adoptively transferred cloned HITc could be found in large numbers, and were widely distributed in vivo 1 wk after transfer. In tumor therapy, 1.B6 cells when injected into a site of tumor (i.p.) and used as an adjunct to CY were effective against disseminated FBL-3. In this circumstance, cloned 1.B6 cells could be recovered from cured mice 125 days after transfer and were shown to specifically lyse tumor and proliferate in vitro in response to FBL-3. Thus as an adjunct to CY, tumor-specific cloned HITc are capable of eradicating disseminated leukemia, persisting long-term in vivo, and providing specific immunologic memory.","['Klarnet, J P', 'Matis, L A', 'Kern, D E', 'Mizuno, M T', 'Peace, D J', 'Thompson, J A', 'Greenberg, P D', 'Cheever, M A']","['Klarnet JP', 'Matis LA', 'Kern DE', 'Mizuno MT', 'Peace DJ', 'Thompson JA', 'Greenberg PD', 'Cheever MA']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Antigens, Neoplasm)', '0 (Receptors, Immunologic)', '0 (Receptors, Interleukin-2)']",IM,"['Animals', 'Antigens, Neoplasm/*immunology', 'Cell Survival', 'Cytotoxicity, Immunologic', 'Immunity, Cellular', 'Immunization, Passive', 'Immunologic Memory', 'Immunotherapy', 'Leukemia, Experimental/*therapy', 'Lymphocyte Activation', 'Mice', 'Receptors, Immunologic/immunology', 'Receptors, Interleukin-2', 'T-Lymphocytes, Cytotoxic/*immunology', 'Time Factors']",1987/06/01 00:00,1987/06/01 00:01,['1987/06/01 00:00'],"['1987/06/01 00:00 [pubmed]', '1987/06/01 00:01 [medline]', '1987/06/01 00:00 [entrez]']",,ppublish,J Immunol. 1987 Jun 1;138(11):4012-7.,,"['CA 00721/CA/NCI NIH HHS/United States', 'CA 30558/CA/NCI NIH HHS/United States', 'CA 33084/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,
3108376,NLM,MEDLINE,19870702,20081121,0022-1767 (Print) 0022-1767 (Linking),138,11,1987 Jun 1,Synergistic effect of recombinant IL 2 and interferon-gamma on the proliferation of human monoclonal lymphocytes.,3824-8,"We studied the effect of interferon-gamma (IFN-gamma) on the proliferation of lymphocytes from 10 B-type chronic lymphocytic leukemia (B-CLL) patients. In no instance did IFN-gamma induce a proliferative response whether used alone or in combination with anti-mu antibody (Ab). This was observed regardless of the responsiveness of a given patient's cells to interleukin 2 (IL 2) and to B cell growth factor (BCGF). In contrast IFN-gamma strongly and reproducibly synergized with IL 2 (but not with BCGF) to support B-CLL proliferation in five of the 10 patients. The effect of IFN-gamma was dose related and could be inhibited by an anti-IFN-gamma monoclonal Ab. A monoclonal Ab toward the IL 2 receptor molecule was also inhibitory. Preincubation with IFN-gamma potentiated the responsiveness of B-CLL to IL 2 in secondary cultures, showing that IFN-gamma exerts its effect before that of IL 2.","['Karray, S', 'Vazquez, A', 'Merle-Beral, H', 'Olive, D', 'Debre, P', 'Galanaud, P']","['Karray S', 'Vazquez A', 'Merle-Beral H', 'Olive D', 'Debre P', 'Galanaud P']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Growth Substances)', '0 (Interleukin-2)', '0 (Lymphokines)', '0 (Recombinant Proteins)', '207137-56-2 (Interleukin-4)', '82115-62-6 (Interferon-gamma)']",IM,"['B-Lymphocytes/*physiology', 'Clone Cells/physiology', 'Dose-Response Relationship, Drug', 'Drug Synergism', 'Growth Substances/pharmacology', 'Humans', 'Interferon-gamma/*administration & dosage', 'Interleukin-2/*administration & dosage', 'Interleukin-4', 'Kinetics', 'Leukemia, Lymphoid/pathology', '*Lymphocyte Activation/drug effects', 'Lymphokines/pharmacology', 'Recombinant Proteins']",1987/06/01 00:00,1987/06/01 00:01,['1987/06/01 00:00'],"['1987/06/01 00:00 [pubmed]', '1987/06/01 00:01 [medline]', '1987/06/01 00:00 [entrez]']",,ppublish,J Immunol. 1987 Jun 1;138(11):3824-8.,,,,,,,,,,,,,,,
3108331,NLM,MEDLINE,19870717,20190501,0021-9746 (Print) 0021-9746 (Linking),40,5,1987 May,Cell surface expression of beta 2-microglobulin (beta 2m) correlates with stages of differentiation in B cell tumours.,486-9,"Cell surface beta 2-microglobulin (beta 2m) densities of malignant B cells were determined by enzyme immunoassay in 97 cases of immunologically defined lymphoproliferative disease. Absolute beta 2m densities were found to depend on disease category with the lowest levels found on cells from chronic lymphocytic leukaemia (mean = 5.6 ng/10(6) cells, n = 27); atypical chronic lymphocytic leukaemia (mean = 5.9 ng/10(6) cells, n = 8); and prolymphocytoid chronic lymphocytic leukaemia variant (mean = 6.0 ng/10(6) cells, n = 16). beta 2m densities for B non-Hodgkin's lymphoma (n = 14) and B prolymphocytic leukaemia (n = 17) cases were 8.1 and 10.0 ng/10(6) cells, respectively, and the highest densities were found on cells from ""late-B cell"" tumours (mean = 14.3 ng/10(6) cells). Plasma cells from cases of Ig secreting tumours expressed unexpectedly low beta 2m densities (mean = 9.3 ng/10(6) cells; n = 6).","['Jones, R A', 'Scott, C S', 'Norfolk, D R', 'Stark, A N', 'Child, J A']","['Jones RA', 'Scott CS', 'Norfolk DR', 'Stark AN', 'Child JA']",['eng'],['Journal Article'],England,J Clin Pathol,Journal of clinical pathology,0376601,['0 (beta 2-Microglobulin)'],IM,"['B-Lymphocytes/immunology', 'Cell Differentiation', 'Cell Membrane/immunology', 'Humans', 'Leukemia/*immunology', 'Leukemia, Hairy Cell/immunology', 'Leukemia, Lymphoid/immunology', 'Lymphoma, Non-Hodgkin/*immunology', 'Multiple Myeloma/immunology', 'Waldenstrom Macroglobulinemia/immunology', 'beta 2-Microglobulin/*analysis']",1987/05/01 00:00,1987/05/01 00:01,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '1987/05/01 00:01 [medline]', '1987/05/01 00:00 [entrez]']",['10.1136/jcp.40.5.486 [doi]'],ppublish,J Clin Pathol. 1987 May;40(5):486-9. doi: 10.1136/jcp.40.5.486.,PMC1141008,,,,,,,,,,,,,,
