PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,CIN,TT,EIN,SI,PMC,GS,RIN,CON
2496557,NLM,MEDLINE,19890530,20180216,0001-5792 (Print) 0001-5792 (Linking),81,2,1989,Proliferation of B cells from chronic lymphocytic leukemia is selectively promoted by B cell growth factor.,91-7,"B cell activation was studied in B cells from B cell chronic lymphocytic leukemia (B-CLL) patients. After in vitro stimulation, these B cells showed extensive proliferation in the presence of high-molecular-weight B cell growth factor (BCGF). In contrast, this effect was not observed upon addition of recombinant interleukin-2 (IL-2). In agreement, upon stimulation, B cells expressed Bac-1 antigen but failed to acquire the IL-2 receptor. These results demonstrate that the utilization of the BCGF pathway can be segregated from that of IL-2 in B cells from B-CLL patients.","['Alvarez-Mon, M', 'de la Hera, A', 'Gaspar, M L', 'Orfao, A', 'Casas, J', 'Jorda, J', 'Durantez, A']","['Alvarez-Mon M', 'de la Hera A', 'Gaspar ML', 'Orfao A', 'Casas J', 'Jorda J', 'Durantez A']","['Departamento de Medicina, Universidad de Alcala de Henares, Espana.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Acta Haematol,Acta haematologica,0141053,"['0 (Immunoglobulins)', '0 (Interleukin-2)', '0 (Interleukins)', '0 (Receptors, Interleukin-2)', '207137-56-2 (Interleukin-4)']",IM,"['B-Lymphocytes/*immunology/metabolism', 'Cell-Free System', 'Cells, Cultured', 'Humans', 'Immunoglobulins/biosynthesis', 'Interleukin-2/metabolism/pharmacology', 'Interleukin-4', 'Interleukins/*pharmacology', 'Leukemia, Lymphocytic, Chronic, B-Cell/*immunology', '*Lymphocyte Activation', 'Receptors, Interleukin-2/physiology', 'T-Lymphocytes/metabolism']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1159/000205533 [doi]'],ppublish,Acta Haematol. 1989;81(2):91-7. doi: 10.1159/000205533.,,,,,,,,,
2496556,NLM,MEDLINE,19890530,20180216,0001-5792 (Print) 0001-5792 (Linking),81,2,1989,Myelodysplastic syndrome: prospective evaluation of fifty-one patients using the Dutcher scoring system.,86-90,"Fifty-one patients with primary myelodysplastic syndrome were prospectively evaluated using a scoring system based on the presentation blood and bone marrow findings. Twenty-four patients (47%) evolved to acute nonlymphocytic leukemia. Stepwise regression model showed that the scoring system was the only significant variable for predicting transformation to acute leukemia (p = 0.0007, sensitivity 70.8%, specificity 77.8%). Seventy-six percent of patients with a score of 14 or greater developed acute leukemia compared to 19% with a score of 13 or less. Median survival of the entire group was 10 months. The most important prognostic factor for predicting survival was the scoring system (p = 0.0001). Survival correlated inversely with the score. This scoring system may be useful in the management of patients with myelodysplasia.","['Doll, D C', 'Taylor, H M', 'Yesus, Y W', 'Caldwell, C W', 'Anderson, S', 'Madsen, R', 'Ringenberg, Q S', 'Yarbro, J W']","['Doll DC', 'Taylor HM', 'Yesus YW', 'Caldwell CW', 'Anderson S', 'Madsen R', 'Ringenberg QS', 'Yarbro JW']","['Department of Medicine, Harry S. Truman Memorial Veterans Hospital, Columbia, Mo.']",['eng'],,['Journal Article'],Switzerland,Acta Haematol,Acta haematologica,0141053,,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Cell Transformation, Neoplastic/pathology', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Leukemia/blood/mortality/*pathology', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/blood/mortality/*pathology', 'Probability', 'Prognosis', 'Prospective Studies']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1159/000205532 [doi]'],ppublish,Acta Haematol. 1989;81(2):86-90. doi: 10.1159/000205532.,,,,,,,,,
2496555,NLM,MEDLINE,19890530,20180216,0001-5792 (Print) 0001-5792 (Linking),81,2,1989,"High risk subgroup of acute myelomonocytic leukemia (AMML) with orbito-ocular granulocytic sarcoma (OOGS) in Turkish children. Retrospective analysis of clinical, hematological, ultrastructural and therapeutical findings of thirty-three OOGS.",80-5,"Thirty-three patients presenting with orbito-ocular granulocytic sarcoma (OOGS) and acute myelomonocytic leukemia (AMML) were diagnosed in Turkish children from 1963 to 1983. OOGS, characterized by exophthalmos, chemosis and orbital masses, was observed in 33 (27.2%) of 121 AML patients compared with 41 children of AMML without ophthalmic tumors during the same period. Eye tumor and bone marrow aspirates were also studied under light and electron microscopies. The comparison of the hematological parameters did not indicate any statistical difference between the groups. Despite similar chemotherapy regimens administered to all patients, the mean survival time was 8.7 months in the OOGS group, which is significantly shorter compared to those without OOGS (28.6 months) (p less than 0.01). These cases may be classified as a ""high risk"" subgroup of childhood AMML.","['Cavdar, A O', 'Babacan, E', 'Gozdasoglu, S', 'Kilicturgay, K', 'Arcasoy, A', 'Cin, S', 'Ertem, U', 'Erten, J']","['Cavdar AO', 'Babacan E', 'Gozdasoglu S', 'Kilicturgay K', 'Arcasoy A', 'Cin S', 'Ertem U', 'Erten J']","['Pediatric Oncology and Hematology Research Center, Ankara University, Turkey.']",['eng'],,['Journal Article'],Switzerland,Acta Haematol,Acta haematologica,0141053,,IM,"['Adolescent', 'Child', 'Child, Preschool', 'Eye/ultrastructure', 'Eye Neoplasms/drug therapy/mortality/*pathology', 'Female', 'Humans', 'Leukemia, Myeloid/drug therapy/mortality/*pathology', 'Leukemia, Myelomonocytic, Acute/drug therapy/mortality/*pathology', 'Male', 'Orbital Neoplasms/drug therapy/mortality/*pathology', 'Organelles/ultrastructure', 'Retrospective Studies', 'Risk Factors', 'Turkey']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1159/000205531 [doi]'],ppublish,Acta Haematol. 1989;81(2):80-5. doi: 10.1159/000205531.,,,,,,,,,
2496554,NLM,MEDLINE,19890530,20180216,0001-5792 (Print) 0001-5792 (Linking),81,2,1989,Serum cholesterol and triglycerides in hematological malignancies.,75-9,"Serum levels of total cholesterol and triglycerides were studied in 202 patients affected by various hematological malignancies at the time of diagnosis. A hypocholesterolemia was found in 44% of patients affected by lymphoproliferative diseases and acute lymphoblastic leukemia, with an evident correlation with the clinical stage (5.7% of patients in nonadvanced stages, 67.8% in advanced stages). In acute and chronic myeloproliferative diseases, the overall incidence of hypocholesterolemia was 71%. In particular, a greater incidence of low cholesterol values was found in chronic myeloid leukemia and in idiopathic myelofibrosis than in polycythemia vera. No significant correlation was found in this group of diseases between the values of cholesterol and the main hematological parameters studied (WBC, number of circulating blasts, degree of splenomegaly, levels of hemoglobin, hematocrit). The incidence of significant alterations of triglycerides appeared negligible. It is thus possible to affirm that hypocholesterolemia constitutes an interesting biological aspect in hematological malignancies, and that total cholesterol could represent a parameter, even though secondary, in the follow-up of hematological neoplastic pathologies.","['Marini, A', 'Carulli, G', 'Azzara, A', 'Grassi, B', 'Ambrogi, F']","['Marini A', 'Carulli G', 'Azzara A', 'Grassi B', 'Ambrogi F']","['Servizio di Ematologia e Clinica Medica I, University of Pisa, Italy.']",['eng'],,['Journal Article'],Switzerland,Acta Haematol,Acta haematologica,0141053,"['0 (Triglycerides)', '97C5T2UQ7J (Cholesterol)']",IM,"['Adolescent', 'Adult', 'Aged', 'Bone Marrow Diseases/*blood/pathology', 'Cholesterol/*blood', 'Female', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/blood/pathology', 'Lymphoproliferative Disorders/*blood/pathology', 'Male', 'Middle Aged', 'Myeloproliferative Disorders/blood/pathology', 'Neoplasm Staging', 'Polycythemia Vera/blood/pathology', 'Triglycerides/*blood']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1159/000205530 [doi]'],ppublish,Acta Haematol. 1989;81(2):75-9. doi: 10.1159/000205530.,,,,,,,,,
2496552,NLM,MEDLINE,19890530,20180216,0001-5792 (Print) 0001-5792 (Linking),81,2,1989,Cobalamin-dependent replication of L1210 leukemia cells and effects of cobalamin analogues.,61-9,"L1210 cell line cells were made deficient in Cbl by propagation in a medium devoid of CNCbl in which fetal calf serum had been replaced by bovine serum albumin. These Cbl-deficient cells gradually ceased to multiply when the medium contained 5-CH3THF, although cell growth was resumed following the addition of CNCbl, OHCbl or folic acid. The results of this study provide experimental proof for the 'methyl trap' hypothesis. In contrast to the above effect of CNCbl, cobinamide and Cbl analogues which were produced by a reaction of OHCbl with ascorbic acid did not have any growth-inducing effect on the cells which had been cultured in a 5-CH3THF-supplemented medium and had ceased to multiply. Nor did these analogues have an inhibitory effect on CNCbl-dependent growth.","['Kondo, H', 'Iseki, T', 'Iwasa, S', 'Okuda, K', 'Kanazawa, S', 'Ohto, M', 'Okuda, K']","['Kondo H', 'Iseki T', 'Iwasa S', 'Okuda K', 'Kanazawa S', 'Ohto M', 'Okuda K']","['Division of Hematology, Chiba University School of Medicine, Japan.']",['eng'],,['Journal Article'],Switzerland,Acta Haematol,Acta haematologica,0141053,"['0 (Cobalt Radioisotopes)', '0 (Cobamides)', '0 (Culture Media)', '0 (Growth Inhibitors)', '13497-85-3 (cobinamide)', '27432CM55Q (Serum Albumin, Bovine)', '935E97BOY8 (Folic Acid)', 'P6YC3EG204 (Vitamin B 12)', 'PQ6CK8PD0R (Ascorbic Acid)', 'Q40X8H422O (Hydroxocobalamin)']",IM,"['Animals', 'Ascorbic Acid', 'Cell Division/*drug effects', 'Cobalt Radioisotopes/metabolism', 'Cobamides/pharmacology', 'Culture Media', 'Folic Acid/pharmacology', 'Growth Inhibitors/pharmacology', 'Hydroxocobalamin', 'Leukemia L1210/metabolism/*pathology', 'Mice', 'Serum Albumin, Bovine/pharmacology', 'Vitamin B 12/analogs & derivatives/metabolism/*pharmacology', 'Vitamin B 12 Deficiency/metabolism/pathology']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1159/000205528 [doi]'],ppublish,Acta Haematol. 1989;81(2):61-9. doi: 10.1159/000205528.,,,,,,,,,
2496549,NLM,MEDLINE,19890530,20180216,0001-5792 (Print) 0001-5792 (Linking),81,2,1989,Central nervous system involvement demonstrated by immunological study in prolymphocytic variant of chronic lymphocytic leukemia.,109-11,"A patient with the prolymphocytic variant of B cell chronic lymphocytic leukemia (CLL/PL) who developed meningeal leukemic involvement is reported. He had been diagnosed as having CLL/PL 2.5 years earlier, and treated successively with splenectomy, continuous chlorambucil and CHOP chemotherapy. While receiving the latter treatment, the patient developed persistent cephalalgia and vomiting, without signs of neurological focality. A lumbar puncture yielded a cerebrospinal fluid (CSF) showing lymphoid cells of prolymphocytic appearance and the immunological cell markers demonstrated the clonality of these cells. Intrathecal methotrexate and arabinosyl cytosine treatment was administered, this leading to the disappearance of the abnormal cells from the CSF and the resolution of the clinical symptoms.","['Lopez Guillermo, A', 'Cervantes, F', 'Blade, J', 'Matutes, E', 'Urbano, A', 'Montserrat, E', 'Rozman, C']","['Lopez Guillermo A', 'Cervantes F', 'Blade J', 'Matutes E', 'Urbano A', 'Montserrat E', 'Rozman C']","['Postgraduate School of Hematology Farreras Valenti, University of Barcelona, Spain.']",['eng'],,"['Case Reports', 'Journal Article']",Switzerland,Acta Haematol,Acta haematologica,0141053,"['0 (Biomarkers, Tumor)']",IM,"['Biomarkers, Tumor/analysis', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/cerebrospinal fluid/metabolism/*pathology', 'Leukemia, Prolymphocytic/cerebrospinal fluid/metabolism/*pathology', 'Male', 'Meningeal Neoplasms/analysis/cerebrospinal fluid/*pathology', 'Middle Aged']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1159/000205537 [doi]'],ppublish,Acta Haematol. 1989;81(2):109-11. doi: 10.1159/000205537.,,['Acta Haematol. 1992;87(3):163-4. PMID: 1642098'],,,,,,,
2496548,NLM,MEDLINE,19890530,20180216,0001-5792 (Print) 0001-5792 (Linking),81,2,1989,Refractory anemia terminating in acute megakaryoblastic leukemia (M7).,104-8,"A 72-year-old man with refractory anemia (RA) developed overt megakaryoblastic leukemia after the course of RA with excess of blasts. The blasts were positive for platelet peroxidase activity and had platelet glycoproteins (GPs) such as GPIIb/IIIa and GPIIIa. The bone marrow biopsy at terminal stage disclosed marked fibrosis. The nature of the megakaryoblasts was investigated. The blasts did not differentiate morphologically into mature megakaryocytes with TPA addition. In vitro colony assay showed the failure of colony-forming unit, megakaryocyte growth in peripheral blood. The pathogenesis of myelofibrosis in our patient is discussed.","['Adachi, M', 'Ryo, R', 'Yoshida, A', 'Yamaguchi, N', 'Izumi, Y']","['Adachi M', 'Ryo R', 'Yoshida A', 'Yamaguchi N', 'Izumi Y']","['Department of Laboratory Medicine, Kobe University School of Medicine, Japan.']",['eng'],,"['Case Reports', 'Journal Article']",Switzerland,Acta Haematol,Acta haematologica,0141053,"['0 (Antigens, Surface)', 'EC 1.11.1.- (Peroxidases)']",IM,"['Aged', 'Anemia, Refractory/blood/*pathology', 'Antigens, Surface/analysis', 'Blast Crisis/ultrastructure', 'Blood Platelets/enzymology', 'Bone Marrow/pathology', 'Cell Transformation, Neoplastic/*pathology', 'Humans', 'Leukemia, Megakaryoblastic, Acute/blood/*pathology', 'Male', 'Peroxidases/blood', 'Tumor Cells, Cultured/ultrastructure', 'Tumor Stem Cell Assay']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1159/000205536 [doi]'],ppublish,Acta Haematol. 1989;81(2):104-8. doi: 10.1159/000205536.,,,,,,,,,
2496305,NLM,MEDLINE,19890607,20071115,0888-8809 (Print) 0888-8809 (Linking),3,2,1989 Feb,Induction of macrophage-like differentiation of HL-60 leukemia cells by tumor necrosis factor-alpha: potential role of fos expression.,409-19,"Tumor necrosis factor-alpha (TNF-alpha) is a macrophage-derived cytokine elicited during cellular responses to various microbial infections. TNF-alpha exerts direct cytotoxicity toward some tumor cells in vitro and produces hemorrhagic tumor necrosis in vivo. In human promyelocytic HL-60 leukemia cells, human recombinant TNF-alpha (rTNF-alpha) exhibits a small early proliferative effect (within 48 h), followed by marked cytostatic activity at 96 h after the addition of rTNF-alpha. Cytostasis is contiguous with an induction of cell differentiation along the monocyte/macrophage lineage. The cell proliferation effects and the induction of the differentiated phenotype are preceded by an approximate 5-fold increase in c-fos mRNA levels within 90 min after rTNF-alpha treatment of log phase HL-60 cells. Nuclear in vitro transcription assays indicate that the effect of rTNF-alpha on c-fos mRNA abundance is controlled at the transcriptional level. We have also used a postembedding immunocolloidal gold electron microscopy technique to localize and semiquantitate pp55c-fos proto-oncoprotein levels in the nucleus of both control and rTNF-alpha-treated HL-60 leukemia cells. In response to rTNF-alpha, we have observed a rapid and transient accumulation of pp55c-fos in discrete nuclear substructures within 2 h after treatment. C-fos staining appears in clusters, which are preferentially localized over semi-condensed chromatin and interchromatin granules. These results suggest that pp55c-fos is involved in the signal transduction system initiated by rTNF-alpha during the induction of HL-60 differentiation.","['Squinto, S P', 'Doucet, J P', 'Block, A L', 'Morrow, S L', 'Davenport, W D Jr']","['Squinto SP', 'Doucet JP', 'Block AL', 'Morrow SL', 'Davenport WD Jr']","['Department of Biochemistry and Molecular Biology, Louisiana State University Medical Center, New Orleans 70119.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Mol Endocrinol,"Molecular endocrinology (Baltimore, Md.)",8801431,"['0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-fos)', '0 (RNA, Messenger)', '0 (Tumor Necrosis Factor-alpha)']",IM,"['Cell Line', 'Cell Nucleus/analysis/pathology/ultrastructure', 'Cell Transformation, Neoplastic/*drug effects', '*Gene Expression Regulation', 'Humans', 'Leukemia, Myeloid, Acute/*pathology', 'Macrophages/*pathology/ultrastructure', 'Microscopy, Electron/methods', 'Proto-Oncogene Proteins/analysis/*genetics', 'Proto-Oncogene Proteins c-fos', 'RNA, Messenger/analysis', 'Transcription, Genetic/drug effects', 'Tumor Cells, Cultured/drug effects', 'Tumor Necrosis Factor-alpha/analysis/*pharmacology']",1989/02/01 00:00,2001/03/28 10:01,['1989/02/01 00:00'],"['1989/02/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1989/02/01 00:00 [entrez]']",['10.1210/mend-3-2-409 [doi]'],ppublish,Mol Endocrinol. 1989 Feb;3(2):409-19. doi: 10.1210/mend-3-2-409.,,,,,,,,,
2496279,NLM,MEDLINE,19890526,20081121,0025-7753 (Print) 0025-7753 (Linking),92,3,1989 Jan 28,[Acute myelofibrosis: apropos of a case with immunocytochemical and ultrastructural studies].,102-3,"We report a case of acute myelofibrosis. This is a rare myeloproliferative disorder characterized by pancytopenia, minimal or absent anisopoikilocytosis, bone marrow fibrosis with hyperplasia and immaturity of the three main cellular lines with megakaryocyte predominance, absence of splenomegaly and rapidly fatal course. We discuss its relationship with acute megakaryocytic leukemia, as its blast elements correspond to megakaryocytes when ultrastructural and antifactor VIII immunoperoxidase techniques are used; these techniques disclose alpha granules and cell demarcating membranes.","['Ocana, I', 'Alegre, J', 'Fernandez de Sevilla, T', 'Ruiz Marcellan, L', 'Ribera, E', 'Martinez Vazquez, J M']","['Ocana I', 'Alegre J', 'Fernandez de Sevilla T', 'Ruiz Marcellan L', 'Ribera E', 'Martinez Vazquez JM']",,['spa'],,"['Case Reports', 'English Abstract', 'Journal Article']",Spain,Med Clin (Barc),Medicina clinica,0376377,['9001-27-8 (Factor VIII)'],IM,"['Aged', 'Biopsy', 'Diagnosis, Differential', 'Factor VIII/immunology', 'Humans', 'Immunoenzyme Techniques', 'Male', 'Megakaryocytes/ultrastructure', 'Microscopy, Electron', 'Primary Myelofibrosis/diagnosis/*pathology']",1989/01/28 00:00,1989/01/28 00:01,['1989/01/28 00:00'],"['1989/01/28 00:00 [pubmed]', '1989/01/28 00:01 [medline]', '1989/01/28 00:00 [entrez]']",,ppublish,Med Clin (Barc). 1989 Jan 28;92(3):102-3.,,,Mielofibrosis aguda: a proposito de un caso con estudios inmunocitoquimicos y ultraestructurales.,,,,,,
2496278,NLM,MEDLINE,19890530,20190824,0145-2126 (Print) 0145-2126 (Linking),13,3,1989,Contrasting effect of IFN-gamma and IFN-alpha/beta on differentiation of some clones of mouse myeloid leukemic cells.,253-7,"Mouse myeloid leukemic M1 cells are induced to differentiate into macrophage-like cells by a differentiation-inducing factor (D-factor) and various agents. IFN-gamma alone did not induce differentiation of clone T22-3 of M1 cells but inhibited their differentiation by D-factor. That is, IFN-gamma at 4 U/ml inhibited 50% of phagocytic activity of T22-3 cells induced by 7 x 10(-11) M D-factor. In addition, it inhibited the induction of lysozyme activity and morphological differentiation of these cells by D-factor. IFN-gamma also inhibited dexamethasone-induced differentiation of T22-3 cells. Previously interferon-alpha/beta was shown not to induce differentiation of M1 cells itself, but to enhance induction of their differentiation by D-factor. The present study showed that IFN-alpha/beta and IFN-gamma had opposite effects on induction of differentiation of T22-3 cells by D-factor. The effect of IFN-gamma on the differentiation of M1 cells varied with the clone of M1 cells used: IFN-gamma inhibited D-factor-induced differentiation of cells of clones T22-3 and S2, but induced differentiation of cells of clones B24 and S1.","['Yamamoto-Yamaguchi, Y', 'Tomida, M', 'Hozumi, M']","['Yamamoto-Yamaguchi Y', 'Tomida M', 'Hozumi M']","['Department of Chemotherapy, Saitama Cancer Center Research Institute, Japan.']",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,"['0 (Growth Inhibitors)', '0 (Interferon Type I)', '0 (Interleukin-6)', '0 (Leukemia Inhibitory Factor)', '0 (Lif protein, mouse)', '0 (Lymphokines)', '0 (Recombinant Proteins)', '82115-62-6 (Interferon-gamma)']",IM,"['Animals', 'Cell Differentiation/drug effects', 'Clone Cells', '*Growth Inhibitors', 'Interferon Type I/*pharmacology', 'Interferon-gamma/*pharmacology', '*Interleukin-6', 'Leukemia Inhibitory Factor', 'Leukemia, Myeloid/*pathology', 'Lymphokines/pharmacology', 'Mice', 'Phagocytosis/drug effects', 'Recombinant Proteins']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1016/0145-2126(89)90020-9 [doi]'],ppublish,Leuk Res. 1989;13(3):253-7. doi: 10.1016/0145-2126(89)90020-9.,,,,,,,,,
