PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,MH,EDAT,MHDA,CRDT,PHST,PST,SO,TT,SB,AID,AB,RF,PMC,AD,GR,OID
202167,NLM,MEDLINE,19780223,20181113,0002-9440 (Print) 0002-9440 (Linking),90,1,1978 Jan,Replication of type I herpes simplex virus in primary cultures of hairy cell leukemic leukocytes.,187-200,"['Pozner, L H', 'Daniels, C A', 'Cooper, J A', 'Cohen, H J', 'Logue, G L', 'Croker, B P']","['Pozner LH', 'Daniels CA', 'Cooper JA', 'Cohen HJ', 'Logue GL', 'Croker BP']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Pathol,The American journal of pathology,0370502,"['0 (Antigens, Viral)']","['Antigens, Viral/analysis', 'Cells, Cultured', 'Humans', 'Leukemia, Hairy Cell/*microbiology', 'Leukemia, Lymphoid/microbiology', 'Leukocytes/*microbiology', 'Lymphocyte Activation', 'Lymphoma, Non-Hodgkin/microbiology', 'Simplexvirus/*growth & development/immunology', '*Virus Replication']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Am J Pathol. 1978 Jan;90(1):187-200.,,IM,,"The ability of leukemic leukocytes to support the replication of herpes simplex virus (HSV) was studied. Mononuclear leukocytes (MNL) from the peripheral blood of patients with a variety of lymphoid leukemias were isolated on Ficoll-Hypaque gradients and infected with HSV at a multiplicity of infection of 5 to 10. No virus growth was detected in cells from patients with chronic lymphocytic leukemia (9), acute lymphocytic leukemia (1), or lymphosarcoma cell leukemia (2), HSV replication did occur in hairy cell leukemic MNL from all of 4 patients studied. Maximal titers of 10(3.7) to 10(4.7) PFU/ml occurred 1 to 7 days after incubation. By electron microscopy, herpesvirus particles were seen in the nuclei of these infected cells after 3 days of culture, but none was seen in the cells not exposed to virus. Fluorescent antibody examination confirmed the presence of HSV antigens in the nuclei of infected hairy cells. No difference in the adsorption or penetration of the virus was found with the various MNL studied. Productive infection of the cells thus appeared to depend on the ability of the leukocyte ;o support a later stage of infection, either uncoating or replication of the virus.",,PMC2018223,,,
202114,NLM,MEDLINE,19780218,20190911,0514-7166 (Print) 0514-7166 (Linking),24,9,1977 Oct,Comparative study of four diagnostic methods of enzootic bovine leukosis.,733-40,"['Mammerickx, M', 'Burny, A', 'Dekegel, D', 'Ghysdael, J', 'Kettmann, R', 'Portetelle, D']","['Mammerickx M', 'Burny A', 'Dekegel D', 'Ghysdael J', 'Kettmann R', 'Portetelle D']",['eng'],"['Comparative Study', 'Journal Article']",Germany,Zentralbl Veterinarmed B,Zentralblatt fur Veterinarmedizin. Reihe B. Journal of veterinary medicine. Series B,0331325,"['0 (Antibodies, Viral)']","['Animals', 'Antibodies, Viral/analysis', 'Cattle', 'Cattle Diseases/*diagnosis', 'Complement Fixation Tests', 'Immunodiffusion', 'Leukemia/*diagnosis', 'Leukemia Virus, Bovine']",1977/10/01 00:00,1977/10/01 00:01,['1977/10/01 00:00'],"['1977/10/01 00:00 [pubmed]', '1977/10/01 00:01 [medline]', '1977/10/01 00:00 [entrez]']",ppublish,Zentralbl Veterinarmed B. 1977 Oct;24(9):733-40. doi: 10.1111/j.1439-0450.1977.tb01047.x.,,IM,['10.1111/j.1439-0450.1977.tb01047.x [doi]'],,,,,,
202083,NLM,MEDLINE,19780223,20190714,0042-6822 (Print) 0042-6822 (Linking),84,1,1978 Jan,Endogenous feline (RD-114) and baboon type C viruses have related specific RNA-binding proteins and genome binding sites.,99-107,"['Sen, A', 'Sherr, C J', 'Todaro, G J']","['Sen A', 'Sherr CJ', 'Todaro GJ']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Virology,Virology,0110674,"['0 (Phosphoproteins)', '0 (RNA, Viral)', '0 (Viral Proteins)']","['Animals', 'Binding Sites', '*Genes, Viral', 'Leukemia Virus, Feline/genetics/*metabolism', 'Papio', 'Phosphoproteins/*metabolism', 'Protein Binding', 'RNA, Viral/*metabolism', 'Retroviridae/*metabolism', 'Sarcoma Virus, Woolly Monkey/*metabolism', 'Species Specificity', 'Viral Proteins/*metabolism']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Virology. 1978 Jan;84(1):99-107. doi: 10.1016/0042-6822(78)90221-0.,,IM,['10.1016/0042-6822(78)90221-0 [doi]'],,,,,,
202080,NLM,MEDLINE,19780223,20190714,0042-6822 (Print) 0042-6822 (Linking),84,1,1978 Jan,Murine leukemia virus infectious centers are dependent on the rate of virus production by infected cells.,222-6,"['Chesebro, B', 'Wehrly, K', 'Watson, K', 'Chesebro, K']","['Chesebro B', 'Wehrly K', 'Watson K', 'Chesebro K']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Virology,Virology,0110674,,"['Cell Line/microbiology', 'Half-Life', 'Kinetics', 'Leukemia Virus, Murine/*growth & development', 'Virus Replication']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Virology. 1978 Jan;84(1):222-6. doi: 10.1016/0042-6822(78)90239-8.,,IM,['10.1016/0042-6822(78)90239-8 [doi]'],,,,,,
202077,NLM,MEDLINE,19780223,20190714,0042-6822 (Print) 0042-6822 (Linking),84,1,1978 Jan,An analysis of type-C retrovirus polypeptides and their associations in the virion.,19-31,"['Montelaro, R C', 'Sullivan, S J', 'Bolognesi, D P']","['Montelaro RC', 'Sullivan SJ', 'Bolognesi DP']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Virology,Virology,0110674,"['0 (Disulfides)', '0 (Peptides)', '0 (Viral Proteins)', '9001-00-7 (Bromelains)', 'GMW67QNF9C (Leucine)']","['Avian Sarcoma Viruses/*analysis/ultrastructure', 'Bromelains', 'Chromatography, Gel', 'Disulfides/analysis', 'Electrophoresis, Polyacrylamide Gel', 'Friend murine leukemia virus/*analysis/ultrastructure', 'Leucine/analysis', 'Peptides/*analysis', 'Precipitin Tests', 'Viral Proteins/analysis', 'Virion/*analysis']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Virology. 1978 Jan;84(1):19-31. doi: 10.1016/0042-6822(78)90215-5.,,IM,['10.1016/0042-6822(78)90215-5 [doi]'],,,,,,
202054,NLM,MEDLINE,19780223,20190702,0042-4900 (Print) 0042-4900 (Linking),101,22,1977 Nov 26,A new notifiable disease.,435-6,,,['eng'],['Editorial'],England,Vet Rec,The Veterinary record,0031164,,"['Animals', 'Cattle', 'Cattle Diseases/*prevention & control', 'Legislation, Veterinary', 'Leukemia Virus, Bovine', 'Lymphoma, Non-Hodgkin/prevention & control/*veterinary', 'United Kingdom']",1977/11/26 00:00,1977/11/26 00:01,['1977/11/26 00:00'],"['1977/11/26 00:00 [pubmed]', '1977/11/26 00:01 [medline]', '1977/11/26 00:00 [entrez]']",ppublish,Vet Rec. 1977 Nov 26;101(22):435-6. doi: 10.1136/vr.101.22.435.,,IM,['10.1136/vr.101.22.435 [doi]'],,,,,,
201965,NLM,MEDLINE,19780218,20080226,0079-645X (Print) 0079-645X (Linking),23,,1977,Viruses associated with renal disease of man and animals.,22-50,"['Morrison, W I', 'Wright, N G']","['Morrison WI', 'Wright NG']",['eng'],"['Journal Article', 'Review']",Switzerland,Prog Med Virol,Progress in medical virology. Fortschritte der medizinischen Virusforschung. Progres en virologie medicale,0376451,"['0 (Antibodies, Viral)', '0 (Antigen-Antibody Complex)', '0 (Antigens, Viral)']","['Adenoviridae Infections/microbiology', 'Aleutian Mink Disease/microbiology', 'Animals', 'Antibodies, Viral', 'Antigen-Antibody Complex', 'Antigens, Viral', 'Equine Infectious Anemia/microbiology', 'Genes, MHC Class II', 'Glomerulonephritis/*etiology', 'Hepatitis B/microbiology', 'Horses', 'Humans', 'Immune Complex Diseases/*etiology', 'Kidney Diseases/*etiology', 'Leukemia Virus, Murine', 'Leukemia, Experimental/microbiology', 'Lymphocytic Choriomeningitis/microbiology', '*Virus Diseases/microbiology']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",ppublish,Prog Med Virol. 1977;23:22-50.,,IM,,,145,,,,
201874,NLM,MEDLINE,19780218,20211203,0028-2685 (Print) 0028-2685 (Linking),24,6,1977,Cyclophosphamide induced sensitivity against avian RNA myeloblastosis virus in age-resistant hosts.,595-600,"['Smida, J', 'Smidova, V']","['Smida J', 'Smidova V']",['eng'],['Journal Article'],Slovakia,Neoplasma,Neoplasma,0377266,"['0 (RNA, Viral)', '8N3DW7272P (Cyclophosphamide)']","['*Aging', 'Animals', '*Avian Leukosis Virus', '*Avian Myeloblastosis Virus', 'Chickens', '*Cyclophosphamide', 'Dose-Response Relationship, Drug', 'Immunosuppression Therapy', 'Leukemia, Myeloid, Acute/blood/*etiology/mortality', 'RNA, Viral']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",ppublish,Neoplasma. 1977;24(6):595-600.,,IM,,"The effect of cyclophosphamide administration on survival of 4- to 7-week-old chickens as well as on induction of leukemia after avian myeloblastosis virus (AMV) injection was studied. The drug treatment alone did not cause any neoplastic effect in the birds during 4 months of observation. Immediate application of AMV to cyclophosphamide-pretreated age-resistant chickens induced acute myeloblastic leukemia in about 80 per cent of test animals. The sensitivity of chickens against AMV, induced by cyclophosphamide, had transient character only. When AMV was injected delayed, 3 or 10 days later, after the administration of the drug was completed, a rapid and pronounced increase of resistance was observed again.",,,,,
201860,NLM,MEDLINE,19780218,20190617,0028-0836 (Print) 0028-0836 (Linking),270,5635,1977 Nov 24,Non-random chromosome gains in human lymphoblastoid cell lines.,349-51,"['Steel, C M', 'Woodward, M A', 'Davidson, C', 'Philipson, J', 'Arthur, E']","['Steel CM', 'Woodward MA', 'Davidson C', 'Philipson J', 'Arthur E']",['eng'],['Journal Article'],England,Nature,Nature,0410462,,"['Burkitt Lymphoma/genetics', 'Cell Line', '*Chromosome Aberrations', '*Chromosomes, Human', 'Herpesvirus 4, Human', 'Humans', 'Karyotyping', 'Leukemia/genetics', 'Lymphocytes/*ultrastructure', 'Probability', 'Trisomy']",1977/11/24 00:00,1977/11/24 00:01,['1977/11/24 00:00'],"['1977/11/24 00:00 [pubmed]', '1977/11/24 00:01 [medline]', '1977/11/24 00:00 [entrez]']",ppublish,Nature. 1977 Nov 24;270(5635):349-51. doi: 10.1038/270349a0.,,IM,['10.1038/270349a0 [doi]'],,,,,,
201856,NLM,MEDLINE,19780223,20190617,0028-0836 (Print) 0028-0836 (Linking),270,5634,1977 Nov 17,A feline leukaemia virus- and sarcoma virus-induced tumour-specific antigen.,249-51,"['Hardy, W D Jr', 'Zuckerman, E E', 'MacEwen, E G', 'Hayes, A A', 'Essex, M']","['Hardy WD Jr', 'Zuckerman EE', 'MacEwen EG', 'Hayes AA', 'Essex M']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Nature,Nature,0410462,"['0 (Antigens, Neoplasm)', '0 (Antigens, Viral)']","['Animals', 'Antigens, Neoplasm/*analysis', 'Antigens, Viral/analysis', 'Cat Diseases/*immunology/microbiology', 'Cats', 'Defective Viruses/immunology', 'Leukemia/*veterinary', 'Leukemia Virus, Feline/*immunology', 'Lymphocytes/microbiology', 'Lymphoma, Non-Hodgkin/microbiology/*veterinary']",1977/11/17 00:00,2001/03/28 10:01,['1977/11/17 00:00'],"['1977/11/17 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1977/11/17 00:00 [entrez]']",ppublish,Nature. 1977 Nov 17;270(5634):249-51. doi: 10.1038/270249a0.,,IM,['10.1038/270249a0 [doi]'],,,,,,
201855,NLM,MEDLINE,19780223,20190617,0028-0836 (Print) 0028-0836 (Linking),270,5634,1977 Nov 17,Selective expression of xenotropic virus in congenic HRS/J (hairless) mice.,247-9,"['Hiai, H', 'Morrissey, P', 'Khiroya, R', 'Schwartz, R S']","['Hiai H', 'Morrissey P', 'Khiroya R', 'Schwartz RS']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Nature,Nature,0410462,,"['Animals', 'Leukemia Virus, Murine/*growth & development', 'Leukemia, Experimental/*genetics/microbiology', 'Mice/*genetics/microbiology', 'Species Specificity', 'Thymus Gland/microbiology']",1977/11/17 00:00,1977/11/17 00:01,['1977/11/17 00:00'],"['1977/11/17 00:00 [pubmed]', '1977/11/17 00:01 [medline]', '1977/11/17 00:00 [entrez]']",ppublish,Nature. 1977 Nov 17;270(5634):247-9. doi: 10.1038/270247a0.,,IM,['10.1038/270247a0 [doi]'],,,,,,
201854,NLM,MEDLINE,19780218,20190617,0028-0836 (Print) 0028-0836 (Linking),269,5630,1977 Oct 20,Catecholamine hormone receptors are reduced on chronic lymphocytic leukaemic lymphocytes.,693-5,"['Sheppard, J R', 'Gormus, R', 'Moldow, C F']","['Sheppard JR', 'Gormus R', 'Moldow CF']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",England,Nature,Nature,0410462,"['0 (Receptors, Adrenergic)', '0 (Receptors, Adrenergic, beta)', '877K5MQ27W (Alprenolol)', '9Y8NXQ24VQ (Propranolol)', 'EC 4.6.1.1 (Adenylyl Cyclases)', 'L628TT009W (Isoproterenol)']","['Adenylyl Cyclases/blood', 'Alprenolol/blood', 'Binding, Competitive', 'Cell Membrane/metabolism', 'Humans', 'In Vitro Techniques', 'Isoproterenol/blood', 'Leukemia, Lymphoid/*blood', 'Lymphocytes/*metabolism/ultrastructure', 'Propranolol/blood', 'Receptors, Adrenergic/*metabolism', 'Receptors, Adrenergic, beta/*metabolism']",1977/10/20 00:00,1977/10/20 00:01,['1977/10/20 00:00'],"['1977/10/20 00:00 [pubmed]', '1977/10/20 00:01 [medline]', '1977/10/20 00:00 [entrez]']",ppublish,Nature. 1977 Oct 20;269(5630):693-5. doi: 10.1038/269693a0.,,IM,['10.1038/269693a0 [doi]'],,,,,,
201852,NLM,MEDLINE,19780218,20190617,0028-0836 (Print) 0028-0836 (Linking),269,5625,1977 Sep 15,Excretion of feline leukaemia virus by naturally infected pet cats.,252-4,"['Francis, D P', 'Essex, M', 'Hardy, W D Jr']","['Francis DP', 'Essex M', 'Hardy WD Jr']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Nature,Nature,0410462,,"['Animals', 'Blood/microbiology', 'Cat Diseases/*microbiology/transmission', 'Cats', 'Female', 'Leukemia/microbiology/transmission/*veterinary', 'Leukemia Virus, Feline/*isolation & purification', 'Male', 'Saliva/microbiology', 'Urine/microbiology']",1977/09/15 00:00,2001/03/28 10:01,['1977/09/15 00:00'],"['1977/09/15 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1977/09/15 00:00 [entrez]']",ppublish,Nature. 1977 Sep 15;269(5625):252-4. doi: 10.1038/269252a0.,,IM,['10.1038/269252a0 [doi]'],,,,,,
201781,NLM,MEDLINE,19780218,20200724,0022-538X (Print) 0022-538X (Linking),24,3,1977 Dec,Effects of filipin on the structure and biological activity of enveloped viruses.,883-92,"['Majuk, Z', 'Bittman, R', 'Landsberger, F R', 'Compans, R W']","['Majuk Z', 'Bittman R', 'Landsberger FR', 'Compans RW']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['0 (Polyenes)', '7XU7A7DROE (Amphotericin B)', '87Z59R7D14 (Filipin)', '97C5T2UQ7J (Cholesterol)']","['Amphotericin B/pharmacology', 'Cholesterol/metabolism', 'Filipin/metabolism/*pharmacology', 'Orthomyxoviridae/*drug effects/metabolism/ultrastructure', 'Polyenes/*pharmacology', 'Rauscher Virus/*drug effects/metabolism/ultrastructure', 'Vesicular stomatitis Indiana virus/*drug effects/metabolism/ultrastructure', 'Virion/metabolism']",1977/12/01 00:00,1977/12/01 00:01,['1977/12/01 00:00'],"['1977/12/01 00:00 [pubmed]', '1977/12/01 00:01 [medline]', '1977/12/01 00:00 [entrez]']",ppublish,J Virol. 1977 Dec;24(3):883-92. doi: 10.1128/JVI.24.3.883-892.1977.,,IM,['10.1128/JVI.24.3.883-892.1977 [doi]'],"The interaction of the polyene antibiotic filipin with membrane-bound cholesterol in vesicular stomatitis (VS), influenza, and Rauscher leukemia virions was studied. Exposure of virions to filipin resulted in a series of depressions and ridges in the envelope of VS virions, with a periodicity of 15 to 20 nm perpendicular to the long axis of the particle; similar morphological alterations were observed in negatively stained preparations, in thin-sectioned virions, and in protease-treated virions that lack surface glycoproteins. This morphological effect was specific for filipin, since the envelopes of VS virions that had been treated with another polyene antibiotic, amphotericin B, exhibited markedly different morphology. Morphological alterations induced by filipin in influenza and Rauscher leukemia virions differed from those seen in VS virions. The infectivity of filipin-treated VS virions was reduced up to 500-fold, whereas influenza virions were resistant to filipin treatment. Incorporation of filipin into the virions was demonstrated, and no release of either lipids or proteins from virions was detected after filipin treatment. A stoichiometry of approximately 1 mol of bound filipin per mol of cholesterol was found in both intact and protease-treated VS virions. The equilibrium dissociation constant for filipin-cholesterol interaction was approximately 74-fold larger in intact than in protease-treated VS virions. The initial rate of association of filipin with cholesterol in intact virions was slower than that in protease-treated particles. The fluidity of lipids in VS viral membranes, as probed by a stearic acid derivative spin label, was markedly reduced when either intact or protease-treated virions were treated with filipin.",,PMC516010,,,
201758,NLM,MEDLINE,19780218,20190709,0022-2623 (Print) 0022-2623 (Linking),20,12,1977 Dec,"1,2,4-Triazole amino nucleosides. 1-beta-D-3'-Amino-3'-deoxyribofuranosyl-1,2,4-triazole-3-carboxamide and related nucleosides.",1684-7,"['Narang, A S', 'Vince, R']","['Narang AS', 'Vince R']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Antineoplastic Agents)', '0 (Antiviral Agents)', '0 (Deoxyribonucleosides)', '0 (Triazoles)']","['Animals', 'Antineoplastic Agents/chemical synthesis', 'Antiviral Agents/chemical synthesis', 'Cells, Cultured', 'Cytopathogenic Effect, Viral/drug effects', 'Deoxyribonucleosides/*chemical synthesis/pharmacology', 'Leukemia, Experimental/physiopathology', 'Simplexvirus/drug effects', 'Triazoles/*chemical synthesis/pharmacology', 'Vaccinia virus/drug effects']",1977/12/01 00:00,1977/12/01 00:01,['1977/12/01 00:00'],"['1977/12/01 00:00 [pubmed]', '1977/12/01 00:01 [medline]', '1977/12/01 00:00 [entrez]']",ppublish,J Med Chem. 1977 Dec;20(12):1684-7. doi: 10.1021/jm00222a032.,,IM,['10.1021/jm00222a032 [doi]'],"The synthesis of 1-beta-D-3'-amino-3'-deoxyribofuranosyl-1,2,4-triazole-3-carboxamide--the 3'-amino analogue of ribavirin--and five related nucleoside analogues is described. Each analogue exhibited LD50 concentrations greater than 100 microgram/mL against P-388 mouse lymphoid leukemia cells in tissue culture. Antiviral testing indicated that none of the compounds exhibited significant activity.",,,,,
201656,NLM,MEDLINE,19780218,20131121,0021-9533 (Print) 0021-9533 (Linking),27,,1977,Role of Ca2+ in preserving viability of Friend erythroleukaemic cells after ultramicroinjection.,157-65,"['Wasserman, M', 'Loyter, A', 'Kulka, R G']","['Wasserman M', 'Loyter A', 'Kulka RG']",['eng'],['Journal Article'],England,J Cell Sci,Journal of cell science,0052457,"['0 (Hemoglobins)', '8L70Q75FXE (Adenosine Triphosphate)', 'SY7Q814VUP (Calcium)']","['Adenosine Triphosphate/metabolism', 'Animals', 'Calcium/*pharmacology', 'Carcinoma, Ehrlich Tumor', 'Carcinoma, Hepatocellular', 'Cell Fusion', 'Cell Survival/*drug effects', 'Cells, Cultured', 'Clone Cells', 'Erythrocyte Membrane', 'Hemoglobins/biosynthesis', '*Leukemia, Erythroblastic, Acute', 'Liver Neoplasms', 'Parainfluenza Virus 1, Human', 'Protein Biosynthesis']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",ppublish,J Cell Sci. 1977;27:157-65.,,IM,,"Ca2+ facilitated the fusion by Sendai virus of Friend erythroleukaemic cells and Ehrlich ascites tumour cells but not that of hepatoma tissue culture cells. In the absence of Ca2+ Sendai virus caused the complete depletion of ATP and abolished protein synthesis in Friend erythro-leukaemic cells fused with each other. Addition of high concentrations of Ca2+ (10-20 mM) partially protected the cells from ATP depletion. After a further incubation of cells in complete medium plus 0.2 mM adenine, ATP levels and protein synthesis were restored to 60-85% of those of the untreated control. The protective effect of Ca2+ was used to improve the ultramicroinjection method which involves the fusion of human erythrocyte ghosts with cells. When human erythrocyte ghosts containing high K+ were fused with Friend erythroleukaemic cells in the presence of 10 mM Ca2+ ATP levels and protein synthesis after recovery were about 60-85% of the control. Friend erythroleukaemic cells subjected to ultramicroinjection under these conditions had a cloning efficiency of 75-95% of that of the untreated controls. In these experiments 70-100% of the cells had fused with ghosts. Induction of haemoglobin synthesis by dimethylsulphoxide was unimpaired in cells subjected to ultramicroinjection under the same conditions.",,,,,
201633,NLM,MEDLINE,19780223,20210210,0021-9258 (Print) 0021-9258 (Linking),253,2,1978 Jan 25,"Transport of a nonphosphorylated nucleoside, 5'-deoxyadenosine, by murine leukemia L1210 cells.",400-3,"['Kessel, D']",['Kessel D'],['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Deoxyadenosines)', '0 (Ribonucleosides)', 'EC 2.7.- (Phosphotransferases)']","['Animals', 'Biological Transport, Active', 'Deoxyadenosines/*metabolism', 'Kinetics', 'Leukemia L1210/*metabolism', 'Phosphotransferases/metabolism', 'Ribonucleosides/pharmacology', 'Structure-Activity Relationship']",1978/01/25 00:00,1978/01/25 00:01,['1978/01/25 00:00'],"['1978/01/25 00:00 [pubmed]', '1978/01/25 00:01 [medline]', '1978/01/25 00:00 [entrez]']",ppublish,J Biol Chem. 1978 Jan 25;253(2):400-3.,,IM,['S0021-9258(17)38222-4 [pii]'],"The mode of transport of a nonphosphorylated adenosine analog, 5'-deoxyadenosine, was studied in murine leukemia L1210 cells. This compound is not subject to the action of intracellular nucleoside-trapping kinases, and its transport can be examined without regard for effects of experimental conditions on kinase activity. Accumulation of 5'-deoxyadenosine was rapid, and nonconcentrative, with equilibrium attained within 12 s at 37 degrees. Kinetic studies were carried out at 20 degrees. We found both a nonmediated (diffusion) and a mediated transport process. The latter had an apparent Km fo 115 micrometer, Vmax = 105 pmol/10(6) cells/min. Uptake of 5'-deoxyadenosine was inhibited by several heterologous nucleosides including adenosine, 2'-deoxyadenosine, thymine riboside, and inosine. Like 2'-deoxyadenosine, 5'-deoxyadenosine was more lipid-soluble than adenosine (from octanol/water partition studies). Compared with 5'-deoxyadenosine, adenosine had a much lower apparent Km (5 micrometer) and a higher Q10 over the 27-37 degrees range (3.0 versus 1.3). Data obtained with adenosine might, however, reflect properties of intracellular adenosine kinase interacting with a transport process.",,,,,
201600,NLM,MEDLINE,19780218,20190723,0021-8820 (Print) 0021-8820 (Linking),30,11,1977 Nov,Unusual susceptibility of oncogenic viruses to an antiviral antibiotic (BXM-10).,999-1001,"['Groupe, V', 'Donovick, R']","['Groupe V', 'Donovick R']",['eng'],['Journal Article'],Japan,J Antibiot (Tokyo),The Journal of antibiotics,0151115,"['0 (Antibiotics, Antineoplastic)', '0 (Antiviral Agents)']","['Animals', '*Antibiotics, Antineoplastic', 'Antiviral Agents/*therapeutic use', 'Chickens', 'Influenza A virus/drug effects', 'Leukemia, Experimental/drug therapy', 'Male', 'Mice', 'Orthomyxoviridae Infections/drug therapy', 'Rauscher Virus/drug effects', 'Sarcoma, Avian/*drug therapy']",1977/11/01 00:00,1977/11/01 00:01,['1977/11/01 00:00'],"['1977/11/01 00:00 [pubmed]', '1977/11/01 00:01 [medline]', '1977/11/01 00:00 [entrez]']",ppublish,J Antibiot (Tokyo). 1977 Nov;30(11):999-1001. doi: 10.7164/antibiotics.30.999.,,IM,['10.7164/antibiotics.30.999 [doi]'],,,,,,
201595,NLM,MEDLINE,19780218,20031114,0018-2052 (Print) 0018-2052 (Linking),26,2-3,1977 Sep,"Type-C RNA virus and leukemogenesis: lack of correlation between expression of endogenous, ecotropic murine leukemia virus and radiation leukemogenesis in mice.",177-88,"['Nagao, K']",['Nagao K'],['eng'],['Journal Article'],Japan,Hiroshima J Med Sci,Hiroshima journal of medical sciences,0421060,,"['Animals', 'Female', 'Leukemia, Experimental/etiology/microbiology', 'Leukemia, Radiation-Induced/*etiology/microbiology', 'Mice', 'Retroviridae/*pathogenicity', 'Thymectomy']",1977/09/01 00:00,1977/09/01 00:01,['1977/09/01 00:00'],"['1977/09/01 00:00 [pubmed]', '1977/09/01 00:01 [medline]', '1977/09/01 00:00 [entrez]']",ppublish,Hiroshima J Med Sci. 1977 Sep;26(2-3):177-88.,,IM,,,,,,,
201591,NLM,MEDLINE,19780218,20180214,0300-5526 (Print) 0300-5526 (Linking),9,4,1978,Reiteration frequency of feline type C viral genomes in homologous and heterologous host cell DNA.,253-60,"['Okabe, H', 'DuBuy, J', 'Hatanaka, M', 'Gilden, R V']","['Okabe H', 'DuBuy J', 'Hatanaka M', 'Gilden RV']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Switzerland,Intervirology,Intervirology,0364265,"['0 (DNA, Viral)', '9007-49-2 (DNA)']","['Animals', 'Cats', 'Cell Line', 'DNA/*analysis', 'DNA, Viral/*analysis', 'Humans', 'Leukemia Virus, Feline/*analysis', 'Liver', 'Nucleic Acid Hybridization', 'Retroviridae/*analysis']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Intervirology. 1978;9(4):253-60. doi: 10.1159/000148943.,,IM,['10.1159/000148943 [doi]'],"Differences in the multiplicity of proviral sequences of two feline endogenous viruses, RD-114 and FeLV, in homologous and heterologous host DNA were examined by viral cDNA hybridization using cellular DNA fractionated with respect to reiteration frequency. The endogenous proviral DNAs in cat cells were fractionated predominantly with intermediate-repeated sequences, while RD-114 proviral DNA in virus-infected human cells was fractionated together with unique-sequence DNA. These differences were consistent with the results of kinetic analysis using unfractionated DNA.",,,,,
