PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,CIN,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,RN,GS,AID,PMC,GR,TT,CON,SI,EIN,OID,OAB,OABL,OTO,OT,GN
1864551,NLM,MEDLINE,19910909,20071115,0390-6078 (Print) 0390-6078 (Linking),76 Suppl 1,,1991 Mar,Prevention of graft-versus-host disease by lymphocyte depletion of the bone marrow graft with use of counterflow centrifugation.,22-8,"A combination of density flotation centrifugation and counterflow centrifugation (elutriation) allows the elimination of 98% of the T-lymphocytes, present in a marrow aspirate. This reduces substantially the occurrence of graft versus host disease (GvHD) after transplantation without loss of the repopulation capacity. A limitation of the traditional Beckman elutriator rotor is the relatively small size of the elutriation chamber, which makes five to six runs, of one hour each, necessary to process the whole bone marrow graft. We developed a new elutriator rotor, containing four disposable elutriator chamber (Dijkstra BV, Amsterdam, The Netherlands), which allows to complete the lymphocyte elimination from the bone marrow graft within 2 hours. Ninety-nine consecutive patients were transplanted with elutriated MLC-negative bone marrow grafts from histocompatible siblings. Indications for transplantation were: AML (n = 32), ALL (n = 34) and CML (n = 33). The grafts contained after counterflow centrifugation a mean of 12.1 (+/- 2.4)% of the nucleated cells, 1.9 (+/- 1.4)% of the T-lymphocytes, and 93.5 (+/- 59.4)% of the CFU-GM, originally present in the collected bone marrow. Immunoprophylaxis post grafting was given to 97 BMT recipients. Primary graft failure occurred in 5 of 95 evaluable patients (5%). The probability of acute GvHD greater than grade 1 at day 100 after BMT was 16%. The projected 3-year estimate of extensive chronic GvHD was 13%. The low incidence of GvHD was associated with a relatively low transplant related mortality in patients above the age of 40 years.(ABSTRACT TRUNCATED AT 250 WORDS)","['Haanen, C', 'De Witte, T', 'Plas, A', 'Schattemberg, T']","['Haanen C', 'De Witte T', 'Plas A', 'Schattemberg T']","['Division of Hematology, University Hospital, Nijmegen, The Netherlands.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Italy,Haematologica,Haematologica,0417435,IM,,"['Adult', '*Bone Marrow Cells', 'Bone Marrow Transplantation/adverse effects/*methods/mortality', 'Cell Separation/*methods', 'Centrifugation/*methods', 'Evaluation Studies as Topic', 'Graft vs Host Disease/mortality/*prevention & control', 'Humans', 'Immunosuppressive Agents/therapeutic use', 'Italy/epidemiology', 'Leukemia/mortality/*surgery', '*Lymphocyte Depletion', 'Neoplasm Recurrence, Local/epidemiology', 'Survival Rate']",,1991/03/01 00:00,1991/03/01 00:01,['1991/03/01 00:00'],"['1991/03/01 00:00 [pubmed]', '1991/03/01 00:01 [medline]', '1991/03/01 00:00 [entrez]']",ppublish,Haematologica. 1991 Mar;76 Suppl 1:22-8.,['0 (Immunosuppressive Agents)'],,,,,,,,,,,,,,
1864374,NLM,MEDLINE,19910909,20190620,0014-5793 (Print) 0014-5793 (Linking),286,1-2,1991 Jul 29,Changes in the kinetics of inositol transport during TPA-induced differentiation of HL60 cells towards monocytes.,229-32,"When exposed to the phorbol ester TPA, HL60 cells undergo growth arrest and differentiate towards monocytes. During TPA-induced differentiation there was a 2.6-fold increase in the rate of inositol transport (Vmax), a 2.1-fold increase in intracellular inositol and a 1.5-fold increase in inositol lipid. An increase in the Vmax of inositol transport did not occur when the variant cell line HL60Ast3 was exposed to TPA, which has been shown in this cell line to induce growth arrest but not differentiation. This observation suggests that the change in inositol transport during HL60 monocyte differentiation is specifically associated with the process of cell differentiation as opposed to growth arrest.","['Grafton, G', 'Bunce, C M', 'Sheppard, M C', 'Brown, G', 'Baxter, M A']","['Grafton G', 'Bunce CM', 'Sheppard MC', 'Brown G', 'Baxter MA']","['Department of Medicine, University of Birmingham, Edgbaston, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,FEBS Lett,FEBS letters,0155157,IM,,"['Biological Transport', 'Cell Differentiation/drug effects', 'Humans', 'Inositol/*metabolism', 'Kinetics', 'Leukemia', 'Monocytes/cytology/*metabolism', 'Phagocytosis', 'Tetradecanoylphorbol Acetate/pharmacology', 'Tumor Cells, Cultured']",,1991/07/29 00:00,1991/07/29 00:01,['1991/07/29 00:00'],"['1991/07/29 00:00 [pubmed]', '1991/07/29 00:01 [medline]', '1991/07/29 00:00 [entrez]']",ppublish,FEBS Lett. 1991 Jul 29;286(1-2):229-32. doi: 10.1016/0014-5793(91)80980-h.,"['4L6452S749 (Inositol)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",,"['0014-5793(91)80980-H [pii]', '10.1016/0014-5793(91)80980-h [doi]']",,,,,,,,,,,,
1864269,NLM,MEDLINE,19910906,20191022,0893-6692 (Print) 0893-6692 (Linking),18,1,1991,Chemical mutagenesis at the thymidine kinase locus in L5178Y mouse lymphoma cells: results for 31 coded compounds in the National Toxicology Program.,51-83,"Experimental data from the testing of 31 chemicals for mutagenicity at the TK locus in L5178Y mouse lymphoma cells are presented and evaluated. If mutagenic activity was not obtained for the chemical added to suspension cultures for 4 hr, then the testing was repeated in the presence of hepatic S9 mix prepared from Aroclor 1254-induced male Fischer 344 rats. Multiple trials were performed for each chemical, and mutagenic treatments were analyzed for the induction of small and large mutant colony populations. Twelve chemicals were not detected as mutagenic, one (ascorbic acid) was questionable, and 18 were evaluated as mutagenic. These results were used in the evaluations presented by Tennant et al. [Science 236:933-941, 1987] in a critical comparison of four in vitro genotoxicity assays with rodent carcinogenicity results. The mouse lymphoma assay results were in general agreement with the carcinogenicity studies. Discordant evaluations with respect to carcinogenicity (four false negatives and six false positives) were discussed from the standpoint of how the predictive performance of the in vitro mutation assay might be improved.","['Myhr, B C', 'Caspary, W J']","['Myhr BC', 'Caspary WJ']","['Department of Genetic Toxicology, Hazleton Laboratories America, Kensington, Maryland 50895.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Environ Mol Mutagen,Environmental and molecular mutagenesis,8800109,IM,,"['Animals', 'Biotransformation', 'Leukemia L5178/*enzymology/genetics', 'Male', 'Mice', 'Microsomes, Liver/metabolism', '*Mutagenesis', 'Mutagenicity Tests/*methods', 'Mutagens/*pharmacology', 'National Institutes of Health (U.S.)', 'Rats', 'Rats, Inbred F344', 'Research Design', 'Thymidine Kinase/*genetics', 'United States']",,1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Environ Mol Mutagen. 1991;18(1):51-83. doi: 10.1002/em.2850180109.,"['0 (Mutagens)', 'EC 2.7.1.21 (Thymidine Kinase)']",,['10.1002/em.2850180109 [doi]'],,['N01-ES-28036/ES/NIEHS NIH HHS/United States'],,,,,,,,,,
1864228,NLM,MEDLINE,19910910,20131121,0378-6501 (Print) 0378-6501 (Linking),17,2,1991,Effect of solcoseryl on antitumour action and acute toxicity of some antineoplastic drugs.,133-8,"The in vivo effect of Solcoseryl on the antitumour activity and acute toxicity of some antineoplastic drugs was examined. It was found that Solcoseryl does not inhibit the antineoplastic effectiveness of the drugs against transplantable P 388 leukaemia in mice. Studies of the effect of Solcoseryl on acute toxicity of selected antineoplastic drugs in mice revealed that the biostimulator could exert a modifying influence. The prior administration of Solcoseryl significantly decreases the acute toxicity of methotrexate but has no effect on acute toxicity of 5-fluorouracil, increases the acute toxicity of bleomycin and vinblastine and has no effect on acute toxicity of methotrexate and mitoxantron. On the other hand, Solcoseryl administered simultaneously with the antineoplastic drugs increases acute toxicity of 5-fluorouracil, bleomycin and mitoxantron. The protective effect of the biostimulator noted exclusively against acute toxicity of 5-fluorouracil was also observed after multiple administration of this anticancer drug.","['Danysz, A', 'Soltysiak-Pawluczuk, D', 'Czyzewska-Szafran, H', 'Jedrych, A', 'Jastrzebski, Z']","['Danysz A', 'Soltysiak-Pawluczuk D', 'Czyzewska-Szafran H', 'Jedrych A', 'Jastrzebski Z']","['Department of Pharmacology, Institute of Drug Research and Control, Warsaw, Poland.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Drugs Exp Clin Res,Drugs under experimental and clinical research,7802135,IM,,"['Actihaemyl/administration & dosage/*pharmacology', 'Animals', 'Antineoplastic Agents/therapeutic use/*toxicity', 'Cytarabine/therapeutic use/toxicity', 'Drug Interactions', 'Fluorouracil/therapeutic use/toxicity', 'Injections, Intraperitoneal', 'Injections, Intravenous', 'Lethal Dose 50', 'Leukemia P388/*drug therapy', 'Male', 'Methotrexate/therapeutic use/toxicity', 'Mice', 'Mice, Inbred DBA', 'Mitoxantrone/therapeutic use/toxicity']",,1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Drugs Exp Clin Res. 1991;17(2):133-8.,"['0 (Antineoplastic Agents)', '04079A1RDZ (Cytarabine)', '37239-28-4 (Actihaemyl)', 'BZ114NVM5P (Mitoxantrone)', 'U3P01618RT (Fluorouracil)', 'YL5FZ2Y5U1 (Methotrexate)']",,,,,,,,,,,,,,
1864170,NLM,MEDLINE,19910912,20140226,0578-1426 (Print) 0578-1426 (Linking),30,2,1991 Feb,[Autologous bone marrow transplantation for acute leukemia].,113-5,,"['Wang, J M', 'Meng, P L']","['Wang JM', 'Meng PL']",,['chi'],"['Journal Article', 'Review']",China,Zhonghua Nei Ke Za Zhi,Zhonghua nei ke za zhi,16210490R,IM,,"['Acute Disease', '*Bone Marrow Transplantation/adverse effects/methods', 'Humans', 'Leukemia/*surgery', 'Transplantation, Autologous']",22,1991/02/01 00:00,1991/02/01 00:01,['1991/02/01 00:00'],"['1991/02/01 00:00 [pubmed]', '1991/02/01 00:01 [medline]', '1991/02/01 00:00 [entrez]']",ppublish,Zhonghua Nei Ke Za Zhi. 1991 Feb;30(2):113-5.,,,,,,,,,,,,,,,
1864011,NLM,MEDLINE,19910911,20190510,0009-9104 (Print) 0009-9104 (Linking),85,2,1991 Aug,Increased spontaneous secretion of IL-6 from B cells of patients with B chronic lymphatic leukaemia (B-CLL) and autoimmunity.,302-6,"We studied B cells from 18 patients with B-CLL, six of them with autoimmune haemolytic anaemia, for spontaneous secretion of IL-6. Our aim was to determine whether the increased incidence of autoimmune disease found in B-CLL patients is associated with enhanced spontaneous IL-6 secretion. IL-6 was measured by the effect of B cell supernatants on the proliferation of an IL-6 dependent plasmacytoma cell line T1165. The highest IL-6 values (7.4 +/- 1.8 U/ml) were measured in supernatants derived on day 3 of culture from lymphocytes of the six patients with B-CLL and concomitant autoimmune disease. The maximal IL-6 values for 10 patients with B-CLL only were 2.8 +/- 0.3 U/ml and for 10 age-matched controls, 0.8 +/- 0.3 U/ml (P less than 0.01, each group compared with the other). We conclude that there is an association between B-CLL, autoimmune disease and the spontaneous in vitro secretion of IL-6. Further studies are needed to determine whether the IL-6 secretion plays a role in the pathogenesis of autoimmune disease in patients with B-CLL.","['Lahat, N', 'Aghai, E', 'Maroun, B', 'Kinarty, A', 'Quitt, M', 'Froom, P']","['Lahat N', 'Aghai E', 'Maroun B', 'Kinarty A', 'Quitt M', 'Froom P']","['Immunology Unit, Kupat Holim Lady Davis Carmel Hospital, Haifa, Israel.']",['eng'],['Journal Article'],England,Clin Exp Immunol,Clinical and experimental immunology,0057202,IM,,"['Aged', 'Aged, 80 and over', 'Animals', 'Autoimmune Diseases/*complications/immunology', 'Autoimmunity', 'B-Lymphocytes/*metabolism', 'Female', 'Humans', 'Interleukin-6/*metabolism', 'Leukemia, Lymphocytic, Chronic, B-Cell/complications/*immunology', 'Male', 'Middle Aged', 'Tumor Cells, Cultured']",,1991/08/01 00:00,1991/08/01 00:01,['1991/08/01 00:00'],"['1991/08/01 00:00 [pubmed]', '1991/08/01 00:01 [medline]', '1991/08/01 00:00 [entrez]']",ppublish,Clin Exp Immunol. 1991 Aug;85(2):302-6. doi: 10.1111/j.1365-2249.1991.tb05723.x.,['0 (Interleukin-6)'],,['10.1111/j.1365-2249.1991.tb05723.x [doi]'],PMC1535733,,,,,,,,,,,
1863986,NLM,MEDLINE,19910912,20190706,0009-8981 (Print) 0009-8981 (Linking),198,1-2,1991 Apr,Analysis of immunoglobulin and T cell receptor genes. Part II: Possibilities and limitations in the diagnosis and management of lymphoproliferative diseases and related disorders.,93-174,,"['van Dongen, J J', 'Wolvers-Tettero, I L']","['van Dongen JJ', 'Wolvers-Tettero IL']","['Department of Immunology, University Hospital Dijkzigt/Erasmus University, Rotterdam, The Netherlands.']",['eng'],"['Journal Article', 'Review']",Netherlands,Clin Chim Acta,Clinica chimica acta; international journal of clinical chemistry,1302422,IM,,"['Cell Differentiation', 'Gene Rearrangement', '*Genes, Immunoglobulin', 'Humans', 'Leukemia/genetics/immunology/pathology', 'Lymphoma/genetics/immunology/pathology', 'Lymphoproliferative Disorders/diagnosis/genetics/*immunology/pathology/therapy', 'Receptors, Antigen, T-Cell/*genetics']",388,1991/04/01 00:00,1991/04/01 00:01,['1991/04/01 00:00'],"['1991/04/01 00:00 [pubmed]', '1991/04/01 00:01 [medline]', '1991/04/01 00:00 [entrez]']",ppublish,Clin Chim Acta. 1991 Apr;198(1-2):93-174. doi: 10.1016/0009-8981(91)90247-a.,"['0 (Receptors, Antigen, T-Cell)']",,"['0009-8981(91)90247-A [pii]', '10.1016/0009-8981(91)90247-a [doi]']",,,,,,,,,,,,
1863949,NLM,MEDLINE,19910912,20061115,0254-6450 (Print) 0254-6450 (Linking),12,3,1991 Jun,"[The mortality of patients with malignant tumors in eleven cities of Jiangsu Province, 1984-1986].",158-62,"The present paper analysed people in eleven cities making up one sixth of Jiangsu population. In 1984-1986 the mortality of malignant neoplasm was 163.28/10(5), (Chinese standard mortality were 116.57/10(5), the world standard mortality were 177.75/10(5)) which accounts for 25.04% of the total mortality during the same time. The trends of deaths from neoplasms show that oesophageal cancer in both sexes and leukemia in male are gradually decreasing, lung cancer in male and hepatoma in female are gradually increasing. The rank correlation analysis between chinese standard mortalities of some major malignant neoplasms indicates that the stomach cancer was positive correlated with oesophageal cancer in both sexes, the oesophageal cancer in male and the stomach cancer in female were negative correlated with lung cancer, and the breast cancer was negative correlated with oesophageal cancer in female. All this suggests that there may be likely etiologic association between these malignant neoplasms.","['Gao, C']",['Gao C'],"['Jiangsu Institute of Cancer Research, Nanjing.']",['chi'],"['English Abstract', 'Journal Article']",China,Zhonghua Liu Xing Bing Xue Za Zhi,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,8208604,IM,,"['China/epidemiology', 'Esophageal Neoplasms/mortality', 'Female', 'Humans', 'Liver Neoplasms/mortality', 'Lung Neoplasms/mortality', 'Male', 'Neoplasms/*mortality', 'Stomach Neoplasms/mortality']",,1991/06/01 00:00,1991/06/01 00:01,['1991/06/01 00:00'],"['1991/06/01 00:00 [pubmed]', '1991/06/01 00:01 [medline]', '1991/06/01 00:00 [entrez]']",ppublish,Zhonghua Liu Xing Bing Xue Za Zhi. 1991 Jun;12(3):158-62.,,,,,,,,,,,,,,,
1863876,NLM,MEDLINE,19910909,20190912,0735-7907 (Print) 0735-7907 (Linking),9,2,1991,Immunotoxins in the therapy of leukemias and lymphomas.,211-9,,"['Hertler, A A', 'Frankel, A E']","['Hertler AA', 'Frankel AE']","['Section of Hematology, Louisiana State University Medical Center, Shreveport.']",['eng'],"['Journal Article', 'Review']",England,Cancer Invest,Cancer investigation,8307154,IM,,"['Bone Marrow Transplantation', 'Humans', 'Immunotoxins/*therapeutic use', 'Leukemia/*therapy', 'Lymphoma/*therapy']",69,1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Cancer Invest. 1991;9(2):211-9. doi: 10.3109/07357909109044231.,['0 (Immunotoxins)'],,['10.3109/07357909109044231 [doi]'],,,,,,,,,,,,
1863862,NLM,MEDLINE,19910909,20151119,0001-4079 (Print) 0001-4079 (Linking),175,2,1991 Feb,[Alpha-L-fucosidase of normal and pathological blood cells].,205-14; discussion 215,"The glycosidases, enzymes which participate in the degradation of glycoproteins and glycolipids inside the lysosomes are themselves glycoproteins and, for one enzyme, several forms may be isolated in tissues and in biological fluids, corresponding to variations in the composition or the structure of their glycanic moiety. We have previously studied the different forms of alpha-L-fucosidase in human serum, kidney and urine. Some modifications of the glycanic fraction of glycoproteins have been described in various forms of tumoral cells; therefore, we have attempted to verify if the alpha-L-fucosidase of blood cells might be a useful marker in the diagnosis of leukemias, using the enzymic pattern obtained by chromatographic or electrofocusing methods. Detergent extracts from normal lymphocytes, submitted to ion-exchange chromatography as well as to chromatofocusing, revealed the presence of two forms of alpha-L-fucosidase, A and B, with respective pIs of 5.7 and 6.2. After treatment by neuraminidase, these two forms remain distinct, showing that the degrees of sialylation is not the only difference. Moreover, after desialylation, the two forms have not the same affinity for concanavalin A, an argument for the heterogeneity of the glycanic structures. The determination of the total activity, and of enzymic patterns of alpha-L-fucosidase from leukemic cells led to the observation of three types of modifications, in comparison with normal lymphocytes: quantitative variations in the total activity; variations in the proportions of the two forms; variations due to the modification of pIs. We have studied the lymphocytes from four patients with a hairy-cell leukemia (HCL), four patients with chronic lymphoid leukemia (CLL) and the MO cell-line, proceeding from a HCL. In all cases, the total fucosidase activity is strongly decreased in comparison with normal lymphocytes activity. The chromatofocusing pattern for CLL cells reveals the presence of the A and B forms, without modification of their eluting pH. A characteristic pattern is obtained with hairy cells, presenting only the B form, eluted in more acidic conditions. The normal lymphocytes in peripheral blood are for 80 per cent of the T phenotype, and the CLL lymphocytes exhibit the phenotypic markers B, as well as the hairy cells, but the MO cell-line acquires in culture the T markers. As these last cells express both the A and B forms of enzyme, the absence of the A form of alpha-L-fucosidase seems to be a marker of the HCL.(ABSTRACT TRUNCATED AT 400 WORDS)","['Percheron, F', 'Bernard, M', 'Foglietti, M J']","['Percheron F', 'Bernard M', 'Foglietti MJ']","['Laboratoire de Biochimie generale et metabolique, Faculte des sciences pharmaceutiques et biologiques, Universite Rene Descartes, Paris.']",['fre'],"['English Abstract', 'Journal Article']",Netherlands,Bull Acad Natl Med,Bulletin de l'Academie nationale de medecine,7503383,IM,,"['Biomarkers/chemistry', 'Cell Line, Transformed', 'Chromatography', 'Humans', 'Leukemia, Hairy Cell/*blood/diagnosis/enzymology', 'Leukemia, Lymphocytic, Chronic, B-Cell/*blood/diagnosis/enzymology', 'Lymphocytes/*chemistry', 'alpha-L-Fucosidase/*chemistry']",,1991/02/01 00:00,1991/02/01 00:01,['1991/02/01 00:00'],"['1991/02/01 00:00 [pubmed]', '1991/02/01 00:01 [medline]', '1991/02/01 00:00 [entrez]']",ppublish,Bull Acad Natl Med. 1991 Feb;175(2):205-14; discussion 215.,"['0 (Biomarkers)', 'EC 3.2.1.51 (alpha-L-Fucosidase)']",,,,,L'alpha-L-fucosidase de cellules sanguines normales et pathologiques.,,,,,,,,,
1863666,NLM,MEDLINE,19910912,20071115,1121-4201 (Print) 1121-4201 (Linking),35,1,1991,Lymphocyte subsets in bone marrow lymphoid nodules and malignant lymphoma nodular involvement.,81-9,"The lymphocyte subsets in 67 cases of bone marrow benign or reactive lymphoid nodules (LN) and 23 cases of nodular involvement by B malignant lymphoma (B-ML) have been immunohistochemically characterized on paraffin embedded trephine biopsies utilizing a panel of 10 monoclonal antibodies. LCA was positive in 90% LN and B-ML lymphocytes; LN2, MB2 stained more than 50% LN and B-ML lymphocytes; MT2 stained more than 50% LN and less than 50% B-ML lymphocytes; UCHL1 stained the 20% of LN lymphocytes; LN1 stained only B cells of the rare germinal centers; MT1 only myeloid cells, L26 only plasma cells. DF-T1 and Leu 22 failed to stain LN or B-ML lymphocytes. While anti-T lymphocyte antibodies reacted inconstantly with lymphoid cells in decalcified and embedded specimens, LCA and some anti-B lymphocyte antibodies gave constantly reproducible results for bone marrow LN and B-ML. They permitted an easy recognition and exact evaluation of the size of LN, the identification of scattered B cells, the detection of the residual or minimal involvement by B-ML and the exact burden of the invasion, but could not allow a convincing differential diagnosis between LN and small cell B-ML nodular involvement.","['Pich, A', 'Gastaldi, M', 'Tragni, G', 'Navone, R']","['Pich A', 'Gastaldi M', 'Tragni G', 'Navone R']","[""Dipartimento di Scienze Biomediche e Oncologia Umana dell'Universita di Torino, Italia.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Italy,Eur J Basic Appl Histochem,European journal of basic and applied histochemistry,9109553,IM,,"['Antibodies, Monoclonal', 'Bone Marrow/*pathology', 'Humans', 'Immunoenzyme Techniques', 'Leukemia, Lymphocytic, Chronic, B-Cell/*pathology', '*Lymphocyte Subsets']",,1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Eur J Basic Appl Histochem. 1991;35(1):81-9.,"['0 (Antibodies, Monoclonal)']",,,,,,,,,,,,,,
