PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,TT,OID,GR,OAB,OABL,OTO,OT,GN
7255556,NLM,MEDLINE,19810915,20190818,0031-8655 (Print) 0031-8655 (Linking),33,2,1981 Feb,The wavelength dependence of ultraviolet light-induced cell killing and mutagenesis in L5178Y mouse lymphoma cells.,257-60,,"['Jacobson, E D', 'Krell, K', 'Dempsey, M J']","['Jacobson ED', 'Krell K', 'Dempsey MJ']",['eng'],"['Comparative Study', 'Journal Article']",United States,Photochem Photobiol,Photochemistry and photobiology,0376425,['G34N38R2N1 (Bromodeoxyuridine)'],IM,"['Animals', 'Bromodeoxyuridine/pharmacology', 'Cell Line', 'Cell Survival/drug effects/radiation effects', 'Dose-Response Relationship, Radiation', 'Leukemia L5178', 'Mice', 'Mutation/drug effects/*radiation effects', '*Ultraviolet Rays']",1981/02/01 00:00,1981/02/01 00:01,['1981/02/01 00:00'],"['1981/02/01 00:00 [pubmed]', '1981/02/01 00:01 [medline]', '1981/02/01 00:00 [entrez]']",['10.1111/j.1751-1097.1981.tb05334.x [doi]'],ppublish,Photochem Photobiol. 1981 Feb;33(2):257-60. doi: 10.1111/j.1751-1097.1981.tb05334.x.,,,,,,,,,
7255348,NLM,MEDLINE,19810915,20041117,1013-2058 (Print) 1013-2058 (Linking),70,24,1981 Jun 9,[The psychotherapeutic significance of art therapy in the treatment of adult cancer patients (author's transl)].,1095-102,,"['Dreifuss, E']",['Dreifuss E'],['ger'],['Journal Article'],Switzerland,Schweiz Rundsch Med Prax,Schweizerische Rundschau fur Medizin Praxis = Revue suisse de medecine Praxis,8403202,,IM,"['Adult', '*Art Therapy', 'Female', 'Humans', 'Leukemia/therapy', 'Male', 'Middle Aged', 'Neoplasms/*therapy']",1981/06/09 00:00,1981/06/09 00:01,['1981/06/09 00:00'],"['1981/06/09 00:00 [pubmed]', '1981/06/09 00:01 [medline]', '1981/06/09 00:00 [entrez]']",,ppublish,Schweiz Rundsch Med Prax. 1981 Jun 9;70(24):1095-102.,,Die psychotherapeutische Bedeutung der Kunstpsychotherapie in der Behandlung von Krebspatienten.,,,,,,,
7255281,NLM,MEDLINE,19810922,20131121,0301-0244 (Print) 0301-0244 (Linking),33,1,1981 Jan-Feb,Acute toxicity of methotrexate and cyclophosphamide in mice inoculated with malignant neoplasms.,73-80,"The toxicity of methotrexate and cyclophosphamide determined by LD50 was depressed in the early period of development of sarcoma Sa-180. In the late period of development of Sa-180 and in mice with leukemia L-1210 the toxicity was higher than in healthy mice. The growth of transplantable neoplasms leads to cachexia, hypoproteinemia and dysproteinemia.","['Graczyk, J']",['Graczyk J'],['eng'],['Journal Article'],Poland,Pol J Pharmacol Pharm,Polish journal of pharmacology and pharmacy,0366561,"['0 (Blood Proteins)', '8N3DW7272P (Cyclophosphamide)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Blood Proteins/analysis', 'Cyclophosphamide/*toxicity', 'Female', 'Leukemia L1210/drug therapy', 'Methotrexate/*toxicity', 'Mice', 'Neoplasm Transplantation', 'Neoplasms, Experimental/blood/*drug therapy', 'Sarcoma 180/drug therapy']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Pol J Pharmacol Pharm. 1981 Jan-Feb;33(1):73-80.,,,,,,,,,
7255222,NLM,MEDLINE,19810925,20170306,,65,3,1981 Mar,[Blood immunoglobulin level and acid phosphatase activity in the lymphocytes in different stages of lymphocytic leukemia according to the Rai classification].,211-8,,"['Kotlarek-Haus, S', 'Podolak-Dawidziak, M', 'Frydecka, I', 'Niewolna, M', 'Smakowska, E', 'Werynska, B', 'Brodzka, W']","['Kotlarek-Haus S', 'Podolak-Dawidziak M', 'Frydecka I', 'Niewolna M', 'Smakowska E', 'Werynska B', 'Brodzka W']",['pol'],"['Comparative Study', 'English Abstract', 'Journal Article']",Poland,Pol Arch Med Wewn,Polskie Archiwum Medycyny Wewnetrznej,0401225,"['0 (Immunoglobulins)', 'EC 3.1.3.2 (Acid Phosphatase)']",IM,"['Acid Phosphatase/*blood', 'Adult', 'Aged', 'Female', 'Humans', 'Immunoglobulins/*analysis', 'Leukemia, Lymphoid/*blood/classification', 'Lymphocytes/*enzymology', 'Male', 'Middle Aged']",1981/03/01 00:00,1981/03/01 00:01,['1981/03/01 00:00'],"['1981/03/01 00:00 [pubmed]', '1981/03/01 00:01 [medline]', '1981/03/01 00:00 [entrez]']",,ppublish,Pol Arch Med Wewn. 1981 Mar;65(3):211-8.,,Zachowanie sie bialek odpornosciowych surowicy krwi i aktywnosci fosfatazy kwasnej limfocytow w roznych okresach przewleklej bialaczki limfocytowej wg podzialu Raia.,,,,,,,
7255157,NLM,MEDLINE,19810922,20071115,,22,4,1980,[Prognostic value of the study of lymphocytic volumes in chronic lymphocytic leukemia (author's transl)].,383-90,"The modal volume of peripheral blood lymphocytes from 23 patients with chronic lymphoid leukemia (CLL) was measured by a Coulter ZBI linked to a channalyzer C 1000, varied from 140 to 262 mu3. A statistical correlation between the modal volume and anatomo-clinical forms of the disease was determined: a modal volume below 190 mu3 was statistically found among early forms while a volume over this threshold corresponded to advanced forms. Since Sipe et al. postulated that cell volume might be relayed to the cell kinetics, we attempted to determine the volume distribution law of lymphocytes from 12 CLL cases by applying the chi-square distance test. The best adjustment was observed with the two log-normal populations model, but this adjustment was acceptable for only five cases over twelve. The instability in the determination of the percentage of the second population made it impossible + relate it with the proliferative cell fraction. Moreover, this model did not provide more significant information than the single modal volume.","['Dighiero, G', 'Lesty, C', 'Couty, M C', 'Binet, J L']","['Dighiero G', 'Lesty C', 'Couty MC', 'Binet JL']",['fre'],"['English Abstract', 'Journal Article']",Germany,Nouv Rev Fr Hematol,Nouvelle revue francaise d'hematologie,7909092,,IM,"['Aged', '*Blood Volume', 'Female', 'Humans', 'Kinetics', 'Leukemia, Lymphoid/*blood', 'Lymphocytes/*pathology', 'Male', 'Middle Aged', 'Prognosis', 'Statistics as Topic']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",,ppublish,Nouv Rev Fr Hematol. 1980;22(4):383-90.,,Valeur pronostique de l'etude des volumes lymphocytaires dans la leucemie lymphoide chronique.,,,,,,,
7255110,NLM,MEDLINE,19810922,20110726,0048-0428 (Print) 0048-0428 (Linking),40,11,1980 Nov 25,[Cooperative risk in radiation leukemogenesis (author's transl)].,1083-6,,"['Sakka, M']",['Sakka M'],['jpn'],"['English Abstract', 'Journal Article']",Japan,Nihon Igaku Hoshasen Gakkai Zasshi,Nihon Igaku Hoshasen Gakkai zasshi. Nippon acta radiologica,0413544,,IM,"['Adolescent', 'Adult', 'Aged', 'Child', 'Humans', 'Japan', 'Leukemia, Radiation-Induced/*etiology', 'Male', 'Middle Aged', 'Nuclear Warfare', 'Radiation Dosage', 'Risk']",1980/11/25 00:00,1980/11/25 00:01,['1980/11/25 00:00'],"['1980/11/25 00:00 [pubmed]', '1980/11/25 00:01 [medline]', '1980/11/25 00:00 [entrez]']",,ppublish,Nihon Igaku Hoshasen Gakkai Zasshi. 1980 Nov 25;40(11):1083-6.,,,,,,,,,
7254432,NLM,MEDLINE,19810925,20131121,0028-2685 (Print) 0028-2685 (Linking),28,2,1981,Therapeutic evaluation of liposome-encapsulated Daunoblastin in murine tumor models.,141-9,"Daunoblastin in free and liposome-encapsulated form was tested in the L1210 murine leukemia and the intramuscularly transplanted 276A sarcoma. Both therapeutic (% ILS, tumor volume inhibition) and toxicologic (leukocytes, body weight difference) parameters were evaluated. The liposome preparations showed similar therapeutic effects as the free substance but caused a lower toxicity with a lower mortality rate, higher leukocyte values and smaller body weight reduction. Longer sonication time with the output of more smaller unilamellar vesicles had no influence on the parameters in the solid model, but resulted in shorter ILS values in the L1210 model. Administration of empty liposomes immediately before liposomal Daunoblastin did not result in better antineoplastic activity but yielded higher leukocyte values.","['Fichtner, I', 'Reszka, R', 'Elbe, B', 'Arndt, D']","['Fichtner I', 'Reszka R', 'Elbe B', 'Arndt D']",['eng'],['Journal Article'],Slovakia,Neoplasma,Neoplasma,0377266,"['0 (Liposomes)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Animals', 'Daunorubicin/administration & dosage/*therapeutic use', 'Female', 'Leukemia L1210/drug therapy', 'Liposomes', 'Mice', 'Neoplasms, Experimental/*drug therapy', 'Sarcoma, Experimental/drug therapy']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Neoplasma. 1981;28(2):141-9.,,,,,,,,,
7254430,NLM,MEDLINE,19810915,20041117,0028-2685 (Print) 0028-2685 (Linking),27,6,1980,Malignant tumors in Cuban children. Fourth triennial 1973-1975 of the national cancer registry.,739-44,"The incidence of malignant tumors in children is not as high as that in adults, though in Cuba and other countries they are the most frequent causes of death in this age group. Data of the fourth triennial of the Registro Nacional del Cancer (Cuban Cancer Registry) in the period 1973-1975 are presented. In the age group 0-14 years, 1038 new cases were diagnosed and registered; this figure represented 2.5% of the total of tumors in the period studied; the mean annual rate was 11.3% per 100 000 population. Male patients were more frequently affected. Morbidity decreased in 0-4 year group and increased in 10-14 year group. As in the first, second and third triennials, malignant diseases as leukemia, lymphoma and tumors of the nervous system prevailed among children: these accounted for a little more than 2/3 of the total of tumors followed by tumors of the kidney and eye.","['Alert, J', 'Jimenez, J']","['Alert J', 'Jimenez J']",['eng'],['Journal Article'],Slovakia,Neoplasma,Neoplasma,0377266,,IM,"['Adolescent', 'Child', 'Child, Preschool', 'Cuba', 'Female', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia/epidemiology', 'Lymphoma/epidemiology', 'Male', 'Neoplasms/*epidemiology', 'Time Factors']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",,ppublish,Neoplasma. 1980;27(6):739-44.,,,,,,,,,
7254426,NLM,MEDLINE,19810915,20131121,0028-2685 (Print) 0028-2685 (Linking),27,6,1980,New potential cytotoxic and antitumor substances. III. In vitro effect of 3-benzazepine derivatives on P388 cells.,703-9,"3-Benzazepine derivatives manifested cytotoxic effects in in vitro tests on lympholeukemia P388 cells. The most efficient derivative (QF 1), i. e. 7,8-dihydro-3,4,12-trimetoxy-7-dimethylamino-10,11-methylenedioxy-5H-indolo [1,2-b][3]benzazepine-5-on in a concentration as low as 5 microliter/ml, considerably inhibited only the incorporation of labeled uridine into P388 cell fractions. In in vitro experiments, this substance blocked cell proliferation. After its prolonged action, the number of dead cells increased and this also when its interaction with the cells lasted but a short time--the substance being removed from the medium. In all probability, the substance retains the cells in the G1/S phase. A marked synergistic effect of tubercidine was attained in the presence of the substance.","['Fuska, J', 'Fuskova, A', 'Proksa, B']","['Fuska J', 'Fuskova A', 'Proksa B']",['eng'],['Journal Article'],Slovakia,Neoplasma,Neoplasma,0377266,"['0 (Antineoplastic Agents)', '0 (Benzazepines)', '0WZD9Y66WN (Anthramycin)']",IM,"['Animals', 'Anthramycin/pharmacology', 'Antineoplastic Agents/*therapeutic use', 'Benzazepines/pharmacology/*therapeutic use', 'Cell Division/drug effects', 'Leukemia P388/*drug therapy', 'Leukemia, Experimental/*drug therapy', 'Mice', 'Structure-Activity Relationship']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",,ppublish,Neoplasma. 1980;27(6):703-9.,,,,,,,,,
7254424,NLM,MEDLINE,19810915,20131121,0028-2685 (Print) 0028-2685 (Linking),27,6,1980,Single versus combination chemotherapy of L1210 leukemia.,691-6,"Thirteen anticancer agents, ten dual-agent combinations and five three-drug combinations were tested for treatment of L1210 leukemia in dBA/2-J mice. Data obtained form each three-drug regimen were compared with those obtained after administration of each drug alone and each two-drug combination. Cure (greater than 60 days survival) was observed in most of animals treated with VP-16 213 and VM-26. Certain regimens produced 90-100% cure rates (cyclophosphamide plus VP-16 213 or cytosine arabinoside). Inclusion of second or third agent in the treatment schedules produced improvement, deterioration or no effect on median survival time and cure rates, depending on the choice and sequences of evaluated agents. Eighty per cent of mice inoculated even with 10(7) L1210 can be cured by administration of modified schedule of VP-16 213 plus cyclophosphamide.","['Koza, I', 'Balazova, E', 'Ujhazy, V']","['Koza I', 'Balazova E', 'Ujhazy V']",['eng'],['Journal Article'],Slovakia,Neoplasma,Neoplasma,0377266,"['0 (Antineoplastic Agents)', '04079A1RDZ (Cytarabine)', '8N3DW7272P (Cyclophosphamide)', 'U3P01618RT (Fluorouracil)']",IM,"['Animals', 'Antineoplastic Agents/*administration & dosage', 'Cyclophosphamide/administration & dosage', 'Cytarabine/administration & dosage', 'Drug Therapy, Combination', 'Female', 'Fluorouracil/administration & dosage', 'Leukemia L1210/*drug therapy', 'Male', 'Mice']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",,ppublish,Neoplasma. 1980;27(6):691-6.,,,,,,,,,
7254421,NLM,MEDLINE,19810915,20041117,0028-2685 (Print) 0028-2685 (Linking),27,6,1980,Cell surface labeling of proteins and glycoproteins of some human cultured lymphoid cells.,625-31,"Cell surface proteins and glycoproteins of some human lymphoblastoid- and neoplastic hematopoietic cell lines were labeled by three different techniques: a) lactoperoxidase catalyzed iodination, b) galactose oxidase-tritiated sodium borohydride and c) reductive methylation of free amino groups by tritiated sodium borohydride--a modification of the technique known for the radiolabeling of soluble proteins. Electrophoretic analysis (SDS-PAGE) of labeled surface proteins and glycoproteins resulted in comparable and complementary electrophoretic patterns obtained by these three techniques. Electrophoretic patterns of studied lymphoblastoid cell lines were essentially similar, with an intensively labeled group of glycoproteins (gp44, gp31, gp24). These glycoproteins were markedly reduced on studied neoplastic cell lines. Further differences in several large proteins were observed between lymphoblastoid- and neoplastic cell lines.","['Chorvath, B', 'Fischer, P', 'Duraj, J', 'Polakova, K', 'Haas, O', 'Nacheva, E']","['Chorvath B', 'Fischer P', 'Duraj J', 'Polakova K', 'Haas O', 'Nacheva E']",['eng'],['Journal Article'],Slovakia,Neoplasma,Neoplasma,0377266,"['0 (Glycoproteins)', '0 (Proteins)']",IM,"['Cell Line', 'Electrophoresis, Polyacrylamide Gel', 'Glycoproteins/*analysis', 'Humans', 'Leukemia/*analysis', 'Lymphocytes/*analysis', 'Proteins/*analysis']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",,ppublish,Neoplasma. 1980;27(6):625-31.,,,,,,,,,
7254316,NLM,MEDLINE,19810915,20190617,0028-0836 (Print) 0028-0836 (Linking),292,5820,1981 Jul 16,A single dominant gene determines susceptibility to a leukaemogenic recombinant retrovirus.,245-6,"The production of recombinant retroviruses is an important episode in the natural history of thymic leukaemia in AKR and HRS/J (hr/hr) mices. These viruses apparently originate from ecotropic and xenotropic precursors in the late preleukaemic stage of the disease. Analyses of their structural proteins and genomic oligonucleotides indicate that they arise by recombination of env genes of the precursor viruses. This event leads to a viral envelope glycoprotein (gp70) with some peptides that have features of the gp70 glycoproteins of ecotropic and xenotropic viruses, and others that are unique for each recombinant virus. The former property explains the broad host range of recombinant viruses, and hence their designation as dual tropic or polytropic viruses. It has been postulated that the unique aspect of each recombinant's gp70 determines the phenotypes of leukaemic cells. Polytropic viruses may be highly thymotropic. Their systemic administration results in an infection that confines itself virtually to the thymus. Moreover, these viruses are leukaemogenic whereas their precursors are not, or only weakly so. The leukaemogenicity of polytropic viruses is, however, restricted to certain inbred strains of mice. The HRS/J isolate PTV-1 is leukaemogenic in HRS/J and CBA/J mice, but not in SWR/J or NIH/Swiss mice. The experiments described here demonstrate that a single dominant gene permits infection by thymocytes by a leukaemogenic polytrophic virus. CBA/J mice, which develop thymic leukaemia after infection by this virus, posesses this gene, whereas leukaemia-resistant NFS mice lack it.","['Schwartz, R S', 'Khiroya, R H']","['Schwartz RS', 'Khiroya RH']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Nature,Nature,0410462,,IM,"['Animals', '*Genes, Dominant', 'Leukemia, Experimental/*genetics/microbiology', 'Mice', 'Mice, Inbred Strains/genetics', 'Recombination, Genetic', 'Retroviridae/*genetics', 'Thymus Gland/microbiology']",1981/07/16 00:00,1981/07/16 00:01,['1981/07/16 00:00'],"['1981/07/16 00:00 [pubmed]', '1981/07/16 00:01 [medline]', '1981/07/16 00:00 [entrez]']",['10.1038/292245a0 [doi]'],ppublish,Nature. 1981 Jul 16;292(5820):245-6. doi: 10.1038/292245a0.,,,,"['CA10018/CA/NCI NIH HHS/United States', 'CA24530/CA/NCI NIH HHS/United States']",,,,,
7254260,NLM,MEDLINE,19810925,20171117,0028-4793 (Print) 0028-4793 (Linking),305,10,1981 Sep 3,Pulmonary reactions associated with amphotericin B and leukocyte transfusions.,584-5,,,,['eng'],['Letter'],United States,N Engl J Med,The New England journal of medicine,0255562,['7XU7A7DROE (Amphotericin B)'],IM,"['Amphotericin B/*adverse effects', 'Humans', 'Leukemia/complications', '*Leukocyte Transfusion', 'Lung Diseases/*etiology', 'Sepsis/prevention & control', '*Transfusion Reaction']",1981/09/03 00:00,1981/09/03 00:01,['1981/09/03 00:00'],"['1981/09/03 00:00 [pubmed]', '1981/09/03 00:01 [medline]', '1981/09/03 00:00 [entrez]']",['10.1056/NEJM198109033051019 [doi]'],ppublish,N Engl J Med. 1981 Sep 3;305(10):584-5. doi: 10.1056/NEJM198109033051019.,,,,,,,,,
7254259,NLM,MEDLINE,19810925,20041117,0028-4793 (Print) 0028-4793 (Linking),305,10,1981 Sep 3,Antibiotic prophylaxis against infections in acute leukemia.,583-4,,,,['eng'],['Letter'],United States,N Engl J Med,The New England journal of medicine,0255562,['0 (Anti-Bacterial Agents)'],IM,"['Acute Disease', 'Anti-Bacterial Agents/*therapeutic use', 'Bacterial Infections/*prevention & control', 'Humans', 'Leukemia/*complications']",1981/09/03 00:00,1981/09/03 00:01,['1981/09/03 00:00'],"['1981/09/03 00:00 [pubmed]', '1981/09/03 00:01 [medline]', '1981/09/03 00:00 [entrez]']",['10.1056/NEJM198109033051018 [doi]'],ppublish,N Engl J Med. 1981 Sep 3;305(10):583-4. doi: 10.1056/NEJM198109033051018.,,,,,,,,,
7254205,NLM,MEDLINE,19810915,20191023,0301-4851 (Print) 0301-4851 (Linking),7,1-3,1981 May 22,Biogenesis of a transforming gene.,163-5,,"['Van Beveren, C', 'Goddard, J G', 'Berns, A J', 'Verma, I M']","['Van Beveren C', 'Goddard JG', 'Berns AJ', 'Verma IM']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Mol Biol Rep,Molecular biology reports,0403234,,IM,"['Animals', 'Base Sequence', '*Cell Transformation, Viral', '*Genes, Viral', 'Leukemia, Experimental/*metabolism', 'Mice', 'Moloney murine leukemia virus']",1981/05/22 00:00,1981/05/22 00:01,['1981/05/22 00:00'],"['1981/05/22 00:00 [pubmed]', '1981/05/22 00:01 [medline]', '1981/05/22 00:00 [entrez]']",['10.1007/BF00778748 [doi]'],ppublish,Mol Biol Rep. 1981 May 22;7(1-3):163-5. doi: 10.1007/BF00778748.,,,,,,,,,
7253703,NLM,MEDLINE,19810915,20131213,0025-6196 (Print) 0025-6196 (Linking),56,7,1981 Jul,Diarrhea due to Campylobacter fetus subspecies jejuni. A clinical review of 63 cases.,414-23,"Campylobacter fetus subspecies jejuni was isolated fom the feces of 63 (3.2%) of the 1,953 patients who had stools cultured at the Mayo Clinic in 1979. In contrast, Salmonella and Shigella combined were isolated from 31 (1.6%) patients. Two patients had double infections with Salmonella species and C. fetus subsp jejuni. Three patients had no diarrhea at the time of stool culture. One patient, who had chronic lymphocytic leukemia, had both blood and stool cultures positive for C. fetus subsp jejuni. There was a seasonal incidence that peaked in July when 7.8% of all patients who had stools cultured had C. fetus subsp jejuni isolated. Thirteen cases occurred in children 5 years of age and younger and 29 cases occurred between the ages of 15 and 30 years. Clinical features often included a prodrome of malaise, which preceded the onset of abdominal cramps, diarrhea, anorexia, fever, nausea, and vomiting. Grossly bloody diarrhea occurred in 33 patients, and massive intestinal bleeding occurred in 1 patient as a late complication after diarrhea had resolved. Transient splenomegaly was attributed to C. fetus subsp jejuni on one occasion. Proctoscopic findings may be similar to those seen in inflammatory bowel disease or pseudomembranous colitis. Three patients were referred to this institution with newly diagnosed chronic ulcerative colitis, and one patient was referred with newly diagnosed Crohn's disease. C. fetus subsp jejuni was isolated from their stools, and the diagnosis of inflammatory bowel disease was subsequently dropped. A selected review of cases illustrates the variety of gastrointestinal manifestations seen with this organism.","['Drake, A A', 'Gilchrist, M J', 'Washington, J A 2nd', 'Huizenga, K A', 'Van Scoy, R E']","['Drake AA', 'Gilchrist MJ', 'Washington JA 2nd', 'Huizenga KA', 'Van Scoy RE']",['eng'],"['Case Reports', 'Journal Article']",England,Mayo Clin Proc,Mayo Clinic proceedings,0405543,,IM,"['Adolescent', 'Adult', 'Aged', 'Campylobacter Infections/*complications/diagnosis/microbiology', 'Campylobacter fetus', 'Child', 'Child, Preschool', 'Diarrhea/diagnosis/*etiology', 'Diarrhea, Infantile/etiology/microbiology', 'Female', 'Humans', 'Infant', 'Infant, Newborn', 'Male', 'Middle Aged']",1981/07/01 00:00,1981/07/01 00:01,['1981/07/01 00:00'],"['1981/07/01 00:00 [pubmed]', '1981/07/01 00:01 [medline]', '1981/07/01 00:00 [entrez]']",,ppublish,Mayo Clin Proc. 1981 Jul;56(7):414-23.,,,,,,,,,
7253232,NLM,MEDLINE,19810915,20110727,0047-1852 (Print) 0047-1852 (Linking),38,11,1980 Nov,[Plasmacytic leukemia---characteristics of the size and shape of atypical plasma cells in 3 cases].,4445-8,,"['Isobe, T', 'Horimatsu, T', 'Fujita, T']","['Isobe T', 'Horimatsu T', 'Fujita T']",['jpn'],"['Case Reports', 'Journal Article']",Japan,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,0420546,,IM,"['Aged', 'Female', 'Humans', 'Leukemia, Plasma Cell/*blood', 'Middle Aged', 'Plasma Cells/*pathology']",1980/11/01 00:00,1980/11/01 00:01,['1980/11/01 00:00'],"['1980/11/01 00:00 [pubmed]', '1980/11/01 00:01 [medline]', '1980/11/01 00:00 [entrez]']",,ppublish,Nihon Rinsho. 1980 Nov;38(11):4445-8.,,,,,,,,,
7252976,NLM,MEDLINE,19810922,20190709,0022-2623 (Print) 0022-2623 (Linking),24,6,1981 Jun,Synthesis and preliminary antitumor evaluation of 5-iminodoxorubicin.,669-73,,"['Acton, E M', 'Tong, G L']","['Acton EM', 'Tong GL']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Antineoplastic Agents)', '77331-69-2 (5-iminodoxorubicin)', '80168379AG (Doxorubicin)', 'P910685S6G (5-iminodaunorubicin)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Animals', '*Antineoplastic Agents', 'Daunorubicin/analogs & derivatives/pharmacology', 'Doxorubicin/*analogs & derivatives/pharmacology', 'Leukemia P388/drug therapy', 'Mice']",1981/06/01 00:00,1981/06/01 00:01,['1981/06/01 00:00'],"['1981/06/01 00:00 [pubmed]', '1981/06/01 00:01 [medline]', '1981/06/01 00:00 [entrez]']",['10.1021/jm00138a005 [doi]'],ppublish,J Med Chem. 1981 Jun;24(6):669-73. doi: 10.1021/jm00138a005.,,,,['CA 25711/CA/NCI NIH HHS/United States'],,,,,
7252769,NLM,MEDLINE,19810915,20190913,0386-846X (Print) 0386-846X (Linking),4,3,1981 Mar,Antitumor activity of 1-alkoxycarbonylalkylcarbamoyl-5-fluorouracil derivatives by oral administration.,203-10,"Antitumor activity of seven 5-fluorouracil derivatives having carbamoyl linkage with amino acid was examined against L-1210 leukemia, adenocarcinoma 755, ascites sarcoma 180, Ehrlich ascites carcinoma and Lewis lung carcinoma by oral administration. These compounds showed more than 30% increase in life-span (ILS) against L-1210 at optimal doses when given by oral administration. Therapeutic ratios (ILSmax/ILS30) of 1-methoxycarbonylmethylcarbamoyl and 1-(1-ethoxycarbonyl-3-methylthiopropylcarbamoyl) derivatives of 5-fluorouracil in L-1210 system were 4.8 and 4.7, respectively. 1-Methoxycarbonylmethylcarbamoyl and 1-(2-ethoxycarbonylethylcarbamoyl) derivatives of 5-fluorouracil inhibited completely the growth of adenocarcinoma 755 when given orally, but only 1-methoxycarbonylmethylcarbamoyl derivative inhibited 99 and 98% of the growth of ascites sarcoma 180 and Ehrlich ascites carcinoma, respectively. The latter compound increased the life-span to 48% at optimal dose in Lewis lung carcinoma system.","['Iigo, M', 'Hoshi, A', 'Inomata, M', 'Ando, N', 'Kuretani, K']","['Iigo M', 'Hoshi A', 'Inomata M', 'Ando N', 'Kuretani K']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,J Pharmacobiodyn,Journal of pharmacobio-dynamics,7901854,"['0 (Antineoplastic Agents)', 'U3P01618RT (Fluorouracil)']",IM,"['Adenocarcinoma/drug therapy', 'Administration, Oral', 'Animals', '*Antineoplastic Agents', 'Carcinoma, Ehrlich Tumor/drug therapy', 'Female', 'Fluorouracil/administration & dosage/*analogs & derivatives/therapeutic use', 'Leukemia L1210/drug therapy', 'Lung Neoplasms/drug therapy', 'Male', 'Mice', 'Neoplasms, Experimental/*drug therapy', 'Sarcoma 180/drug therapy']",1981/03/01 00:00,1981/03/01 00:01,['1981/03/01 00:00'],"['1981/03/01 00:00 [pubmed]', '1981/03/01 00:01 [medline]', '1981/03/01 00:00 [entrez]']",['10.1248/bpb1978.4.203 [doi]'],ppublish,J Pharmacobiodyn. 1981 Mar;4(3):203-10. doi: 10.1248/bpb1978.4.203.,,,,,,,,,
