PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,PMC,TT,OID,OTO,OT,GN
6601132,NLM,MEDLINE,19830505,20071114,0022-1767 (Print) 0022-1767 (Linking),130,4,1983 Apr,Clonal proliferation unlinked to terminal deoxynucleotidyl transferase synthesis in thymocytes of young mice.,1627-33,"Terminal deoxynucleotidyl transferase (TdT) is a specialized DNA polymerase that is potentially mutagenic. It is expressed only in the thymus and in some bone marrow cells, suggesting that it acts selectively in immature lymphoid cells, especially T cells. We investigated the extent to which de novo synthesis of TdT is correlated with the clonal expansion that T cell precursors undergo in the thymus. Using biosynthetic pulse-labeling and immune precipitation, we found that thymocytes from late-fetal and neonatal mice make TdT at considerably lower levels than weanling or adult mouse thymocytes. Adult levels of TdT synthesis are only reached a week after birth. Thus, the high proportion of proliferating cells in the perinatal thymus does not entail a correspondingly high production' of TdT synthesis is blocked by cytolytic treatment with anti-Lyt-2 and complement, suggesting that the inducible cells are already Lyt-2+ like most adult TdT+ thymocytes. These observations imply that the stroma of the perinatal thymus either suppresses or fails to trigger high-level TdT synthesis. At the same time, it is in this microenvironment that maximum proliferation and export of functional T cell precursors take place. In contrast, the conditions that stimulate high TdT synthesis in vitro are not associated with mitogenesis but rather with growth arrest. High-level TdT synthesis in general is not regulated so as to precede or coincide with clonal expansion, either in perinatal or in adult thymocyte populations. The possibility remains that in many cells it is linked with a commitment to die.","['Rothenberg, E', 'Triglia, D']","['Rothenberg E', 'Triglia D']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Antigens, Neoplasm)', '0 (Isoantigens)', '0 (Lectins)', '0 (Membrane Glycoproteins)', '0 (Peanut Agglutinin)', '0 (thymus-leukemia antigens)', 'EC 2.7.7.- (DNA Nucleotidyltransferases)', 'EC 2.7.7.31 (DNA Nucleotidylexotransferase)']",IM,"['*Aging', 'Animals', 'Antigens, Neoplasm/analysis', 'Cell Separation', 'Clone Cells/enzymology/immunology', 'DNA Nucleotidylexotransferase/analysis/*biosynthesis', 'DNA Nucleotidyltransferases/*biosynthesis', 'Female', 'Isoantigens/analysis', 'Lectins/immunology', '*Membrane Glycoproteins', 'Mice', 'Mice, Inbred C57BL', 'Peanut Agglutinin', 'Phenotype', 'Pregnancy', 'T-Lymphocytes/classification/enzymology/*immunology', 'Thymus Gland/cytology/*embryology/immunology']",1983/04/01 00:00,1983/04/01 00:01,['1983/04/01 00:00'],"['1983/04/01 00:00 [pubmed]', '1983/04/01 00:01 [medline]', '1983/04/01 00:00 [entrez]']",,ppublish,J Immunol. 1983 Apr;130(4):1627-33.,"['AI 16769/AI/NIAID NIH HHS/United States', 'AI 19752/AI/NIAID NIH HHS/United States', 'CA 31667/CA/NCI NIH HHS/United States']",,,,,,
6601107,NLM,MEDLINE,19830505,20190508,0021-9525 (Print) 0021-9525 (Linking),96,2,1983 Feb,A new determinant of glucocorticoid sensitivity in lymphoid cell lines.,409-15,"The SAK cell line, derived from a spontaneous thymic lymphoma in an AKR mouse, is resistant to lysis by glucocorticoids in spite of the presence of functional glucocorticoid receptor. Receptor function was determined by hormone binding analyses, as well as characterization of hormonal effects on cell growth and on the accumulation of murine leukemia virus and metallothionein mRNAs. SAK cells were fused with a receptor-defective (and therefore resistant) variant of a well-characterized murine thymoma line, W7. The resulting hybrids are glucocorticoid sensitive, demonstrating complementation of the receptor defect in W7 cells by the functional glucocorticoid receptor of SAK. This fusion shows that SAK cells are resistant to the hormone due to the absence of another function designated ""I"" for lysis. SAK cells were also fused with glucocorticoid-sensitive W7 cells (containing wild-type receptor), generating glucocorticoid-sensitive hybrids, which demonstrate that the dexamethasone-resistant phenotype of the SAK cells is recessive. Resistant derivatives of this hybrid were found which still contain the full amount of receptor. Chromosome analysis revealed that, on the average, the resistant derivatives had lost two chromosomes, suggesting segregation of chromosomes carrying genetic material necessary for the ""lysis"" function. The drug 5-azacytidine (a known inhibitor of DNA methylation) has been shown to cause heritable changes in gene expression. Treatment of SAK cells with 5-azacytidine generated glucocorticoid-sensitive clones at high frequency, suggesting that the gene(s) involved in the ""lysis"" function are intact and have been inactivated through a process such as differentiation.","['Gasson, J C', 'Bourgeois, S']","['Gasson JC', 'Bourgeois S']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Cell Biol,The Journal of cell biology,0375356,"['0 (Glucocorticoids)', '0 (RNA, Messenger)', '0 (Receptors, Glucocorticoid)', '7S5I7G3JQL (Dexamethasone)']",IM,"['Animals', 'Cell Line', 'Cell Survival/drug effects', 'Dexamethasone/pharmacology', 'Drug Resistance', 'Genetic Complementation Test', 'Glucocorticoids/*pharmacology', 'Hybrid Cells/drug effects', 'Mice', 'RNA, Messenger/metabolism', 'Receptors, Glucocorticoid/metabolism', 'T-Lymphocytes/*drug effects']",1983/02/01 00:00,1983/02/01 00:01,['1983/02/01 00:00'],"['1983/02/01 00:00 [pubmed]', '1983/02/01 00:01 [medline]', '1983/02/01 00:00 [entrez]']",['10.1083/jcb.96.2.409 [doi]'],ppublish,J Cell Biol. 1983 Feb;96(2):409-15. doi: 10.1083/jcb.96.2.409.,"['1-F32-AM06179/AM/NIADDK NIH HHS/United States', '5-R01-GM20868/GM/NIGMS NIH HHS/United States']",PMC2112284,,,,,
6601106,NLM,MEDLINE,19830505,20190904,0171-5216 (Print) 0171-5216 (Linking),105,1,1983,Immunoagglutination of type-C virus particles in a human T-cell line by serum supplementation from patients with adult T-cell leukemia.,106-8,"A T-cell line, MT-2, derived from human cord blood lymphocytes by cocultivation with adult T-cell leukemia (ATL) cells is a continuous producer of type-C virus particles. Electron microscopy of MT-2 cells cultured for 1-3 weeks in medium containing 10% ATL patients' sera revealed agglutination of type-C virus particles within the electron-dense deposits in the extracellular spaces. No such agglutination occurred in control cultures supplemented with normal human or fetal calf serum. These results provide direct evidence for the specific reactivity of ATL patient's sera with type-C virus particles in the MT-2 cell line at the ultrastructural level.","['Ohtsuki, Y', 'Miyoshi, I', 'Akagi, T', 'Takahashi, K', 'Taguchi, H']","['Ohtsuki Y', 'Miyoshi I', 'Akagi T', 'Takahashi K', 'Taguchi H']",['eng'],['Journal Article'],Germany,J Cancer Res Clin Oncol,Journal of cancer research and clinical oncology,7902060,"['0 (Antibodies, Viral)', '0 (Antigen-Antibody Complex)']",IM,"['Agglutination', 'Antibodies, Viral/immunology', 'Antigen-Antibody Complex', 'Cell Line', 'Fetal Blood', 'Humans', 'Leukemia/etiology/*immunology', 'Microscopy, Electron', 'T-Lymphocytes/*microbiology', 'Virion/immunology/*isolation & purification/ultrastructure', 'Virus Replication']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",['10.1007/BF00391841 [doi]'],ppublish,J Cancer Res Clin Oncol. 1983;105(1):106-8. doi: 10.1007/BF00391841.,,,,,,,
6601065,NLM,MEDLINE,19830527,20190708,0020-7136 (Print) 0020-7136 (Linking),31,4,1983 Apr 15,Infection and transformation of fresh human umbilical cord blood cells by multiple sources of human T-cell leukemia-lymphoma virus (HTLV).,413-20,"Human T-cell leukemia-lymphoma virus (HTLV) was first isolated from sporadic patients with adult T-cell malignancies in the United States and subsequently from T-lymphocytes established in culture from additional T-cell leukemia-lymphoma patients living in different geographical areas of the world. Co-cultivation of normal umbilical cord blood with lethally irradiated, HTLV-positive lymphocytes established in culture from many of these patients resulted in the productive infection of the cord blood T-lymphocytes which grew in suspension culture in the absence of exogenous TCGF. These transformed cord blood cells have morphological and cytochemical properties similar to HTLV-positive fresh and cultured tumor T-cells and are distinguishable from virus donor cells by HLA haplotype and chromosomal markers. These cells express HTLV proteins, release type-C virus particles and contain surface receptors for TCGF. These results demonstrate that HTLV isolated from T-cell leukemic donors from different parts of the world can productively infect and transform fresh human cord blood T-lymphocytes, and that the transformed cells share many similarities with fresh or cultured leukemic cells.","['Markham, P D', 'Salahuddin, S Z', 'Kalyanaraman, V S', 'Popovic, M', 'Sarin, P', 'Gallo, R C']","['Markham PD', 'Salahuddin SZ', 'Kalyanaraman VS', 'Popovic M', 'Sarin P', 'Gallo RC']",['eng'],['Journal Article'],United States,Int J Cancer,International journal of cancer,0042124,"['0 (Antibodies, Monoclonal)', '0 (HLA Antigens)', '0 (Interleukin-2)']",IM,"['Animals', 'Antibodies, Monoclonal', '*Cell Transformation, Neoplastic', 'Fetal Blood/*cytology/immunology/microbiology', 'HLA Antigens/analysis', 'Humans', 'Interleukin-2/metabolism', 'Leukemia/*microbiology', 'Lymphoma/*microbiology', 'Phenotype', '*Retroviridae', 'T-Lymphocytes', 'Tumor Virus Infections/etiology']",1983/04/15 00:00,1983/04/15 00:01,['1983/04/15 00:00'],"['1983/04/15 00:00 [pubmed]', '1983/04/15 00:01 [medline]', '1983/04/15 00:00 [entrez]']",['10.1002/ijc.2910310404 [doi]'],ppublish,Int J Cancer. 1983 Apr 15;31(4):413-20. doi: 10.1002/ijc.2910310404.,,,,,,,
6601058,NLM,MEDLINE,19830527,20190829,0093-7711 (Print) 0093-7711 (Linking),17,4,1983,Mutations in H-2Kb influence the specificity of alloreactive effector cells included in the repertoire of H-2Db-restricted cytotoxic T lymphocytes against Moloney leukemia virus.,427-36,"Moloney leukemia virus-specific cytotoxic T lymphocytes (CTL), generated by secondary in vitro stimulation of spleen cells with syngeneic virus-infected cells, frequently lysed not only syngeneic virus-infected cells, but also noninfected allogeneic target cells. This phenomenon was studied with B6(H-2b) responder cells and a series of H-2Kb-mutant responder cells. Thus, B6 Moloney-specific CTL lysed noninfected Kb-mutant cells, but not B6 cells, whereas Kb-mutant Moloney-specific CTL lysed noninfected B6 cells and not noninfected cells of the same mutant. Cold-target-inhibition studies showed that the CTL reactions against different allogeneic cells were mediated by different subpopulations of virus-specific CTL: lysis of allogeneic target cells was fully inhibited only by the same allogeneic and by syngeneic virus-infected cells, but not by another allogeneic cell, also lysed by the same effector-cell population. Lysis of syngeneic virus-infected cells could not be inhibited by allogeneic target cells. These data imply that a minority of virus-specific CTL shows cross-reactivity with a given allogeneic target cell. It is concluded that limited amino acid substitutions in the Kb molecule alter the repertoire of Moloney virus-specific CTL, as reflected in alloreactive CTL populations, even though the virus-specific CTL response of B6 and all Kb mutants is mainly Db-restricted. Thus, the development of tolerance to self class-I major histocompatibility complex (MHC) molecules affects the repertoire of self-restricted cytotoxic T cells.","['Stukart, M J', 'Boes, J', 'Melief, C J']","['Stukart MJ', 'Boes J', 'Melief CJ']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Immunogenetics,Immunogenetics,0420404,['0 (H-2 Antigens)'],IM,"['Animals', 'Cross Reactions', 'H-2 Antigens/*genetics', 'Mice', 'Moloney murine leukemia virus/*immunology', 'Mutation', 'T-Lymphocytes, Cytotoxic/*immunology']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",['10.1007/BF00372460 [doi]'],ppublish,Immunogenetics. 1983;17(4):427-36. doi: 10.1007/BF00372460.,,,,,,,
6601025,NLM,MEDLINE,19830505,20071115,0301-472X (Print) 0301-472X (Linking),11,2,1983 Feb,Aberrant interaction of B-cell lymphocytic leukemia cells with antibody coated polyacrylamide beads.,162-8,Anti-immunoglobulin coated polyacrylamide beads have been used to assess surface membrane immunoglobulin in normal and lymphoproliferative states. The polyvalent anti-immunoglobulin bead reacts with normal B cells and cells from patients with hairy cell leukemia and lymphosarcoma cell leukemia but not with cells from patients with chronic lymphocytic leukemia. This may relate to the relative surface immunoglobulin density of these cells. Monospecific beads and mixtures of monospecific beads do react with chronic lymphocytic leukemia cells presumably because of the higher concentration of the appropriate antibody on the bead. These findings suggest cautious interpretation of the results of B lymphocyte evaluation with anti-immunoglobulin coated polyacrylamide beads.,"['Cohen, H J']",['Cohen HJ'],['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",Netherlands,Exp Hematol,Experimental hematology,0402313,"['0 (Antibodies, Anti-Idiotypic)', '0 (Receptors, Antigen, B-Cell)']",IM,"['Antibodies, Anti-Idiotypic/immunology', 'B-Lymphocytes/classification/*immunology', '*Cell Communication', '*Cell Transformation, Neoplastic', 'Humans', 'Leukemia, Hairy Cell/immunology', 'Leukemia, Lymphoid/*immunology', 'Lymphoma, Non-Hodgkin/immunology', 'Microspheres', 'Receptors, Antigen, B-Cell/analysis', 'Rosette Formation']",1983/02/01 00:00,1983/02/01 00:01,['1983/02/01 00:00'],"['1983/02/01 00:00 [pubmed]', '1983/02/01 00:01 [medline]', '1983/02/01 00:00 [entrez]']",,ppublish,Exp Hematol. 1983 Feb;11(2):162-8.,,,,,,,
6601010,NLM,MEDLINE,19830505,20061115,0014-2980 (Print) 0014-2980 (Linking),13,2,1983 Feb,A monoclonal anti-HLA antibody recognizes a mouse tumor-associated antigen.,160-6,"The monoclonal antibody W6/32.1 recognizes a public determinant on the HLA-A, B and C antigens of all tested human haplotypes. Though the antibody does not bind to normal mouse cells of any H-2 haplotype, it does show an unexpected specificity for the T cell leukemia line MBL-2 from a C57BL/6 mouse. It is shown that the murine antigen recognized by W6/32.1 is on an H-2-like molecule which also carries the determinant recognized by the monoclonal antibody B22-249 R1, specific for the H-2Db antigen. Unlike B22-249 R1, however, W6/32.1 does not bind to normal H-2b lymphocytes, nor to a variety of tumor cell lines of the H-2b haplotype. This cross-reaction is specific to W6/32.1, and is not shared by other monoclonal antibodies of similar anti-HLA specificities. Moreover, the affinity of W6/32.1 for its human antigen is substantially higher than for its mouse antigen. We conclude that W6/32.1 fortuitously recognizes a novel determinant on the H-2Db antigen of MBL-2, rather than an extensive region of structural homology shared between HLA and H-2. Thus for cells of the H-2b allotype this determinant is detected only on MBL-2, and by definition is thus an example of a tumor-associated antigen.","['Evan, G I', 'Lennox, E S', 'Alderson, T', 'Croft, L']","['Evan GI', 'Lennox ES', 'Alderson T', 'Croft L']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Eur J Immunol,European journal of immunology,1273201,"['0 (Antibodies, Anti-Idiotypic)', '0 (Antibodies, Monoclonal)', '0 (Antigens, Neoplasm)', '0 (HLA Antigens)', '0 (Peptide Fragments)']",IM,"['Animals', 'Antibodies, Anti-Idiotypic', 'Antibodies, Monoclonal/*immunology', 'Antigens, Neoplasm/analysis/*immunology', 'Cross Reactions', 'HLA Antigens/*immunology', 'Humans', 'Leukemia, Experimental/*immunology', 'Mice', 'Peptide Fragments/analysis']",1983/02/01 00:00,1983/02/01 00:01,['1983/02/01 00:00'],"['1983/02/01 00:00 [pubmed]', '1983/02/01 00:01 [medline]', '1983/02/01 00:00 [entrez]']",['10.1002/eji.1830130213 [doi]'],ppublish,Eur J Immunol. 1983 Feb;13(2):160-6. doi: 10.1002/eji.1830130213.,,,,,,,
6600985,NLM,MEDLINE,19830505,20190829,0344-5704 (Print) 0344-5704 (Linking),10,2,1983,Purinogenic lymphocytotoxicity: clues to a wider chemotherapeutic potential for the adenosine deaminase inhibitors.,73-8,,"['Kefford, R F', 'Fox, R M']","['Kefford RF', 'Fox RM']",['eng'],['Journal Article'],Germany,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology,7806519,"['0 (Adenosine Deaminase Inhibitors)', '0 (Deoxyadenosines)', '0 (Purines)', '0 (Ribonucleosides)', '11033-22-0 (Coformycin)', '395575MZO7 (Pentostatin)', '59262-86-1 (9-(2-hydroxy-3-nonyl)adenine)', 'EC 3.5.4.- (Nucleoside Deaminases)', 'EC 3.5.4.4 (Adenosine Deaminase)', 'JAC85A2161 (Adenine)']",IM,"['Adenine/analogs & derivatives/therapeutic use', 'Adenosine Deaminase/deficiency', '*Adenosine Deaminase Inhibitors', 'Cell Survival/drug effects', 'Cells, Cultured', 'Coformycin/adverse effects/analogs & derivatives/*therapeutic use', 'Deoxyadenosines/metabolism', 'Humans', 'Interphase/drug effects', 'Leukemia/*drug therapy', 'Lymphopenia/chemically induced', 'Nucleoside Deaminases/*antagonists & inhibitors', 'Pentostatin', 'Purines/*metabolism', 'Ribonucleosides/*therapeutic use', 'T-Lymphocytes/drug effects/*enzymology']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",['10.1007/BF00446213 [doi]'],ppublish,Cancer Chemother Pharmacol. 1983;10(2):73-8. doi: 10.1007/BF00446213.,,,,,,,
6600984,NLM,MEDLINE,19830505,20190829,0344-5704 (Print) 0344-5704 (Linking),10,2,1983,Clinical pharmacology of arabinofuranosyladenine in combination with deoxycoformycin.,125-8,,"['Major, P P', 'Agarwal, R P', 'Kufe, D W']","['Major PP', 'Agarwal RP', 'Kufe DW']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology,7806519,"['0 (Antineoplastic Agents)', '0 (Deoxyadenosines)', '0 (Ribonucleosides)', '11033-22-0 (Coformycin)', '395575MZO7 (Pentostatin)', 'FA2DM6879K (Vidarabine)', 'K72T3FS567 (Adenosine)']",IM,"['Adenosine/blood', 'Adult', 'Antineoplastic Agents/*pharmacology', 'Coformycin/analogs & derivatives/*pharmacology', 'Deoxyadenosines/blood', 'Drug Administration Schedule', 'Drug Therapy, Combination', 'Half-Life', 'Humans', 'Kinetics', 'Leukemia/drug therapy/metabolism', 'Male', 'Pentostatin', 'Ribonucleosides/*pharmacology', 'Vidarabine/administration & dosage/*metabolism']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",['10.1007/BF00446224 [doi]'],ppublish,Cancer Chemother Pharmacol. 1983;10(2):125-8. doi: 10.1007/BF00446224.,,,,,,,
6600965,NLM,MEDLINE,19830527,20071114,0008-5472 (Print) 0008-5472 (Linking),43,5,1983 May,Response of human myeloid leukemia cells to various sources of colony-stimulating activity and phytohemagglutinin-conditioned medium.,2350-7,"The response of human myeloid leukemia cells to various sources of colony-stimulating activity (CSA) and media conditioned by phytohemagglutinin-stimulated mononuclear cells (PHA-LCM) was investigated in liquid and colony culture. PHA-LCM, placenta-conditioned medium, GCT cell line-conditioned medium, leukocyte-conditioned medium, and partially purified CSA for human and murine cells were tested for ability to support growth of granulocyte-macrophage colonies from adherent cell-depleted human bone marrow. This activity was correlated with ability to support leukemia colony growth in methylcellulose, and [3H]thymidine incorporation in liquid culture by normal bone marrow cells, leukemia cells, and the KG-1 myeloid leukemia cell line. For normal cells, growth and liquid culture responses were highly correlated for various sources of CSA (r = 0.92), and addition of data using PHA-LCM changed results only slightly (r = 0.89). [3H]thymidine incorporation by leukemia cells from patients without a prior history of a myeloproliferative disorder was also highly correlated with normal CSA (r = 0.97) for sources other than PHA-LCM. Responses of leukemia blasts and KG-1 cells in liquid culture to PHA-LCM appeared in excess of its CSA for normal cells. Colony growth by leukemia cells was not clearly correlated with either liquid culture activity for leukemia cells or CSA for normal cells. PHA-LCM was also not statistically superior to placenta-conditioned medium as stimulus for leukemia colony growth, but was superior to placenta-conditioned medium for some patients. Differentiation in culture did not appear to depend on CSA source. We conclude that normal myeloid cells respond to CSA in a highly correlated fashion in both colony and liquid cultures. The majority of myeloid leukemia cells respond to either PHA-LCM or CSA, but the ability of PHA-LCM to support leukemia cell growth is greater than its CSA content. The possibility exists that overlapping populations responsive to CSA and to PHA-LCM are present simultaneously in patients with myeloid leukemia.","['Taetle, R', 'Caviles, A', 'Koziol, J']","['Taetle R', 'Caviles A', 'Koziol J']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Colony-Stimulating Factors)', '0 (Culture Media)', '0 (Phytohemagglutinins)']",IM,"['Bone Marrow/*drug effects', 'Cell Differentiation', 'Cell Division/drug effects', 'Cells, Cultured', 'Colony-Stimulating Factors/*pharmacology', 'Culture Media', 'Granulocytes/drug effects', 'Humans', 'Leukemia/*blood', 'Leukocytes', 'Macrophages/drug effects', 'Phytohemagglutinins/*pharmacology', 'Placenta']",1983/05/01 00:00,1983/05/01 00:01,['1983/05/01 00:00'],"['1983/05/01 00:00 [pubmed]', '1983/05/01 00:01 [medline]', '1983/05/01 00:00 [entrez]']",,ppublish,Cancer Res. 1983 May;43(5):2350-7.,['CA32094-01/CA/NCI NIH HHS/United States'],,,,,,
