PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,EIN,GS,CIN,PMC,TT,CON,GR,SI,EFR
8461484,NLM,MEDLINE,19930504,20210216,0006-4971 (Print) 0006-4971 (Linking),81,7,1993 Apr 1,Immunophenotypic features of t(8;21) (q22;q22) acute myeloid leukemia in adults.,1975,,"['Paietta, E', 'Wiernik, P H', 'Andersen, J']","['Paietta E', 'Wiernik PH', 'Andersen J']",,['eng'],"['Comment', 'Letter']",United States,Blood,Blood,7603509,,IM,"['Adult', '*Chromosomes, Human, Pair 21', '*Chromosomes, Human, Pair 8', 'Humans', 'Immunophenotyping', 'Leukemia, Myeloid, Acute/*genetics', '*Translocation, Genetic']",1993/04/01 00:00,1993/04/01 00:01,['1993/04/01 00:00'],"['1993/04/01 00:00 [pubmed]', '1993/04/01 00:01 [medline]', '1993/04/01 00:00 [entrez]']",['S0006-4971(20)79219-0 [pii]'],ppublish,Blood. 1993 Apr 1;81(7):1975.,,,,,,,"['Blood. 1992 Jun 1;79(11):3092-3. PMID: 1375122', 'Blood. 1992 Dec 15;80(12):3182-8. PMID: 1467524']",,,
8461475,NLM,MEDLINE,19930504,20210216,0006-4971 (Print) 0006-4971 (Linking),81,7,1993 Apr 1,Long-term follow-up of a phase III study of recombinant human granulocyte-macrophage colony-stimulating factor after autologous bone marrow transplantation for lymphoid malignancies.,1903-8,"One hundred and twenty-eight patients with non-Hodgkin's lymphoma (NHL), Hodgkin's disease (HD), and acute lymphoblastic leukemia (ALL) previously reported from a phase III trial of rhGM-CSF or placebo following autologous bone marrow transplantation (ABMT) were investigated for the development of late toxicities. Median follow-up is 36 months. No apparent long-term deleterious effects on BM function were observed. Moreover, disease-free survival and overall survival were similar for patients on both treatment arms, arguing for the long-term safety of recombinant human granulocyte macrophage-colony-stimulating factor (rhGM-CSF). The only factors predictive for both a high risk of relapse over time and mortality were having the diagnosis of ALL and/or undergoing ABMT in resistant relapse. We attempted to identify clinical variables before BM harvest, at the time of marrow infusion, or events within the first 100 days posttransplant, which might predict speed of neutrophil recovery in the setting of placebo or rhGM-CSF administration after ABMT. Only previous exposure to agents that deplete stem cells led to a significant delay in neutrophil recovery, suggesting their avoidance in patients who may undergo ABMT. Nevertheless, even those patients benefited from rhGM-CSF. For all patients, rhGM-CSF and agents that deplete stem cells were the strongest independent predictors for neutrophil engraftment. With the increasing use of newer hematopoietic growth factors both alone and in combination, long-term follow-up is essential to confirm the same safety that we report with rhGM-CSF.","['Rabinowe, S N', 'Neuberg, D', 'Bierman, P J', 'Vose, J M', 'Nemunaitis, J', 'Singer, J W', 'Freedman, A S', 'Mauch, P', 'Demetri, G', 'Onetto, N']","['Rabinowe SN', 'Neuberg D', 'Bierman PJ', 'Vose JM', 'Nemunaitis J', 'Singer JW', 'Freedman AS', 'Mauch P', 'Demetri G', 'Onetto N', 'et al.']","['Division of Tumor Immunology, Dana-Farber Cancer Institute, Boston, MA 02115.']",['eng'],"['Clinical Trial', 'Clinical Trial, Phase III', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Recombinant Proteins)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",IM,"['Adolescent', 'Adult', '*Bone Marrow Transplantation/adverse effects', 'Child', 'Child, Preschool', 'Follow-Up Studies', 'Granulocyte-Macrophage Colony-Stimulating Factor/adverse effects/*therapeutic use', 'Hodgkin Disease/blood/*therapy', 'Humans', 'Leukemia, Myeloid, Acute/blood/therapy', 'Lymphoma, Non-Hodgkin/blood/*therapy', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/blood/*therapy', 'Predictive Value of Tests', 'Recombinant Proteins/therapeutic use', 'Transplantation, Autologous']",1993/04/01 00:00,1993/04/01 00:01,['1993/04/01 00:00'],"['1993/04/01 00:00 [pubmed]', '1993/04/01 00:01 [medline]', '1993/04/01 00:00 [entrez]']",['S0006-4971(20)79203-7 [pii]'],ppublish,Blood. 1993 Apr 1;81(7):1903-8.,,,,,,,,"['CA 34183/CA/NCI NIH HHS/United States', 'CA 47748/CA/NCI NIH HHS/United States']",,
8461460,NLM,MEDLINE,19930504,20210216,0006-4971 (Print) 0006-4971 (Linking),81,7,1993 Apr 1,Subunit structure of the erythropoietin receptor analyzed by 125I-Epo cross-linking in cells expressing wild-type or mutant receptors.,1739-44,"To analyze the structure of the murine erythropoietin receptor (EpoR), wild-type or mutant EpoR cDNAs were expressed in cell lines, and the proteins that cross-linked with 125I-labeled erythropoietin (Epo) were analyzed by immunoprecipitation using an antibody against the intracellular region of the cloned EpoR. COS-7 cell transfectants expressing the wild-type EpoR showed two major cross-linked species of 145 and 110 Kd, both of which were recognized by the antibody against the cloned EpoR after denaturation under reducing conditions. Furthermore, a reduction in sizes of both cross-linked bands was observed in COS-7 transfectants expressing a mutant receptor with an internal deletion, thus indicating that both species contain the cloned EpoR. COS-7 cells expressing mutant receptors with carboxy-terminal deletions showed cross-linked bands corresponding to the smaller species of the two observed in cells expressing the wild-type receptor. In contrast to COS-7 cell transfectants, DA3 cells expressing wild-type or mutant EpoR cDNAs showed an additional cross-like species of 130 Kd. The size of this species was not altered by deletions in EpoR, showing that it did not contain EpoR. The 130-Kd cross-linked band, which would contain a 95-Kd protein, was also observed in a murine erythroleukemia cell line, D1B. These results suggest that Epo associates with a second component of 95 Kd, which is specifically expressed in hematopoietic cells.","['Miura, O', 'Ihle, J N']","['Miura O', 'Ihle JN']","[""Department of Biochemistry, St Jude Children's Research Hospital, Memphis, TN 38105.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Receptors, Erythropoietin)', '11096-26-7 (Erythropoietin)']",IM,"['Animals', 'Cell Line', 'Erythropoietin/*chemistry/genetics', 'Leukemia, Erythroblastic, Acute/metabolism', 'Mice', '*Mutation', 'Phosphorylation', 'Receptors, Erythropoietin/*chemistry/genetics/metabolism', 'Transfection', 'Tumor Cells, Cultured']",1993/04/01 00:00,1993/04/01 00:01,['1993/04/01 00:00'],"['1993/04/01 00:00 [pubmed]', '1993/04/01 00:01 [medline]', '1993/04/01 00:00 [entrez]']",['S0006-4971(20)79181-0 [pii]'],ppublish,Blood. 1993 Apr 1;81(7):1739-44.,,,,,,,,"['DK42932/DK/NIDDK NIH HHS/United States', 'P30 CA21765/CA/NCI NIH HHS/United States']",,
8461383,NLM,MEDLINE,19930506,20151119,1043-0342 (Print) 1043-0342 (Linking),4,1,1993 Feb,Use of two retroviral markers to test relative contribution of marrow and peripheral blood autologous cells to recovery after preparative therapy. The University of Texas M.D. Anderson Cancer Center. Division of Medicine.,71-85,,"['Deisseroth, A B', 'Kantarjian, H', 'Talpaz, M', 'Champlin, R', 'Reading, C', 'Andersson, B', 'Claxton, D']","['Deisseroth AB', 'Kantarjian H', 'Talpaz M', 'Champlin R', 'Reading C', 'Andersson B', 'Claxton D']","['U.T.M.D. Anderson Cancer Center, Department of Hematology, Houston 77030.']",['eng'],"['Clinical Trial', 'Journal Article']",United States,Hum Gene Ther,Human gene therapy,9008950,['0 (Biomarkers)'],IM,"['Adolescent', 'Adult', '*Biomarkers', 'Blood Cells/cytology', '*Blood Transfusion', 'Bone Marrow Cells', '*Bone Marrow Transplantation', 'Clinical Protocols', 'Hematopoiesis', 'Hematopoietic Stem Cells/cytology', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*therapy', 'Middle Aged', '*Retroviridae', 'Transplantation, Autologous']",1993/02/01 00:00,1993/02/01 00:01,['1993/02/01 00:00'],"['1993/02/01 00:00 [pubmed]', '1993/02/01 00:01 [medline]', '1993/02/01 00:00 [entrez]']",['10.1089/hum.1993.4.1-71 [doi]'],ppublish,Hum Gene Ther. 1993 Feb;4(1):71-85. doi: 10.1089/hum.1993.4.1-71.,,,,,,,,,,
8461379,NLM,MEDLINE,19930506,20121115,1043-0342 (Print) 1043-0342 (Linking),4,1,1993 Feb,What about those monkeys that got T-cell lymphoma?,1-2,,"['Anderson, W F']",['Anderson WF'],,['eng'],['Editorial'],United States,Hum Gene Ther,Human gene therapy,9008950,,IM,"['Animals', 'Genetic Therapy/*adverse effects', 'Genetic Vectors', 'Haplorhini', 'Humans', 'Lymphoma, T-Cell/*microbiology', 'Moloney murine leukemia virus/genetics/*pathogenicity/physiology', 'Transfection', 'Viremia/etiology', 'Virus Replication']",1993/02/01 00:00,1993/02/01 00:01,['1993/02/01 00:00'],"['1993/02/01 00:00 [pubmed]', '1993/02/01 00:01 [medline]', '1993/02/01 00:00 [entrez]']",['10.1089/hum.1993.4.1-1 [doi]'],ppublish,Hum Gene Ther. 1993 Feb;4(1):1-2. doi: 10.1089/hum.1993.4.1-1.,,,,,,,,,,
8461048,NLM,MEDLINE,19930423,20190623,0006-2952 (Print) 0006-2952 (Linking),45,5,1993 Mar 9,Stabilization of S-adenosylmethionine decarboxylase by aminoguanidine.,1174-6,"Aminoguanidine, an inhibitor of copper-containing amine oxidases, is often used in cell culture studies to prevent the oxidation of added polyamines or their derivatives by the amine oxidase present in bovine serum. However, in the present study, we demonstrate that aminoguanidine, besides affecting the degradation of polyamines, may affect one of the important regulatory enzymes in the biosynthesis of polyamines, namely S-adenosylmethionine decarboxylase (AdoMetDC). Aminoguanidine was shown to induce a 2-3-fold increase in the AdoMetDC levels in L1210 cells. This increase was fully explained by a stabilization of the enzyme, probably caused by the binding of aminoguanidine to the active site of AdoMetDC.","['Stjernborg, L', 'Persson, L']","['Stjernborg L', 'Persson L']","['Department of Animal Physiology, University of Lund, Sweden.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Biochem Pharmacol,Biochemical pharmacology,0101032,"['0 (Guanidines)', 'EC 4.1.1.50 (Adenosylmethionine Decarboxylase)', 'SCQ4EZQ113 (pimagedine)']",IM,"['Adenosylmethionine Decarboxylase/*metabolism', 'Animals', 'Enzyme Stability', 'Guanidines/*pharmacology', 'Half-Life', 'Leukemia L1210', 'Mice', 'Rats', 'Tumor Cells, Cultured']",1993/03/09 00:00,1993/03/09 00:01,['1993/03/09 00:00'],"['1993/03/09 00:00 [pubmed]', '1993/03/09 00:01 [medline]', '1993/03/09 00:00 [entrez]']","['0006-2952(93)90266-Y [pii]', '10.1016/0006-2952(93)90266-y [doi]']",ppublish,Biochem Pharmacol. 1993 Mar 9;45(5):1174-6. doi: 10.1016/0006-2952(93)90266-y.,,,,,,,,,,
8460973,NLM,MEDLINE,19930427,20190825,0004-8291 (Print) 0004-8291 (Linking),23,1,1993 Feb,The chronic B-cell leukaemias.,42-50,,"['Mulligan, S P', 'Catovsky, D']","['Mulligan SP', 'Catovsky D']","['Department of Haematology, Concord Hospital, Sydney, NSW.']",['eng'],"['Journal Article', 'Review']",Australia,Aust N Z J Med,Australian and New Zealand journal of medicine,1264322,,IM,"['Humans', '*Leukemia, Lymphocytic, Chronic, B-Cell/classification/diagnosis/epidemiology/immunology/therapy', 'Lymphocyte Activation', 'Neoplasm Staging', 'Phenotype', 'Prognosis']",1993/02/01 00:00,1993/02/01 00:01,['1993/02/01 00:00'],"['1993/02/01 00:00 [pubmed]', '1993/02/01 00:01 [medline]', '1993/02/01 00:00 [entrez]']",['10.1111/j.1445-5994.1993.tb00536.x [doi]'],ppublish,Aust N Z J Med. 1993 Feb;23(1):42-50. doi: 10.1111/j.1445-5994.1993.tb00536.x.,91,,,,,,,,,
8460916,NLM,MEDLINE,19930428,20210526,0066-4804 (Print) 0066-4804 (Linking),37,3,1993 Mar,Oral enoxacin for infection prevention in adults with acute nonlymphocytic leukemia. The Enoxacin Prophylaxis Study Group.,474-82,"A randomized, double-blind, placebo-controlled trial was conducted in eight hematologic units to determine the efficacy and safety of oral enoxacin for infection prevention in adult patients with acute nonlymphocytic leukemia. One hundred nineteen patients undergoing remission induction or consolidation chemotherapy were enrolled; 62 of them received enoxacin (400 mg orally every 12 h). Patients received antifungal prophylaxis with oral mycostatin (1,000,000 U four times daily) or clotrimazole (1 troche five times daily). Analysis was performed on an intent-to-treat basis. There was no significant difference between groups in race, age, or type and stage of leukemia, but there were more males in the placebo group (P = 0.073 [Fisher's exact test]). Fewer enoxacin patients had gram-negative bacteremia (1 versus 14 [P < 0.001]), gram-negative infection at any site (2 versus 19 [P < 0.001]), or bacterial and/or fungal infection (17 versus 26 [P = 0.056]). There was no significant difference in the number of patients with gram-positive infection at any site (12 versus 16), gram-positive bacteremia (9 versus 10), deep fungal infection (6 versus 2), death (2 versus 3), other antimicrobial therapy required (48 versus 48), therapy with amphotericin B (15 versus 7 [P = 0.105]), any adverse event (45 versus 36), or any study drug-associated adverse events (13 versus 6). Logistic regression confirmed (odds ratios and 95% confidence intervals are given in parentheses) that enoxacin reduced the risk of gram-negative infection (0.07; 0.01 to 0.30), especially gram-negative bacillary bacteremia (0.05; 0.01 to 0.37), without altering the risk of gram-positive bacterial (0.63; 0.26 to 1.5), deep fungal (2.57; 0.47 to 13.9), or Clostridium difficile (1.16; 0.3 to 4.56) infection. The median time to the onset of fever of more than or equal 102.8 F (39.3 degree C) was 32 days for the enoxacin group versus 15 days for patients receiving placebo (P=0.0007 [Wilcoxon test]). In patients with acute nonlymphocytic leukemia, oral enoxacin prevents gram-negative infections, delays the onset of fever, does not alter the incidence of gram-positive or proven deep fungal infections, and is well tolerated.","['Talbot, G H', 'Cassileth, P A', 'Paradiso, L', 'Correa-Coronas, R', 'Bond, L']","['Talbot GH', 'Cassileth PA', 'Paradiso L', 'Correa-Coronas R', 'Bond L']","['Infectious Diseases Section, University of Pennsylvania Medical Center, Philadelphia, USA.']",['eng'],"['Clinical Trial', 'Journal Article', 'Multicenter Study', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",United States,Antimicrob Agents Chemother,Antimicrobial agents and chemotherapy,0315061,['325OGW249P (Enoxacin)'],IM,"['Administration, Oral', 'Adult', 'Aged', 'Bacterial Infections/etiology/microbiology/*prevention & control', 'Double-Blind Method', 'Enoxacin/administration & dosage/adverse effects/*therapeutic use', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*complications/drug therapy/microbiology', 'Male', 'Middle Aged', 'Mycoses/etiology/microbiology/*prevention & control']",1993/03/01 00:00,1993/03/01 00:01,['1993/03/01 00:00'],"['1993/03/01 00:00 [pubmed]', '1993/03/01 00:01 [medline]', '1993/03/01 00:00 [entrez]']",['10.1128/AAC.37.3.474 [doi]'],ppublish,Antimicrob Agents Chemother. 1993 Mar;37(3):474-82. doi: 10.1128/AAC.37.3.474.,,,,,PMC187695,,,,,
8460857,NLM,MEDLINE,19930428,20190619,0003-4819 (Print) 0003-4819 (Linking),118,9,1993 May 1,Spontaneous pneumothorax in patients with leukemia: first sign of invasive mycosis?,707-8,,"['Girmenia, C', 'Donato, V', 'Iori, A P', 'Martino, P']","['Girmenia C', 'Donato V', 'Iori AP', 'Martino P']","['Universita degli Studi La Sapienza, Rome, Italy.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Ann Intern Med,Annals of internal medicine,0372351,,IM,"['Adolescent', 'Adult', 'Humans', 'Leukemia/*complications', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/complications', 'Leukemia, Myeloid, Acute/complications', 'Lung Diseases, Fungal/*complications/diagnostic imaging', 'Male', 'Pneumothorax/diagnostic imaging/*etiology', 'Tomography, X-Ray Computed']",1993/05/01 00:00,1993/05/01 00:01,['1993/05/01 00:00'],"['1993/05/01 00:00 [pubmed]', '1993/05/01 00:01 [medline]', '1993/05/01 00:00 [entrez]']",['10.7326/0003-4819-118-9-199305010-00008 [doi]'],ppublish,Ann Intern Med. 1993 May 1;118(9):707-8. doi: 10.7326/0003-4819-118-9-199305010-00008.,,,,,,,,,,
8460843,NLM,MEDLINE,19930428,20071115,0302-4342 (Print) 0302-4342 (Linking),38,3,1993 Mar,[Acute lymphoblastic leukemia: comparison of traditional treatment with intensive therapy methods].,241-4,"In this study we compare two different therapies for the treatment of non-B acute lymphoblastic leukemia (ALL). Forty-four children diagnosed as having non-B ALL were treated by one of two methods: 20 children were treated from 1981 to 1984 according to the PETHEMA 7/78 protocol and 24 children were treated from 1984 to 1987 following the BFM 83 protocol. These treatments differ in that BFM 83 includes a higher number of cytostatics, uses intravenous methotrexate at moderate doses as ""reservoirs"" treatment and a lower dose of holocranial radiotherapy. The BFM 83 treatment resulted in a significant improvement in survival (48% versus 92% p < 0.05), as well as in the absence of further events (45% versus 88%, p < 0.01).","['Vivanco Martinez, J L', 'Lopez Panero, A', 'Melero Moreno, C', 'Lopez Perez, J']","['Vivanco Martinez JL', 'Lopez Panero A', 'Melero Moreno C', 'Lopez Perez J']","['Departamento de Pediatria, Hospital 12 de Octubre, Madrid.']",['spa'],"['Comparative Study', 'English Abstract', 'Journal Article']",Spain,An Esp Pediatr,Anales espanoles de pediatria,0420463,,IM,"['Adolescent', 'Age Factors', 'Child', 'Child, Preschool', 'Clinical Protocols', 'Combined Modality Therapy', 'Female', 'Humans', 'Infant', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*therapy', 'Recurrence', 'Remission Induction/methods', 'Spain', 'Treatment Outcome']",1993/03/01 00:00,1993/03/01 00:01,['1993/03/01 00:00'],"['1993/03/01 00:00 [pubmed]', '1993/03/01 00:01 [medline]', '1993/03/01 00:00 [entrez]']",,ppublish,An Esp Pediatr. 1993 Mar;38(3):241-4.,,,,,,Leucemia linfoblastica aguda: comparacion de los resultados del tratamiento clasico con terapias intensivas.,,,,
8460711,NLM,MEDLINE,19930429,20171213,0002-9513 (Print) 0002-9513 (Linking),264,3 Pt 1,1993 Mar,Activation of tracheal smooth muscle responsiveness by fMLP-treated HL-60 cells and neutrophils.,L222-8,"We assessed the effects of cultured human promyelocytic leukemia (HL-60) cells and polymorphonuclear leukocytes (neutrophils) isolated from peripheral human blood on tracheal smooth muscle responsiveness in 40 male Hartley guinea pigs. Undifferentiated HL-60 cells (16-25 passages) were activated in vitro by incubation with 1 microM f-Met-Leu-Phe (fMLP), and force of contraction was measured isometrically using an in situ preparation of tracheal smooth muscle. Increasing concentrations of acetylcholine (ACh; 10(-10) to 10(-6) mol/cm2 tracheal surface) were applied topically to the epithelial surface pretreated with 4 x 10(6) fMLP-activated HL-60 cells, 4 x 10(6) fMLP-activated neutrophils, 4 x 10(6) sham-activated HL-60 cells, fMLP+vehicle, or vehicle control. Topical application of fMLP-activated HL-60 cells caused a maximum active tension (AT) of 1.13 +/- 0.2 g/cm after 5 min; fMLP-activated neutrophils, sham-activated HL-60 cells, or fMLP+vehicle had no effect. The fMLP-activated HL-60 cells also caused substantial augmentation of tracheal contraction to ACh (P < 0.05 vs. sham-activated cells for all concentrations > 10(-9) mol/cm2). Although fMLP treatment caused 247 +/- 28% increase from baseline level in O2-. production, neither direct contraction nor augmentation of muscarinic stimulation was demonstrated after topical application of 4 x 10(6) neutrophils. In 12 other preparations, fMLP-activated HL-60 cells were pretreated with either 10 microM indomethacin (Indo) or 100 microM A63162, a 5-lipoxygenase inhibitor. Pretreatment with Indo caused complete blockade of direct tracheal contraction and 88 +/- 13% blockade of muscarinic augmentation; there was no effect after A63162.(ABSTRACT TRUNCATED AT 250 WORDS)","['Munoz, N M', 'Hamann, K J', 'Vita, A', 'Cozzi, P J', 'Baranowski, S', 'Solway, J', 'Leff, A R']","['Munoz NM', 'Hamann KJ', 'Vita A', 'Cozzi PJ', 'Baranowski S', 'Solway J', 'Leff AR']","['Department of Medicine, University of Chicago, Illinois 60637.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Physiol,The American journal of physiology,0370511,"['0 (Acetamides)', '0 (Lipoxygenase Inhibitors)', '0 (Phenyl Ethers)', '0452Y37YTA (N-hydroxy-N-(1-(4-(phenylmethoxy)phenyl)ethyl)-acetamide)', '59880-97-6 (N-Formylmethionine Leucyl-Phenylalanine)', 'EC 1.13.11.12 (Lipoxygenase)', 'EC 1.14.99.1 (Prostaglandin-Endoperoxide Synthases)', 'N9YNS0M02X (Acetylcholine)', 'XXE1CET956 (Indomethacin)']",IM,"['Acetamides/pharmacology', 'Acetylcholine/pharmacology', 'Animals', 'Bronchoconstriction/drug effects/physiology', 'Cell Communication/physiology', 'Cell Survival/drug effects/physiology', 'Guinea Pigs', 'Humans', 'Immunohistochemistry', 'Indomethacin/pharmacology', 'Leukemia, Myeloid/*pathology/*physiopathology', 'Lipoxygenase/metabolism/physiology', 'Lipoxygenase Inhibitors/pharmacology', 'Male', 'Muscle, Smooth/drug effects/*physiology', 'N-Formylmethionine Leucyl-Phenylalanine/*pharmacology', 'Neutrophils/*cytology/drug effects/*physiology', 'Phenyl Ethers', 'Prostaglandin-Endoperoxide Synthases/metabolism/physiology', 'Trachea/drug effects/*physiology', 'Tumor Cells, Cultured/drug effects/pathology']",1993/03/01 00:00,1993/03/01 00:01,['1993/03/01 00:00'],"['1993/03/01 00:00 [pubmed]', '1993/03/01 00:01 [medline]', '1993/03/01 00:00 [entrez]']",['10.1152/ajplung.1993.264.3.L222 [doi]'],ppublish,Am J Physiol. 1993 Mar;264(3 Pt 1):L222-8. doi: 10.1152/ajplung.1993.264.3.L222.,,,,,,,,"['HL-32495/HL/NHLBI NIH HHS/United States', 'HL-35718/HL/NHLBI NIH HHS/United States', 'HL-46368/HL/NHLBI NIH HHS/United States', 'etc.']",,
