PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,RN,GR,SI,TT,RF,CON,CIN,CRF,EIN,OID,OTO,OT,GN
8758931,NLM,MEDLINE,19960930,20131121,0008-5472 (Print) 0008-5472 (Linking),56,15,1996 Aug 1,Activation of Src kinases p53/56lyn and p59hck by p210bcr/abl in myeloid cells.,3589-96,"Chronic myeloid leukemia is characterized by the Philadelphia (Ph1) translocation t(9;22) that generates a hybrid gene, bcr/abl, translated to a Mr210,000 tyrosine kinase (p210bcr/abl) with transforming activity for hematopoietic cells. Hematopoietic cell transformation by p2l0bcr/abl seems to involve activation of the Ras signaling pathway by at least two different signaling intermediates, growth factor receptor-bound protein 2 and Src homology and collagen protein, but additional signaling proteins are likely to be required as well. In an effort to identify additional phosphoproteins activated by p210bcr/abl, we studied the murine, interleukin 3-dependent, myeloid cell line, 32D, and a bcr/abl-transfected, factor-independent subline, 32Dp210. The analysis of whole-cell lysates of 32D and 32Dp210 cells showed that several proteins with a molecular weight of Mr50,000-60,000 were phosphorylated on tyrosine residues in 32Dp210 cells. Because Src family kinases have an apparent molecular weight of Mr50,000-60,000, we asked whether they could become activated by p2l0bcr/abl. Two Src family kinases, p53/56lyn and p59hck, showed a severalfold higher phosphokinase activity in 32Dp210 cells than in 32D cells. Coimmunoprecipitation experiments with anti-Lyn, anti-Hck, and anti-Abl antibodies demonstrated an intracellular association of p210bcr/abl with p53/56lyn and p59hck. Moreover, the phosphokinase activity of p53/56lyn was higher in bcr/abl-positive myeloid cell lines (K562, BV173, and LAMA84) than in the bcr/abl-negative myeloid cell line JOSK-M. In conclusion, the results show that p210bcr/abl induces the activation of at least two Src family kinases, P53/56lyn and p59hck, in myeloid cells. These findings extend the range of potential targets of p210bcr/abl that might mediate its transforming effects.","['Danhauser-Riedl, S', 'Warmuth, M', 'Druker, B J', 'Emmerich, B', 'Hallek, M']","['Danhauser-Riedl S', 'Warmuth M', 'Druker BJ', 'Emmerich B', 'Hallek M']","['Medizinische Klinik, Klinikam Innenstadt, Universitat Munchen, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,IM,"['Cytosol/metabolism', 'Enzyme Activation', 'Fusion Proteins, bcr-abl/biosynthesis/metabolism/pharmacology', 'Humans', 'Interleukin-3/pharmacology', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*enzymology', 'Phosphoproteins/metabolism', 'Phosphorylation', 'Precipitin Tests', 'Transfection', 'Tumor Cells, Cultured', 'Tyrosine/metabolism', 'src-Family Kinases/*metabolism']",1996/08/01 00:00,1996/08/01 00:01,['1996/08/01 00:00'],"['1996/08/01 00:00 [pubmed]', '1996/08/01 00:01 [medline]', '1996/08/01 00:00 [entrez]']",,ppublish,Cancer Res. 1996 Aug 1;56(15):3589-96.,,"['0 (Interleukin-3)', '0 (Phosphoproteins)', '42HK56048U (Tyrosine)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)', 'EC 2.7.10.2 (src-Family Kinases)']",,,,,,,,,,,,
8758928,NLM,MEDLINE,19960930,20131121,0008-5472 (Print) 0008-5472 (Linking),56,15,1996 Aug 1,"Combination of a potent 20-epi-vitamin D3 analogue (KH 1060) with 9-cis-retinoic acid irreversibly inhibits clonal growth, decreases bcl-2 expression, and induces apoptosis in HL-60 leukemic cells.",3570-6,"All-trans retinoic acid (RA) is the first highly effective differentiation-inducing agent for remission induction in patients with acute promyelocytic leukemia. However, remissions are short-lived because the treatment fails to induce complete differentiation and fails to eradicate the malignant clone. To eliminate rapidly the malignant clone, in analogy with aggressive chemotherapy, the combination of potent differentiation- and apoptosis-inducing drugs working through different receptors and signal pathways may be useful. The active form of vitamin D3 (1,25-dihydroxyvitamin D3; 1,25(OH)2D3) inhibits proliferation and induces differentiation of myeloid leukemic cells. The 9-cis-RA, unlike all-trans-RA which binds only retinoic acid receptors, is a high affinity ligand for both retinoic acid receptors and retinoid X receptors. The aim of this study was to evaluate the therapeutic potential of combining a vitamin D(3) analogue, 20-epi-22-oxa-24a,26a,27a-tri-homo-1alpha,25(OH) 2D, (KH 1060), which belongs to the family of potent 20-epi-1,25(OH),D3 analogues, with 9-cis-RA by assessing their effects on the proliferation, differentiation, and apoptosis of the human leukemia cell line HL-60 in vitro. Our data show that KH 1060 alone is a very potent inhibitor of clonal proliferation of HL-60, but this effect is reversible, and that 9-cis-RA alone is a weak inhibitor of clonal proliferation of HL-60 cells. In contrast, the combination of KH 1060 and 9-cis-RA synergistically and irreversibly inhibited the clonal proliferation of HL-60 cells and induced apoptosis, as detected by morphological changes and DNA fragmentation. This combination also affected the expression of apoptosis-related genes. The bcl-2 protein became nearly undetectable, and expression of bax protein increased slightly (the bax:bcl-2 ratio was 14-fold higher than in untreated cells). Differentiation of treated HL-60 cells was assessed by their ability to produce superoxide, as measured by reduction of nitro blue tetrazolium, positive staining for alpha-naphthyl acetate esterase, phagocytosis, morphology, and analysis of membrane-bound differentiation markers with two-color immunofluorescence. Treatment with the combination of KH 1060 and 9-cis-RA was a potent inducer of differentiation of HL-60, with the cells developing a myelomonocytic phenotype. In summary, our data demonstrate that the combination of both KH 1060 and 9-cis-RA irreversibly and synergistically inhibited clonal growth, induced differentiation and apoptosis of HL-60 cells concomitantly with a very marked decreased expression of bcl-2, and increased the bax:bcl-2 ratio. This drug combination may have important therapeutic significance.","['Elstner, E', 'Linker-Israeli, M', 'Umiel, T', 'Le, J', 'Grillier, I', 'Said, J', 'Shintaku, I P', 'Krajewski, S', 'Reed, J C', 'Binderup, L', 'Koeffler, H P']","['Elstner E', 'Linker-Israeli M', 'Umiel T', 'Le J', 'Grillier I', 'Said J', 'Shintaku IP', 'Krajewski S', 'Reed JC', 'Binderup L', 'Koeffler HP']","['Division of Hematology-Oncology, UCLA School of Medicine, California 90048, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,IM,"['Antigens, Surface/analysis', 'Antineoplastic Combined Chemotherapy Protocols/*pharmacology', 'Apoptosis/drug effects', 'Calcitriol/administration & dosage/analogs & derivatives', 'Cell Differentiation/drug effects', 'Cell Division/drug effects', 'Clone Cells', 'Drug Synergism', 'HL-60 Cells/*drug effects/metabolism/pathology', 'Humans', 'Phagocytosis/drug effects', 'Proto-Oncogene Proteins/*biosynthesis', 'Proto-Oncogene Proteins c-bcl-2', 'Tretinoin/administration & dosage', 'bcl-2-Associated X Protein']",1996/08/01 00:00,1996/08/01 00:01,['1996/08/01 00:00'],"['1996/08/01 00:00 [pubmed]', '1996/08/01 00:01 [medline]', '1996/08/01 00:00 [entrez]']",,ppublish,Cancer Res. 1996 Aug 1;56(15):3570-6.,,"['0 (Antigens, Surface)', '0 (BAX protein, human)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (bcl-2-Associated X Protein)', '131875-08-6 (KH 1060)', '5688UTC01R (Tretinoin)', 'FXC9231JVH (Calcitriol)']","['CA42710/CA/NCI NIH HHS/United States', 'CA43277/CA/NCI NIH HHS/United States', 'CA7065-01/CA/NCI NIH HHS/United States']",,,,,,,,,,,
8758912,NLM,MEDLINE,19960930,20181130,0008-5472 (Print) 0008-5472 (Linking),56,15,1996 Aug 1,Proton nuclear magnetic resonance spectroscopy reveals cellular lipids involved in resistance to adriamycin and taxol by the K562 leukemia cell line.,3461-7,"Proton nuclear magnetic resonance spectroscopy was performed on whole cells to study lipids and metabolites in Adriamycin- and Taxol-resistant K562 cells expressing multidrug resistance (MDR) and their sensitive counterparts. With one-dimensional spectra, both resistant cell lines showed lower fatty acid methylene:methyl ratios and higher choline:methyl ratios than sensitive cells. Using two-dimensional COSY spectra, a decrease in the glutamine content was evidenced in resistant cells. When these cells were maintained in culture medium without the drug, the fatty acid signals were partially recovered. Adriamycin-resistant K562 cells were also treated for 4 days with a high dose of verapamil, a MDR-reversing agent. The nuclear magnetic resonance spectra of verapamil-treated cells also showed partial recovery of fatty acid signals. These results could be paralleled with the reversion of the resistant phenotype, as evidenced by measuring the inhibiting concentration of Adriamycin and vinblastine in K562adr cells cultured without the drug or after short-term exposure to verapamil. Conversely, P-glycoprotein and mRNA expression and DNA amplification of the mdr gene were not modified when compared to resistant cells, suggesting that the MDR phenotype could be partially reversed independently of the mdr gene amplification and expression. These results demonstrate the role of lipids in the resistance phenomenon.","['Le Moyec, L', 'Tatoud, R', 'Degeorges, A', 'Calabresse, C', 'Bauza, G', 'Eugene, M', 'Calvo, F']","['Le Moyec L', 'Tatoud R', 'Degeorges A', 'Calabresse C', 'Bauza G', 'Eugene M', 'Calvo F']","['Laboratoire de RMN et Exploration Fonctionnelle, Hopital Saint Louis, Paris, France.']",['eng'],"['Comparative Study', 'Journal Article']",United States,Cancer Res,Cancer research,2984705R,IM,"['ATP Binding Cassette Transporter, Subfamily B, Member 1/biosynthesis', 'Antibiotics, Antineoplastic/*pharmacology', 'Antineoplastic Agents, Phytogenic/*pharmacology', 'DNA, Neoplasm/genetics', 'Doxorubicin/*pharmacology', 'Drug Resistance, Multiple/*physiology', 'Drug Resistance, Neoplasm', 'Gene Amplification', 'Gene Expression', 'Humans', 'Leukemia, Experimental/*drug therapy/*metabolism', 'Lipids/*analysis', 'Magnetic Resonance Spectroscopy/methods', 'Paclitaxel/*pharmacology', 'RNA, Messenger/genetics', 'Tumor Cells, Cultured', 'Vinblastine/pharmacology']",1996/08/01 00:00,1996/08/01 00:01,['1996/08/01 00:00'],"['1996/08/01 00:00 [pubmed]', '1996/08/01 00:01 [medline]', '1996/08/01 00:00 [entrez]']",,ppublish,Cancer Res. 1996 Aug 1;56(15):3461-7.,,"['0 (ATP Binding Cassette Transporter, Subfamily B, Member 1)', '0 (Antibiotics, Antineoplastic)', '0 (Antineoplastic Agents, Phytogenic)', '0 (DNA, Neoplasm)', '0 (Lipids)', '0 (RNA, Messenger)', '5V9KLZ54CY (Vinblastine)', '80168379AG (Doxorubicin)', 'P88XT4IS4D (Paclitaxel)']",,,,,,,,,,,,
8758906,NLM,MEDLINE,19960930,20131121,0008-5472 (Print) 0008-5472 (Linking),56,15,1996 Aug 1,P210 Bcr-Abl interacts with the interleukin 3 receptor beta(c) subunit and constitutively induces its tyrosine phosphorylation.,3426-30,"Chronic myelogenous leukemia is a neoplasm of pluripotent hematopoietic cells. The P210 Bcr-Abl oncoprotein is a deregulated cytoplasmic tyrosine kinase that has been shown to cause chronic myelogenous leukemia-like neoplasms in mice. Cytokines such as interleukin 3 and granulocyte/macrophage-colony-stimulating factor regulate the growth and differentiation of hematopoietic precursors. These cytokines activate two distinct signals to the nucleus. One signal is through the Ras pathway, and the second involves activation of Jak2. We demonstrated that Bcr-Abl co-immunoprecipitates with, and constitutively phosphorylates, the common beta(c) subunit of the interleukin 3 and granulocyte/macrophage-colony-stimulating factor receptors. Our data show that formation of this complex leads to the constitutive tyrosine phosphorylation of Jak2. It has been demonstrated that Bcr-Abl interacts with Grb2 and Shc, which in turn activates the Ras pathway. Our new findings raise the possibility that Bcr-Abl activates signaling through both pathways in a factor-independent fashion.","['Wilson-Rawls, J', 'Xie, S', 'Liu, J', 'Laneuville, P', 'Arlinghaus, R B']","['Wilson-Rawls J', 'Xie S', 'Liu J', 'Laneuville P', 'Arlinghaus RB']","['Department of Molecular Pathology, The University of Texas M. D. Anderson Cancer Center, Houston 77030, USA.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,IM,"['Cell Transformation, Neoplastic', 'Fusion Proteins, bcr-abl/*metabolism', 'Hematopoietic Stem Cells/metabolism/pathology', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*metabolism/pathology', 'Macromolecular Substances', 'Neoplasm Proteins/*metabolism', 'Phosphorylation', 'Precipitin Tests', 'Receptors, Interleukin-3/*metabolism', 'Signal Transduction/physiology', 'Tyrosine/*metabolism']",1996/08/01 00:00,1996/08/01 00:01,['1996/08/01 00:00'],"['1996/08/01 00:00 [pubmed]', '1996/08/01 00:01 [medline]', '1996/08/01 00:00 [entrez]']",,ppublish,Cancer Res. 1996 Aug 1;56(15):3426-30.,,"['0 (Macromolecular Substances)', '0 (Neoplasm Proteins)', '0 (Receptors, Interleukin-3)', '42HK56048U (Tyrosine)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']","['CA09299/CA/NCI NIH HHS/United States', 'CA16672/CA/NCI NIH HHS/United States', 'CA65611/CA/NCI NIH HHS/United States']",,,,,,,,,,,
8758760,NLM,MEDLINE,19961011,20081121,1001-5302 (Print) 1001-5302 (Linking),21,2,1996 Feb,[Comparison of cytotoxicity of different processed products of gamboge on K562 tumor cells].,"90-1, 127","The cytotoxicity of different processed products of Gamboge on K562 tumor cell was observed. The result showed that the antitumor action of Garcinia hunburyi processed by steaming (0.15MPa, 126 C for 30 min) was the strongest.","['Lu, Y', 'Wang, G', 'Ye, D']","['Lu Y', 'Wang G', 'Ye D']",['Nanjing University of Traditional Chinese Medicine.'],['chi'],"['Comparative Study', 'English Abstract', 'Journal Article']",China,Zhongguo Zhong Yao Za Zhi,Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal of Chinese materia medica,8913656,IM,"['Cell Division/drug effects', 'Drugs, Chinese Herbal/*pharmacology', 'Hot Temperature', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/pathology', 'Tumor Cells, Cultured/*drug effects']",1996/02/01 00:00,1996/02/01 00:01,['1996/02/01 00:00'],"['1996/02/01 00:00 [pubmed]', '1996/02/01 00:01 [medline]', '1996/02/01 00:00 [entrez]']",,ppublish,"Zhongguo Zhong Yao Za Zhi. 1996 Feb;21(2):90-1, 127.",,"['0 (Drugs, Chinese Herbal)']",,,,,,,,,,,,
8758535,NLM,MEDLINE,19960924,20190826,0248-8663 (Print) 0248-8663 (Linking),17,6,1996,[Fusaria infection in patients with neutropenia: apropos of 3 cases].,474-6,"The authors report three cases of fusarial infection in neutropenic patients with hematologic malignancies. The first patient was affected by a cutaneous extensive fusariosis. The second patient developed a fusarial lung infection during a multiple organ failure following allogenic bone marrow transplantation. The third patient who presented with refractory acute myelogenous leukemia, developed fusarial skin lesions, and died from pulmonary failure. The treatment of fusarial infection is disappointing and requires amphotericin B, in association with hematopoietic growth factors. The role of new agents, or combination chemotherapy remains to be determinated. The recovery of adequate neutrophil levels is the most important factor in the resolution of fusarial infection.","['Chevalet, P', 'Tiab, M', 'Miegeville, M', 'Milpied, N', 'Harousseau, J L', 'Moreau, P']","['Chevalet P', 'Tiab M', 'Miegeville M', 'Milpied N', 'Harousseau JL', 'Moreau P']","[""Service d'hematologie, CHU de Nantes, France.""]",['fre'],"['Case Reports', 'English Abstract', 'Journal Article']",France,Rev Med Interne,La Revue de medecine interne,8101383,IM,"['Adult', 'Amphotericin B/therapeutic use', 'Antifungal Agents/therapeutic use', 'Dermatomycoses/drug therapy/*etiology', 'Female', '*Fusarium', 'Humans', 'Lung Diseases, Fungal/drug therapy/*etiology', 'Male', 'Middle Aged', 'Neutropenia/*complications']",1996/01/01 00:00,1996/01/01 00:01,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '1996/01/01 00:01 [medline]', '1996/01/01 00:00 [entrez]']","['0248866396864411 [pii]', '10.1016/0248-8663(96)86441-1 [doi]']",ppublish,Rev Med Interne. 1996;17(6):474-6. doi: 10.1016/0248-8663(96)86441-1.,,"['0 (Antifungal Agents)', '7XU7A7DROE (Amphotericin B)']",,,Infection fusariale chez le neutropenique: a propos de trois observations.,,,,,,,,,
8758442,NLM,MEDLINE,19960920,20131121,0376-2491 (Print) 0376-2491 (Linking),76,2,1996 Feb,[Modulation of bcl-2 antisense RNA on programmed cell death of leukemic cell line].,112-5,"OBJECTIVE: To investigate modulation of decrease of intrinsic bcl-2 protein levels on programmed cell death of leukemia cells. METHOD: Gene transfection procedure was applied to observe the effect of antisense RNA-mediated suppression of bcl-2 gene expression on programmed cell death of human T-lymphocytic leukemia cell line CEM. RESULTS: Temporary expression of antisense bcl-2 gene could effectively reduce levels of intrinsic bcl-2 protein of CEM cells and render it more sensitive to etoposide-induced cytotoxicity. Moreover, a great deal of apoptotic bodies and ladder DNA was always produced during etoposide-mediated killing of CEM and when CEM expressing bcl-2 antisense RNA served as target cells in particular, the amount of ladder DNA increased to around 40%. CONCLUSION: Programmed cell death is one of the mechanisms by which etoposide kills leukemic cells and is modulated by cellular intrinsic bcl-2 protein.","['Chen, X', 'Wang, W', 'Huang, G']","['Chen X', 'Wang W', 'Huang G']","[""Department of Hematology, Xijing Hospital, Fourth Military Medical University, Xi'an.""]",['chi'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhonghua Yi Xue Za Zhi,Zhonghua yi xue za zhi,7511141,IM,"['Antineoplastic Agents, Phytogenic/pharmacology', '*Apoptosis/drug effects', 'Etoposide/pharmacology', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Leukemia/*pathology', 'Proto-Oncogene Proteins/*biosynthesis', 'Proto-Oncogene Proteins c-bcl-2', '*RNA, Antisense', 'Tumor Cells, Cultured']",1996/02/01 00:00,1996/02/01 00:01,['1996/02/01 00:00'],"['1996/02/01 00:00 [pubmed]', '1996/02/01 00:01 [medline]', '1996/02/01 00:00 [entrez]']",,ppublish,Zhonghua Yi Xue Za Zhi. 1996 Feb;76(2):112-5.,,"['0 (Antineoplastic Agents, Phytogenic)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (RNA, Antisense)', '6PLQ3CP4P3 (Etoposide)']",,,,,,,,,,,,
8758433,NLM,MEDLINE,19961011,20061115,0376-2491 (Print) 0376-2491 (Linking),76,3,1996 Mar,"[Inducing effect of dimethy-4, 4'-dimethoxy-5, 6,5',6-dimethylenedioxybipheny-2, 2'-dicarboxylate (DDB) on differentiation of leukemia HL-60 cells].",214-7,"OBJECTIVE: To study the effects of anti-hepatitis drug, DDB, on leukemia cell line HL-60. METHOD: Cytobiological methods were used. RESULT: DDB was inhibited the proliferation of HL-60 cells. About 50% of HL-60 cells treated with DDB (10(-4)mol/L) for 6 days exhibited NBT reduction, and phagocytosis activity was also enhanced by DDB (10(-4)mol/L) for 4 days. The HL-60 cells treated with DDB turned out to be mature granulocytes morphologically. CONCLUSION: The activity of acid phosphatase in DDB-treated HL-60 cells was significantly increased. DDB can induce HL-60 cells to differentiate along granulocyte lineage.","['Liu, Z', 'Cui, Q', 'Fu, T']","['Liu Z', 'Cui Q', 'Fu T']","['Department of Pharmacology, Chinese Academy of Medical Sciences, Peking Union Medical College, Beijing.']",['chi'],"['English Abstract', 'Journal Article']",China,Zhonghua Yi Xue Za Zhi,Zhonghua yi xue za zhi,7511141,IM,"['Acid Phosphatase/metabolism', 'Antineoplastic Agents, Phytogenic/*pharmacology', 'Cell Transformation, Neoplastic/*drug effects', 'Dioxoles/*pharmacology', 'HL-60 Cells', 'Humans', 'Phagocytosis/drug effects']",1996/03/01 00:00,1996/03/01 00:01,['1996/03/01 00:00'],"['1996/03/01 00:00 [pubmed]', '1996/03/01 00:01 [medline]', '1996/03/01 00:00 [entrez]']",,ppublish,Zhonghua Yi Xue Za Zhi. 1996 Mar;76(3):214-7.,,"['0 (Antineoplastic Agents, Phytogenic)', '0 (Dioxoles)', ""73536-69-3 (7,7'-dimethoxy-(4,4'-bi-1,3-benzodioxole)-5,5'-dicarboxylic acid"", 'dimethyl ester)', 'EC 3.1.3.2 (Acid Phosphatase)']",,,,,,,,,,,,
8758426,NLM,MEDLINE,19961011,20071115,0376-2491 (Print) 0376-2491 (Linking),76,3,1996 Mar,[K562 cells differentiation induced by RNA from rabbit reticulocytes].,191-3,"OBJECTIVE: To study the effect of RNA from the reticulocytes of rabbit on cell differentiation of human leukemia cell line K562 cells. METHOD: RNA from rabbit reticulocytes and human leukemia K562 cells were cultured for 4 days to detect cellular changes. RESULTS: When K562 cells grew in a medium containing 100 micrograms/ml RNA, the cellular growth and division were gradually suppressed and the cells changed toward a differentiated phenotype. Subsequently, K562 cells produced hemoglobins and further differentiated terminally. CONCLUSION: RNA of mammalian erythrocyte played a role in declining cellular division and growth of K562 cells, reversing malignant phenotype, and promoting differentiation.","['Zu, S', 'Gao, C', 'Qiang, L']","['Zu S', 'Gao C', 'Qiang L']","['Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences, Beijing.']",['chi'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhonghua Yi Xue Za Zhi,Zhonghua yi xue za zhi,7511141,IM,"['Animals', 'Cell Transformation, Neoplastic/*drug effects', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*pathology', 'RNA/*pharmacology', 'Rabbits', 'Reticulocytes/*metabolism', 'Tumor Cells, Cultured']",1996/03/01 00:00,1996/03/01 00:01,['1996/03/01 00:00'],"['1996/03/01 00:00 [pubmed]', '1996/03/01 00:01 [medline]', '1996/03/01 00:00 [entrez]']",,ppublish,Zhonghua Yi Xue Za Zhi. 1996 Mar;76(3):191-3.,,['63231-63-0 (RNA)'],,,,,,,,,,,,
8758302,NLM,MEDLINE,19961016,20161123,0366-6999 (Print) 0366-6999 (Linking),109,3,1996 Mar,Differentiation therapy of acute promyelocytic leukemia.,179-82,,"['Chen, Z']",['Chen Z'],"['Shanghai Institute of Hematology, Rui Jin Hospital, Shanghai Second Medical University.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",China,Chin Med J (Engl),Chinese medical journal,7513795,IM,"['Cell Differentiation/drug effects', 'Humans', 'Leukemia, Promyelocytic, Acute/*drug therapy/genetics', 'Receptors, Retinoic Acid/genetics', 'Retinoic Acid Receptor alpha', 'Tretinoin/*therapeutic use']",1996/03/01 00:00,1996/03/01 00:01,['1996/03/01 00:00'],"['1996/03/01 00:00 [pubmed]', '1996/03/01 00:01 [medline]', '1996/03/01 00:00 [entrez]']",,ppublish,Chin Med J (Engl). 1996 Mar;109(3):179-82.,,"['0 (RARA protein, human)', '0 (Receptors, Retinoic Acid)', '0 (Retinoic Acid Receptor alpha)', '5688UTC01R (Tretinoin)']",,,,9,,,,,,,,
