PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,PMC,TT,AD
7006015,NLM,MEDLINE,19810327,20061115,0034-1193 (Print) 0034-1193 (Linking),69,4,1980 Oct,[Evaluation of the serum lysozyme level as a further parameter for predicting hematological tolerance in patients treated with cytostatic chemotherapy. Study of 134 cases].,431-57,,"['Neretto, G', 'Agricola, R', 'Giovanelli, E', 'Poccardi, G', 'Pellerito, R', 'Furno, F', 'Martinetto, P', 'Pellegrino, S', 'Daglio, C', 'Tondolo, M']","['Neretto G', 'Agricola R', 'Giovanelli E', 'Poccardi G', 'Pellerito R', 'Furno F', 'Martinetto P', 'Pellegrino S', 'Daglio C', 'Tondolo M']",['ita'],,"['English Abstract', 'Journal Article', 'Review']",Italy,Recenti Prog Med,Recenti progressi in medicina,0401271,"['0 (Antineoplastic Agents)', 'EC 3.2.1.17 (Muramidase)']",IM,"['Antineoplastic Agents/*therapeutic use', 'Bone Neoplasms/drug therapy', 'Breast Neoplasms/drug therapy', 'Drug Tolerance', 'Gastrointestinal Neoplasms/drug therapy', 'Granulocytes', 'Hematopoiesis/drug effects', 'Hodgkin Disease/drug therapy', 'Humans', 'Leukemia/drug therapy', 'Lymphoma/drug therapy', 'Muramidase/*blood', 'Neoplasm Metastasis', 'Neoplasms/*drug therapy']",1980/10/01 00:00,1980/10/01 00:01,['1980/10/01 00:00'],"['1980/10/01 00:00 [pubmed]', '1980/10/01 00:01 [medline]', '1980/10/01 00:00 [entrez]']",,ppublish,Recenti Prog Med. 1980 Oct;69(4):431-57.,42,,Valutazione del tasso di lisozima serico come ulteriore parametro per la previsione della tolleranza ematologica in malati sottoposti a chemioterapia citostatica. Studio di 134 casi.,
7006008,NLM,MEDLINE,19810327,20061115,0034-1193 (Print) 0034-1193 (Linking),69,2,1980 Aug,[The lung in systemic malignant hemolymphopathies. I. Introductory study: outline of the current status of the subject and review of the literature].,158-72,,"['Belli, A', 'Belli, F']","['Belli A', 'Belli F']",['ita'],,"['English Abstract', 'Journal Article', 'Review']",Italy,Recenti Prog Med,Recenti progressi in medicina,0401271,,IM,"['*Hodgkin Disease', 'Humans', '*Leukemia', '*Lung Neoplasms', '*Lymphoma', 'Multiple Myeloma', 'Plasmacytoma', '*Pleural Neoplasms']",1980/08/01 00:00,1980/08/01 00:01,['1980/08/01 00:00'],"['1980/08/01 00:00 [pubmed]', '1980/08/01 00:01 [medline]', '1980/08/01 00:00 [entrez]']",,ppublish,Recenti Prog Med. 1980 Aug;69(2):158-72.,34,,Il polmone nelle emolinfopatie maligne sistemiche. i. Studio introduttivo: inquadramento odierno della tematica e revisione critica della letteratura.,
7005940,NLM,MEDLINE,19810327,20161123,0033-8419 (Print) 0033-8419 (Linking),138,2,1981 Feb,Radiographic features of gastrointestinal graft-vs.-host disease.,371-4,"Five patients underwent bone-marrow transplantation, and graft-vs.-host disease (GVHD) developed. Radiographic features are described. Three patients showed an abrupt transition at the jejuno-ileal junction from normal small bowel to ileal loops which were narrowed, tubular, separated, edematous, and, generally, without mucosal markings. The transit time for the contrast material to reach the anus from the mouth was 20 to 25 minutes. A fourth patient showed mucosal ulcerations of the transverse and descending colon. The fifth patient with acute, ultimately fatal GVHD had an edematous duodenum and colon, in addition to an edematous, tubular jejunum and ileum without mucosal markings. Transit time through the intestines for the contrast material was rapid.","['Rosenberg, H K', 'Serota, F T', 'Koch, P', 'Borden, S 4th', 'August, C S']","['Rosenberg HK', 'Serota FT', 'Koch P', 'Borden S 4th', 'August CS']",['eng'],,"['Case Reports', 'Journal Article']",United States,Radiology,Radiology,0401260,"['25BB7EKE2E (Barium Sulfate)', '8N3DW7272P (Cyclophosphamide)']",IM,"['Adolescent', 'Adult', 'Anemia, Aplastic/therapy', 'Barium Sulfate', 'Bone Marrow Transplantation', 'Child', 'Cyclophosphamide/therapeutic use', 'Enema', 'Female', 'Gastrointestinal Diseases/*diagnostic imaging/etiology', '*Graft vs Host Reaction', 'Humans', 'Ileal Diseases/diagnostic imaging/etiology', 'Jejunal Diseases/diagnostic imaging/etiology', 'Leukemia/therapy', 'Male', 'Radiography', 'Transplantation, Homologous']",1981/02/01 00:00,2001/03/28 10:01,['1981/02/01 00:00'],"['1981/02/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1981/02/01 00:00 [entrez]']",['10.1148/radiology.138.2.7005940 [doi]'],ppublish,Radiology. 1981 Feb;138(2):371-4. doi: 10.1148/radiology.138.2.7005940.,,,,
7005878,NLM,MEDLINE,19810324,20061115,0029-6465 (Print) 0029-6465 (Linking),15,4,1980 Dec,Prevention of infection on the oncology unit.,843-55,"Various combinations of immune deficiency, tumor effect, surgery, ionizing radiation, chemotherapy, and neutropenia result in infection-prone states for hospitalized cancer patients. Recognition of nosocomial infection may be difficult, and fever may be the only finding. Pathogens may be exogenously acquired from the contaminated hospital environment. Transmission by contact with hospital personnel is the usual mode of exogenous acquisition of hospital bacteria, and handwashing is the most effective means of prevention. The utility of conventional protective isolation in prevention of exogenous transmission is in question. Inattention to infection control measures by nurses and physicians may result in higher infection rates and more serious types of infections. Endogenous infection by the patient's own bacteria and fungi also occurs in the cancer ward. Autoinfection is ""amplified"" by the use of cannulae, catheters, and other hospital devices. Meticulous nursing care, particularly in neutropenic persons, is important in reducing the incidence of endogenous spread of microbes. Exogenous and endogenous infections in neutropenic patients are reduced using laminar air flow rooms combined with prophylactic antibiotics. It is still not clear if these expensive measures are effective in prolonging survival of patients with acute leukemia.","['Crane, L R', 'Emmer, D R', 'Grguras, A']","['Crane LR', 'Emmer DR', 'Grguras A']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Nurs Clin North Am,The Nursing clinics of North America,0042033,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/adverse effects', 'Cross Infection/*prevention & control', 'Hospital Units', 'Humans', 'Hygiene', 'Immunocompetence', 'Medical Oncology', 'Neoplasms/drug therapy/immunology/*nursing', 'Patient Isolators/instrumentation', 'Personnel, Hospital']",1980/12/01 00:00,1980/12/01 00:01,['1980/12/01 00:00'],"['1980/12/01 00:00 [pubmed]', '1980/12/01 00:01 [medline]', '1980/12/01 00:00 [entrez]']",,ppublish,Nurs Clin North Am. 1980 Dec;15(4):843-55.,35,,,
7005853,NLM,MEDLINE,19810324,20071115,0031-3939 (Print) 0031-3939 (Linking),55,10,1980 Oct,[Hematological changes in children with neoplasms].,1165-71,,"['Ochocka, M', 'Ciepielewska, D', 'Traczewska, M']","['Ochocka M', 'Ciepielewska D', 'Traczewska M']",['pol'],,"['Journal Article', 'Review']",Poland,Pediatr Pol,Pediatria polska,2985039R,,IM,"['Anemia/*etiology', 'Blood Platelet Disorders/*etiology', 'Bone Marrow/pathology', 'Bone Neoplasms/blood', 'Child', 'Histiocytosis, Langerhans-Cell/blood', 'Hodgkin Disease/blood', 'Humans', 'Leukemia/*blood', 'Leukemia, Lymphoid/blood', 'Leukopenia/*etiology', 'Lymphoma/*blood', 'Neuroblastoma/blood']",1980/10/01 00:00,1980/10/01 00:01,['1980/10/01 00:00'],"['1980/10/01 00:00 [pubmed]', '1980/10/01 00:01 [medline]', '1980/10/01 00:00 [entrez]']",,ppublish,Pediatr Pol. 1980 Oct;55(10):1165-71.,36,,Zmiany hematologiczne w chorobach nowotworowych u dzieci.,
7005841,NLM,MEDLINE,19810324,20091111,0079-0184 (Print) 0079-0184 (Linking),15,Pt 2,1980,Diagnostic electron microscopy in oncology.,241-70,,"['Mackay, B', 'Silva, E G']","['Mackay B', 'Silva EG']",['eng'],,"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", 'Review']",United States,Pathol Annu,Pathology annual,0050610,,IM,"['Adrenal Cortex Neoplasms/ultrastructure', 'Aged', 'Carcinoma/ultrastructure', 'Female', 'Head and Neck Neoplasms/ultrastructure', 'Hemangioma/ultrastructure', 'Humans', 'Kidney Neoplasms/ultrastructure', 'Leukemia, Myeloid/ultrastructure', 'Liposarcoma/ultrastructure', 'Lung Neoplasms/ultrastructure', 'Lymphoma/ultrastructure', 'Male', 'Mediastinal Neoplasms/ultrastructure', 'Melanoma/ultrastructure', '*Microscopy, Electron', 'Middle Aged', 'Neoplasms/*ultrastructure', 'Skin Neoplasms/ultrastructure', 'Soft Tissue Neoplasms/ultrastructure', 'Thyroid Neoplasms/ultrastructure']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",,ppublish,Pathol Annu. 1980;15(Pt 2):241-70.,94,,,
7005786,NLM,MEDLINE,19810317,20180216,0030-2414 (Print) 0030-2414 (Linking),37 Suppl 1,,1980,Biochemical pharmacological determinants of drug action in cancer therapeutics.,28-33,"Based on the hypothesis that the selectivity of the antitumor action of a drug is dependent on a multiplicity of systemic and target cell factors, the role of pharmacokinetics and biotransformation in determining drug bioavailability and the target cell determinants of the action of arabinosylcytosine and of methotrexate are briefly discussed. The modulation of the action of an antimetabolite by a modification of the bioavailability of certain metabolites is mentioned as an approach towards the development of more selective chemotherapy.","['Mihich, E']",['Mihich E'],['eng'],"['CA13038/CA/NCI NIH HHS/United States', 'CA18421/CA/NCI NIH HHS/United States', 'CA21071/CA/NCI NIH HHS/United States', 'etc.']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",Switzerland,Oncology,Oncology,0135054,"['04079A1RDZ (Cytarabine)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Biotransformation', 'Cytarabine/*metabolism', 'Humans', 'Leukemia L1210/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Methotrexate/*metabolism', 'Mice', 'Rats']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",['10.1159/000225494 [doi]'],ppublish,Oncology. 1980;37 Suppl 1:28-33. doi: 10.1159/000225494.,30,,,
7005682,NLM,MEDLINE,19810324,20161025,0028-4793 (Print) 0028-4793 (Linking),304,8,1981 Feb 19,A study of the value of simple protective isolation in patients with granulocytopenia.,448-53,"To assess the value of simple protective isolation, we prospectively compared it with standard hospital care in 43 episodes of severe granulocytopenia, most occurring in patients with acute nonlymphocytic leukemia. Sterilized food and prophylactic oral antibiotics were not used. Twenty episodes in 17 patients were randomized to simple protective isolation (437 days), and 23 episodes in 20 patients to standard care (611 days). No statistically significant differences were observed in the overall incidence of infection, time to onset of first infection, or days with fever. Twenty-seven infections occurred in recipients of standard care (4.42 per 100 days), and 28 infections in isolated patients (6.41 per 100 days). Except for a threefold higher rate of bacteremia in patients in isolation (2.06 vs. 0.65 per 100 days), the profile of infection was similar in the two groups. Neither response to antileukemic therapy nor survival was improved by isolation. We conclude that protective isolation alone, as practiced in most hospitals, appears not to benefit granulocytopenic patients.","['Nauseef, W M', 'Maki, D G']","['Nauseef WM', 'Maki DG']",['eng'],['I01 BX000513/BX/BLRD VA/United States'],"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial']",United States,N Engl J Med,The New England journal of medicine,0255562,,IM,"['Adolescent', 'Adult', 'Aged', 'Agranulocytosis/*complications/microbiology/mortality', 'Bacteria/isolation & purification', 'Clinical Trials as Topic', 'Cross Infection/epidemiology/*prevention & control', 'Female', 'Humans', 'Leukemia/complications', 'Male', 'Middle Aged', 'Patient Isolation/*methods', 'Prospective Studies', 'Random Allocation', 'Sepsis/epidemiology/microbiology']",1981/02/19 00:00,1981/02/19 00:01,['1981/02/19 00:00'],"['1981/02/19 00:00 [pubmed]', '1981/02/19 00:01 [medline]', '1981/02/19 00:00 [entrez]']",['10.1056/NEJM198102193040802 [doi]'],ppublish,N Engl J Med. 1981 Feb 19;304(8):448-53. doi: 10.1056/NEJM198102193040802.,,,,
7005681,NLM,MEDLINE,19810324,20131121,0028-4793 (Print) 0028-4793 (Linking),304,8,1981 Feb 19,Increased incidence of acute leukemia in polycythemia vera associated with chlorambucil therapy.,441-7,"In studies to determine the optimal treatment for polycythemia vera, 431 previously untreated patients whose disease met established diagnostic criteria were entered into a prospective, randomized controlled trial between 1967 and 1974. Three treatment regimens were used: phlebotomy alone, chlorambucil supplemented by phlebotomy, or radioactive phosphorus supplemented by phlebotomy. Despite minor differences in age and sex, the three groups were comparable in initial hematocrit, white-cell and platelet counts, and disease-related symptoms. The median duration of follow-up is now more than 6 1/2 years. As of February 15, 1980, there were no statistically significant differences in survival among the groups. However, the risk of acute leukemia in patients given chlorambucil was 2.3 times that in patients given radioactive phosphorus and 13 times that in patients treated with phlebotomy alone. The increased incidence of leukemia during chlorambucil treatment is statistically significant (P less than or equal to 0.002); accordingly, the Polycythemia Vera Study Group has discontinued the use of chlorambucil in the treatment of polycythemia vera.","['Berk, P D', 'Goldberg, J D', 'Silverstein, M N', 'Weinfeld, A', 'Donovan, P B', 'Ellis, J T', 'Landaw, S A', 'Laszlo, J', 'Najean, Y', 'Pisciotta, A V', 'Wasserman, L R']","['Berk PD', 'Goldberg JD', 'Silverstein MN', 'Weinfeld A', 'Donovan PB', 'Ellis JT', 'Landaw SA', 'Laszlo J', 'Najean Y', 'Pisciotta AV', 'Wasserman LR']",['eng'],['CA-10728/CA/NCI NIH HHS/United States'],"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, U.S. Gov't, P.H.S.""]",United States,N Engl J Med,The New England journal of medicine,0255562,"['0 (Phosphorus Radioisotopes)', '18D0SL7309 (Chlorambucil)']",IM,"['Acute Disease', 'Chlorambucil/administration & dosage/*adverse effects/therapeutic use', 'Clinical Trials as Topic', 'Dose-Response Relationship, Drug', 'Humans', 'Leukemia/*chemically induced/epidemiology', 'Phlebotomus', 'Phosphorus Radioisotopes/therapeutic use', 'Polycythemia Vera/*drug therapy/radiotherapy/therapy', 'Prospective Studies', 'Random Allocation', 'Time Factors']",1981/02/19 00:00,1981/02/19 00:01,['1981/02/19 00:00'],"['1981/02/19 00:00 [pubmed]', '1981/02/19 00:01 [medline]', '1981/02/19 00:00 [entrez]']",['10.1056/NEJM198102193040801 [doi]'],ppublish,N Engl J Med. 1981 Feb 19;304(8):441-7. doi: 10.1056/NEJM198102193040801.,,,,
7005645,NLM,MEDLINE,19810317,20190904,0098-1532 (Print) 0098-1532 (Linking),8,4,1980,Failure of early intensive chemotherapy to improve prognosis in childhood acute lymphocytic leukemia.,383-9,,"['Camitta, B M', 'Pinkel, D', 'Thatcher, L G', 'Casper, J', 'Kun, L E', 'Lauer, S']","['Camitta BM', 'Pinkel D', 'Thatcher LG', 'Casper J', 'Kun LE', 'Lauer S']",['eng'],"['CA 17700/CA/NCI NIH HHS/United States', 'CA 17851/CA/NCI NIH HHS/United States', 'CA 18602/CA/NCI NIH HHS/United States', 'etc.']","['Clinical Trial', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/*administration & dosage/therapeutic use', 'Child', 'Child, Preschool', 'Clinical Trials as Topic', 'Drug Administration Schedule', 'Drug Resistance', 'Drug Therapy, Combination', 'Humans', 'Leukemia, Lymphoid/*drug therapy/pathology', 'Prognosis', 'Random Allocation', 'Recurrence', 'Time Factors']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",['10.1002/mpo.2950080410 [doi]'],ppublish,Med Pediatr Oncol. 1980;8(4):383-9. doi: 10.1002/mpo.2950080410.,,,,
7005644,NLM,MEDLINE,19810317,20190904,0098-1532 (Print) 0098-1532 (Linking),8,4,1980,A randomized study of intermittent chemotherapy with or without BCG inoculation in maintenance therapy of childhood ALL.,353-60,,"['Ekert, H', 'Waters, K D', 'Matthews, R N', 'Tauro, G P', 'Rice, M S', 'Seshadri, R', 'Mauger, D C', 'Tiernan, J R', 'McWhirter, W R', ""O'Regan, P"", 'Olsen, T E', 'Mathews, J D']","['Ekert H', 'Waters KD', 'Matthews RN', 'Tauro GP', 'Rice MS', 'Seshadri R', 'Mauger DC', 'Tiernan JR', 'McWhirter WR', ""O'Regan P"", 'Olsen TE', 'Mathews JD']",['eng'],,"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,"['0 (Antineoplastic Agents)', '0 (BCG Vaccine)']",IM,"['Antineoplastic Agents/*administration & dosage', 'BCG Vaccine/*administration & dosage', 'Child', 'Child, Preschool', 'Clinical Trials as Topic', 'Drug Therapy, Combination', 'Female', 'Humans', 'Immunotherapy', 'Infant', 'Leukemia, Lymphoid/drug therapy/pathology/*therapy', 'Leukocyte Count', 'Male', 'Probability', 'Prognosis', 'Random Allocation', 'Recurrence']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",['10.1002/mpo.2950080406 [doi]'],ppublish,Med Pediatr Oncol. 1980;8(4):353-60. doi: 10.1002/mpo.2950080406.,,,,
7005633,NLM,MEDLINE,19810327,20041117,0025-8466 (Print) 0025-8466 (Linking),33,3,1980 Mar,[Indications for bone marrow transplantation].,65-6,,"['Schwarzmeier, J D']",['Schwarzmeier JD'],['ger'],,['Journal Article'],Germany,Med Lab (Stuttg),Das Medizinische Laboratorium,0375264,,IM,"['Anemia, Aplastic/*therapy', '*Bone Marrow Transplantation', 'Humans', 'Leukemia/*therapy', 'Transplantation, Homologous']",1980/03/01 00:00,1980/03/01 00:01,['1980/03/01 00:00'],"['1980/03/01 00:00 [pubmed]', '1980/03/01 00:01 [medline]', '1980/03/01 00:00 [entrez]']",,ppublish,Med Lab (Stuttg). 1980 Mar;33(3):65-6.,,,Indikationen zur Knochenmarkstransplantation.,
7005502,NLM,MEDLINE,19810327,20071114,0027-8874 (Print) 0027-8874 (Linking),66,1,1981 Jan,Alteration of macrophage function in AKR leukemia.,157-62,"A virally induced T-cell leukemia-lymphoma developed spontaneously in 80% of inbred AKR mice between the ages of 6 and 12 months. Advanced cancer inhibited macrophage accumulation at inflammatory sites, with the degree of inhibition being directly related to the elevation in peripheral white blood cell (WBC) count and inversely correlated with the weight of the tumorous lymph nodes and thymus. Sixty AKR mice were examined biweekly between the ages of 5 1/2 and 10 months; macrophage inflammatory responses were compared with peripheral WBC counts. Depressed macrophage responses were not observed before onset of leukemia but did occur coincidently with or within 2 weeks of each episode of leukemia. The conclusion was reached that an inhibition of macrophage function typically occurred with the onset of spontaneous leukemia and during the terminal phase of illness, but this inhibition did not precede leukemia, was probably not related to lymph node or thymus enlargement, and was not always present despite persistent tumor growth.","['Normann, S J', 'Schardt, M', 'Sorkin, E']","['Normann SJ', 'Schardt M', 'Sorkin E']",['eng'],['CA22517/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,,IM,"['Age Factors', 'Animal Diseases/*immunology', 'Animals', 'Blood Cell Count', 'Immunologic Techniques', 'Leukemia/blood/immunology/*veterinary', 'Lymph Nodes/pathology', 'Macrophages/*immunology', 'Mice', '*Mice, Inbred AKR', 'Organ Size', 'Thymus Neoplasms/immunology/pathology']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1981 Jan;66(1):157-62.,,,,
7005501,NLM,MEDLINE,19810327,20071114,0027-8874 (Print) 0027-8874 (Linking),66,1,1981 Jan,Quantitation of tumor antigen expression on the surface of malignant line Ib lymphocytes by immuno-electron microscopy.,111-9,"Malignant line Ib lymphocytes obtained from strain C58/J mice moribund with the syngeneic, transplantable leukemia were examined by transmission electron microscopy. A large, multilobulated nucleus containing a prominent nucleolus was typically viewed. In addition to normal organelles, cytoplasmic elements included frequent intracisternal A-type virions. The cell membrane possessed pseudopodia, and occasionally C-type viruses were noted budding from the plasma membrane. On the basis of complement-mediated antibody cytotoxicity assays with the use of either antiserum against mouse IgM, antiserum against mouse IgG, or antiserum against Thy 1.2 antigen, Ib cells were characterized as T-cells. Similarly, leukemia lymphocytes were lysed by a highly specific rabbit anti-Ib tumor-associated surface antigen (TASA) in the presence of complement. The density and distribution of TASA on malignant lymphocytes were analyzed by immuno-electron microscopy with the use of a bridging technique in conjunction with antiserum against Ib TASA. The following observations were reported after the examination of more than 100 randomly selected Ib lymphocytes: a) The density of the TASA was low, b) the distribution of the TASA was random, and c) no evidence indicated cell cycle-dependent expression of the TASA.","['Morris, R E', 'Bentley, D M', 'Ciraolo, G M']","['Morris RE', 'Bentley DM', 'Ciraolo GM']",['eng'],['AI14173/AI/NIAID NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Antigens, Neoplasm)', '0 (Antigens, Surface)', '0 (Receptors, Fc)']",IM,"['Animals', 'Antigens, Neoplasm/*analysis', 'Antigens, Surface/analysis', 'Cell Membrane/immunology', 'Immunologic Techniques', 'Leukemia, Experimental/*immunology/ultrastructure', 'Lymphocytes/immunology/metabolism/ultrastructure', 'Male', 'Mice', 'Microscopy, Electron', 'Receptors, Fc/analysis', 'Spleen/pathology/ultrastructure']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1981 Jan;66(1):111-9.,,,,
