PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,PMC,TT,OID,RF,PS,FPS,GN
1184245,NLM,MEDLINE,19760123,20190708,0020-7136 (Print) 0020-7136 (Linking),16,5,1975 Nov 15,A quantitative comparison between in vivo-and in vitro-derived Friend leukemia virus.,819-29,"['Evenson, D P', 'Pla, D M', 'Beju, D', 'de Harven, E']","['Evenson DP', 'Pla DM', 'Beju D', 'de Harven E']",['eng'],"['Comparative Study', 'Journal Article']",United States,Int J Cancer,International journal of cancer,0042124,"['EC 2.7.7.- (DNA Nucleotidyltransferases)', 'EC 2.7.7.6 (DNA-Directed RNA Polymerases)']",IM,"['Animals', 'Cells, Cultured', 'DNA Nucleotidyltransferases/metabolism', 'DNA-Directed RNA Polymerases/metabolism', 'Female', '*Friend murine leukemia virus/enzymology/ultrastructure', 'In Vitro Techniques', 'Inclusion Bodies, Viral', 'Leukemia, Experimental/*microbiology', 'Male', 'Mice', 'Mice, Inbred DBA', 'Organ Size', 'Spleen/anatomy & histology/microbiology', 'Virus Cultivation', '*Virus Replication']",1975/11/15 00:00,1975/11/15 00:01,['1975/11/15 00:00'],"['1975/11/15 00:00 [pubmed]', '1975/11/15 00:01 [medline]', '1975/11/15 00:00 [entrez]']",['10.1002/ijc.2910160514 [doi]'],ppublish,Int J Cancer. 1975 Nov 15;16(5):819-29. doi: 10.1002/ijc.2910160514.,"The biological activities of RNA viruses derived from Friend leukemia cells in culture (TCV) were compared with those of viruses derived from the plasma (PV) of mice infected with Friend leukemia virus (FLV). The comparison was quantitatively based on the actual number of viruses used in each experiment as determined by counting under the electron microscope. Electron microscopy also provided a qualitative assessment of the structural integrity of the concentrated virus particles used in various bioassays. The data shows that the leukemogenic and spleen-focus-forming (SFF) activities of TCV, although demonstrable, are respectively 10(5) and 10(4) lower than those of PV. Moreover, TCV has 10(4) less helper activity (S+L- test) than PV. The level of reverse transcriptase activity is ten times lower in TCV than in PV which indicates that there is little correlation between polymerase activity and the other biological activities measured. The decreased biological activity of the in vitro grown virus is thought to be intrinsic to this type of virus although all extrinsic factors have not been ruled out.",,,,,,,
1184239,NLM,MEDLINE,19760123,20211203,0020-7136 (Print) 0020-7136 (Linking),16,5,1975 Nov 15,Cellular immune reactivity in vitro and tumor rejection provided by tumor-associated antigens of friend-virus-induced leukemia.,701-12,"['Dean, J H', 'McCoy, J L', 'Law, L W', 'Maurer, B A', 'Appella, E']","['Dean JH', 'McCoy JL', 'Law LW', 'Maurer BA', 'Appella E']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Int J Cancer,International journal of cancer,0042124,"['0 (Antigens, Neoplasm)']",IM,"['Animals', '*Antigens, Neoplasm', 'Female', '*Friend murine leukemia virus', '*Graft Rejection', '*Immunity, Cellular', 'Immunization', 'Immunosuppression Therapy', 'In Vitro Techniques', 'Leukemia, Experimental/*immunology', 'Lymphocyte Activation', 'Lymphocytes/immunology', 'Lymphoma/immunology', 'Macrophages/immunology', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Neoplasm Transplantation', 'Neoplasms, Experimental', 'Transplantation Immunology', 'Transplantation, Isogeneic']",1975/11/15 00:00,1975/11/15 00:01,['1975/11/15 00:00'],"['1975/11/15 00:00 [pubmed]', '1975/11/15 00:01 [medline]', '1975/11/15 00:00 [entrez]']",['10.1002/ijc.2910160502 [doi]'],ppublish,Int J Cancer. 1975 Nov 15;16(5):701-12. doi: 10.1002/ijc.2910160502.,"Cell-mediated immunity (CMI) and tumor rejection were studied in the Friend virus leukemia system of C57Bl/6 mice. Mice were immunized with Friend leukemia virus (FLV) or X-irradiated FBL-3 leukemic cells and studied temporally for the development of CMI reactivity by assays of 51Cr release lymphocyte cytotoxicity, lymphocyte transformation, migration inhibition, Winn tumor cell neutralization and transplantation rejection. High levels of specific lymphocyte cytotoxicity were observed by day 7 f0llowing FLV infection; this reactivity reached a peak between 17 and 21 days, and returned to background levels by day 36. Further, positive Winn assays were obtained with spleen cells from mice immunized with FLV at times when the mice resisted live FBL-3 tumor challenge. Positive lymphocyte transformation was obtained with spleen cells from mice immunized with FLV or FBL-3, but not with cells from normal mice or mice immune to a syngeneic methycholanthrene-induced tumor, when cultured with papain-soluble FBL-3 or RBL-5 tumor-cell extracts or mitomycin-C (MMC)-treated FBL-3 or RBL-5 cells. Positive reactivity in the lymphocyte transformation assay occurred after reactivity had peaked in the lymphocyte cytotoxicity test. Similar positive macrophage migration inhibition patterns were also obtained with peritoneal exudate cells (PEC) from FLV-immunized mice using papain-solubilized tumor-associated antigen (TAA) from FBL-3 cells. These data suggest that sequential development and modulation of CMI reactivity occurs as observed in different assays following immunization in this system.",,,,,,,
1183995,NLM,MEDLINE,19760123,20190722,0046-8177 (Print) 0046-8177 (Linking),6,6,1975 Nov,Small cell malignant tumors of the thyroid. A light and electron microscopic study.,731-40,"['Cameron, R G', 'Seemayer, T A', 'Wang, N S', 'Ahmed, M N', 'Tabah, E J']","['Cameron RG', 'Seemayer TA', 'Wang NS', 'Ahmed MN', 'Tabah EJ']",['eng'],"['Case Reports', 'Journal Article']",United States,Hum Pathol,Human pathology,9421547,,IM,"['Aged', 'Carcinoma/*pathology', 'Female', 'Humans', 'Male', 'Middle Aged', 'Thyroid Neoplasms/*pathology']",1975/11/01 00:00,1975/11/01 00:01,['1975/11/01 00:00'],"['1975/11/01 00:00 [pubmed]', '1975/11/01 00:01 [medline]', '1975/11/01 00:00 [entrez]']","['S0046-8177(75)80081-5 [pii]', '10.1016/s0046-8177(75)80081-5 [doi]']",ppublish,Hum Pathol. 1975 Nov;6(6):731-40. doi: 10.1016/s0046-8177(75)80081-5.,"Three small cell malignant tumors involving the thyroid gland were examined by light and electron microscopy. In each, numerous similarities were presented on light microscopic analysis rendering interpretation difficult. In the first patient the small cells were identified on electron microscopy as moderately well differentiated lymphocytes. This tumor occurred in an elderly woman as a locally invasive thyroid tumor, subsequently involving distant sites, including the liver, spleen, lymph nodes, and soft tissue. The tumor repeatedly regressed following radiotherapy. The patients eventually died with disseminated lymphocytic lymphoma. In the second patient the thyroid tumor, also locally invasive, was composed principally of neoplastic epithelial cells when studied on electron microscopy. This patient responded poorly to radiation and died within a year after diagnosis. The third patient presented with an enlarging thyroid mass, which ultrastructurally was found to be composed principally of well differentiated lymphocytes. Subsequent clinical evaluation established a diagnosis of chronic lymphocytic leukemia. Small cell malignant tumors of the thyroid represent a difficult diagnosis problem for surgical pathologists. Ultrastructural study, we believe, is a useful adjunct in the differentiation of these tumors.",,,,,,,
1183899,NLM,MEDLINE,19760126,20061115,0015-5616 (Print) 0015-5616 (Linking),17,2,1975,[Leukemia in the Cracow region. General characterization].,125-34,"['Janicki, K']",['Janicki K'],['pol'],"['English Abstract', 'Journal Article']",Poland,Folia Med Cracov,Folia medica Cracoviensia,0374617,,IM,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Female', 'Humans', 'Leukemia/*epidemiology', 'Male', 'Middle Aged', 'Poland', 'Sex Factors']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",,ppublish,Folia Med Cracov. 1975;17(2):125-34.,,,Ogolna charakterystyka zachorowalnosci na bialaczki w regionie krakowskim w latach 1951-1968,,,,,
1183780,NLM,MEDLINE,19760114,20141003,0016-450X (Print) 0016-450X (Linking),66,4,1975 Aug,Inhibitory effect of a streptococcal preparation (OK-432) on induction of splenomegaly by Friend leukemia virus.,455-6,"['Suzuki, S', 'Yamamoto, A', 'Ogawa, H']","['Suzuki S', 'Yamamoto A', 'Ogawa H']",['eng'],['Journal Article'],Japan,Gan,Gan,0151745,['0 (Antineoplastic Agents)'],IM,"['Animals', 'Antineoplastic Agents/isolation & purification/*therapeutic use', '*Friend murine leukemia virus', 'Mice', 'Splenomegaly/*prevention & control', 'Streptococcus/*analysis']",1975/08/01 00:00,1975/08/01 00:01,['1975/08/01 00:00'],"['1975/08/01 00:00 [pubmed]', '1975/08/01 00:01 [medline]', '1975/08/01 00:00 [entrez]']",,ppublish,Gan. 1975 Aug;66(4):455-6.,,,,,,,,
1183242,NLM,MEDLINE,19760114,20180216,0009-3157 (Print) 0009-3157 (Linking),21,6,1975,Uptake of 5-iododeoxyuridine as a measure of tumor growth and tumor inhibition.,321-9,"['Bonmassar, E', 'Houchens, D P', 'Fioretti, M C', 'Goldin, A']","['Bonmassar E', 'Houchens DP', 'Fioretti MC', 'Goldin A']",['eng'],['Journal Article'],Switzerland,Chemotherapy,Chemotherapy,0144731,"['0 (DNA, Neoplasm)', '8N3DW7272P (Cyclophosphamide)', 'LGP81V5245 (Idoxuridine)', 'U68WG3173Y (Carmustine)']",IM,"['Animals', 'Carmustine/pharmacology', 'Cell Transformation, Neoplastic/drug effects', 'Cyclophosphamide/pharmacology', 'DNA, Neoplasm/biosynthesis', 'Female', 'Idoxuridine/*metabolism', 'Leukemia L1210/metabolism', 'Leukemia, Experimental/metabolism', 'Liver/metabolism', 'Lung/metabolism', 'Lymphoma/metabolism', 'Male', 'Mice', 'Mice, Inbred AKR', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'Mice, Inbred DBA', 'Neoplasm Transplantation', 'Neoplasms, Experimental/*metabolism', 'Neoplasms, Radiation-Induced/metabolism', 'Spleen/metabolism', 'Transplantation, Homologous']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",['10.1159/000221877 [doi]'],ppublish,Chemotherapy. 1975;21(6):321-9. doi: 10.1159/000221877.,"The DNA synthesis of tumor cells in spleen, lung and liver of mice bearing spontaneous or transplanted lymphomas or Lewis lung carcinoma was determined by measuring the uptake of 5-iododeoxyuridine labeled with iodine-125 (125IUdR). An in vitro uptake method was also developed to assess 125IUdR uptake of peripheral blood of leukemic animals. A direct relationship was found between isotope uptake values and the extent of neoplastic growth. The 125IUdR uptake method was found to be applicable to determination of inhibition of tumor growth in drug-treated animals and in pre-sensitized allogeneic hosts and to measurement of regression in non-sensitized allogeneic mice.",,,,,,,
1182706,NLM,MEDLINE,19760110,20131121,0008-5472 (Print) 0008-5472 (Linking),35,11 Pt 1,1975 Nov,Isolation of cis- and trans-4-methylcyclophosphamide and antitumor evaluation in vivo.,3160-3,"['Struck, R F', 'Thorpe, M C', 'Coburn, W C Jr', 'Kirk, M C']","['Struck RF', 'Thorpe MC', 'Coburn WC Jr', 'Kirk MC']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,['8N3DW7272P (Cyclophosphamide)'],IM,"['Animals', 'Chromatography, Gel', 'Chromatography, Thin Layer', 'Cyclophosphamide/*analogs & derivatives/isolation & purification/therapeutic use', 'Leukemia L1210/*drug therapy', 'Mice', 'Microsomes, Liver/drug effects']",1975/11/11 19:15,2001/03/28 10:01,['1975/11/11 19:15'],"['1975/11/11 19:15 [pubmed]', '2001/03/28 10:01 [medline]', '1975/11/11 19:15 [entrez]']",,ppublish,Cancer Res. 1975 Nov;35(11 Pt 1):3160-3.,"4-Methylcyclophosphamide was synthesized and separated into cis and trans isomers by column chromatography. Isolation of these isomers permitted individual evaluation against murine leukemia L1210 in vivo and assessment of possible differences in antileukemic activity. Results indicate no appreciable difference in activity of the isomers, suggesting essentially equal facility for activation by mouse liver microsomes in vivo.",,,,,,,
1182699,NLM,MEDLINE,19760110,20031114,0008-5472 (Print) 0008-5472 (Linking),35,11 Pt 1,1975 Nov,Enhancement of spontaneous C3H/HeJ mammary tumorigenesis by long-term polyadenylic-polyuridylic acid therapy.,3051-3,"['Drake, W P', 'Pendergrast, W J Jr', 'Kramer, R E', 'Mardiney, M R Jr']","['Drake WP', 'Pendergrast WJ Jr', 'Kramer RE', 'Mardiney MR Jr']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,['24936-38-7 (Poly A-U)'],IM,"['Animals', 'Female', 'Injections, Subcutaneous', 'Mammary Neoplasms, Experimental/*chemically induced', 'Mice', 'Mice, Inbred C3H', '*Poly A-U/administration & dosage', 'Stimulation, Chemical', 'Time Factors']",1975/11/11 19:15,2001/03/28 10:01,['1975/11/11 19:15'],"['1975/11/11 19:15 [pubmed]', '2001/03/28 10:01 [medline]', '1975/11/11 19:15 [entrez]']",,ppublish,Cancer Res. 1975 Nov;35(11 Pt 1):3051-3.,"Female C3H/HeJ mice received weekly s.c. injections of 2 mg polyadenylic-polyuridylic acid. Therapy was initiated at either 2 or 9 months of age. In both cases, poly-adenylic-polyuridylic acid-treated animals developed the spontaneous mammary carcinoma associated with this strain more rapidly. Because the opposite result was formerly observed for AKR spontaneous leukemia, the data indicate the polyadenylic-polyuridylic acid has no generalized antineoplastic effect upon spontaneous tumors genetically associated with specific murine strains.",,,,,,,
1182678,NLM,MEDLINE,19760202,20190619,0008-543X (Print) 0008-543X (Linking),36,3,1975 Sep,Hyperkalemia complicating splenic irradiation of chronic lymphocytic leukemia.,926-30,"['Kurlander, R', 'Stein, R S', 'Roth, D']","['Kurlander R', 'Stein RS', 'Roth D']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,,IM,"['Enema', 'Female', 'Humans', 'Hyperkalemia/*etiology/therapy', 'Leukemia, Lymphoid/*radiotherapy', 'Middle Aged', 'Radiotherapy/*adverse effects', 'Spleen']",1975/09/01 00:00,1975/09/01 00:01,['1975/09/01 00:00'],"['1975/09/01 00:00 [pubmed]', '1975/09/01 00:01 [medline]', '1975/09/01 00:00 [entrez]']",['10.1002/1097-0142(197509)36:3<926::aid-cncr2820360313>3.0.co;2-g [doi]'],ppublish,Cancer. 1975 Sep;36(3):926-30. doi: 10.1002/1097-0142(197509)36:3<926::aid-cncr2820360313>3.0.co;2-g.,"Hyperkalemia is an infrequent complication of the therapy of malignant disease. In previously reported cases, hyperkalemia following the institution of chemotherapy has been associated with acute renal failure. In this report, we present a patient with chronic lymphocytic leukemia who developed hyperkalemia following splenic irradiation. Necrosis of tumor cells, either as direct or an abscopal effect appears to be implicated as a cause of hyperkalemia. It seems appropriate to monitor potassium levels when therapy of a responsive tumor is instituted.",,,,,,,
1182675,NLM,MEDLINE,19760202,20190619,0008-543X (Print) 0008-543X (Linking),36,3,1975 Sep,The role of cytosine arabinoside maintenance in acute nonlymphoblastic leukemia.,855-60,"['Grozea, P N', 'Bottonley, R H', 'Shaw, M T', 'Tu, H', 'Chanes, R E', 'Condit, P T']","['Grozea PN', 'Bottonley RH', 'Shaw MT', 'Tu H', 'Chanes RE', 'Condit PT']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,"['04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', 'EC 3.2.1.17 (Muramidase)', 'VB0R961HZT (Prednisone)']",IM,"['Acute Disease', 'Adolescent', 'Adult', 'Age Factors', 'Aged', 'Bone Marrow Diseases/chemically induced', 'Child', 'Cytarabine/adverse effects/*therapeutic use', 'Drug Therapy, Combination', 'Female', 'Follow-Up Studies', 'Humans', 'Leukemia/*drug therapy/urine', 'Middle Aged', 'Muramidase/urine', 'Prednisone/therapeutic use', 'Vincristine/therapeutic use']",1975/09/01 00:00,1975/09/01 00:01,['1975/09/01 00:00'],"['1975/09/01 00:00 [pubmed]', '1975/09/01 00:01 [medline]', '1975/09/01 00:00 [entrez]']",['10.1002/1097-0142(197509)36:3<855::aid-cncr2820360304>3.0.co;2-h [doi]'],ppublish,Cancer. 1975 Sep;36(3):855-60. doi: 10.1002/1097-0142(197509)36:3<855::aid-cncr2820360304>3.0.co;2-h.,"A series of 30 unselected patients with acute nonlymphoblastic leukemia (ANLL) was treated with combination chemotherapy, including three courses of cytosine arabinoside (Ara-C) by 5-day continuous i.v. infusion, vincristine i.v. weekly, and prednisone daily to complete remission. Ara-C was administered alone as a 5-day continuous i.v. infusion monthly for maintenance. Ten (33%) achieved a complete remission (CR). The remaining 30 (67%), including temporary partial remissions, hematologic improvements, inadequate trials, and early deaths, were all considered failures. The CR rate was 57% in those 17 cases receiving an adequate trial. After After 5 1/2 years' followup, the overall median survival, including cases failing to achieve CR, was 3.1 months. For those having adequate trials the median survival was 16.6 months, and for those achieving a CR, 36.6 months. Two patients are still alive, one at 55.2 months on maintenance therapy, and the other at 62.8 months, currently unmaintained.",,,,,,,
1182672,NLM,MEDLINE,19760202,20190619,0008-543X (Print) 0008-543X (Linking),36,3,1975 Sep,Nonevaluable patients in clinical cancer research.,1169-73,"['Block, J B', 'Schneiderman, M', 'Chalmers, T C', 'Lee, S']","['Block JB', 'Schneiderman M', 'Chalmers TC', 'Lee S']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,,IM,"['Acute Disease', 'Evaluation Studies as Topic', 'Follow-Up Studies', 'Leukemia/drug therapy', 'Neoplasms/*drug therapy']",1975/09/01 00:00,1975/09/01 00:01,['1975/09/01 00:00'],"['1975/09/01 00:00 [pubmed]', '1975/09/01 00:01 [medline]', '1975/09/01 00:00 [entrez]']",['10.1002/1097-0142(197509)36:3<1169::aid-cncr2820360352>3.0.co;2-d [doi]'],ppublish,Cancer. 1975 Sep;36(3):1169-73. doi: 10.1002/1097-0142(197509)36:3<1169::aid-cncr2820360352>3.0.co;2-d.,"Analysis of controlled and uncontrolled published papers in clinical cancer therapy has revealed differences in patient data handling, which may reflect both the inherent biases of patient selection for uncontrolled studies and the primary purpose of such studies. A distinction between drug-data oriented research and patient oriented research was advanced to explain these results. If comparable results are to be developed, we urge controlled trials at all phases of treatment development.",,,,,,,
1182118,NLM,MEDLINE,19760130,20190613,0006-2960 (Print) 0006-2960 (Linking),14,22,1975 Nov 4,Purification of murine thymus leukemia antigen (TL). A quantitative assessment of limited proteolysis.,4792-6,"['Wolcott, M', 'Stanton, T H', 'Williams, J L', 'Bennett, J C']","['Wolcott M', 'Stanton TH', 'Williams JL', 'Bennett JC']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Biochemistry,Biochemistry,0370623,"['0 (Antigens)', 'EC 3.4.22.2 (Papain)']",IM,"['Animals', 'Antigens/*analysis', 'Cell Line', 'Cell Survival', 'Chromatography, DEAE-Cellulose', 'Chromatography, Gel', 'Leukemia, Experimental/*immunology', 'Mice', 'Molecular Weight', 'Papain', 'Thymus Gland/analysis/*immunology']",1975/11/04 00:00,1975/11/04 00:01,['1975/11/04 00:00'],"['1975/11/04 00:00 [pubmed]', '1975/11/04 00:01 [medline]', '1975/11/04 00:00 [entrez]']",['10.1021/bi00693a003 [doi]'],ppublish,Biochemistry. 1975 Nov 4;14(22):4792-6. doi: 10.1021/bi00693a003.,"The murine thymus leukemia antigen (TL) has been solubilized from the tumor ASL1 and from an established cell line ASL1W, by papain digestion. When a 15-min digest was chromatographed on Sephadex G-200, two peaks of TL activity were eluted with apparent molecular weights of approximately 58,000 and 31,000. Chromatography of a 30-min digest under the same conditions resulted in elution of a single peak of activity with an apparent molecular weight of 58,000. Additional purification was carried out on the 58,000 molecular weight material by absorption to, and elution from DEAE-cellulose. The combination of gel filtration and ion exchange chromatography resulted in approximately a 150-fold purification.",,,,,,,
1181236,NLM,MEDLINE,19760108,20141003,0016-450X (Print) 0016-450X (Linking),66,3,1975 Jun,Letter: Antitumor activities of 3-(methyl-alpha-D-glucopyranos-2-yl)-1-(2-chloroethyl)-1-nitrosourea.,347-8,"['Iwasaki, M', 'Okawa, H', 'Ninomiya, K', 'Sekine, J', 'Nagamatsu, Y']","['Iwasaki M', 'Okawa H', 'Ninomiya K', 'Sekine J', 'Nagamatsu Y']",['eng'],['Journal Article'],Japan,Gan,Gan,0151745,"['0 (Antineoplastic Agents)', '0 (Methylglucosides)', '0 (Nitrosourea Compounds)']",IM,"['Adenocarcinoma/drug therapy', 'Animals', 'Antineoplastic Agents/*therapeutic use', 'Carcinoma, Ehrlich Tumor/drug therapy', 'Leukemia L1210/drug therapy', 'Methylglucosides/therapeutic use', 'Mice', 'Neoplasms, Experimental/*drug therapy', 'Nitrosourea Compounds/*therapeutic use', 'Sarcoma, Experimental/drug therapy']",1975/06/01 00:00,1975/06/01 00:01,['1975/06/01 00:00'],"['1975/06/01 00:00 [pubmed]', '1975/06/01 00:01 [medline]', '1975/06/01 00:00 [entrez]']",,ppublish,Gan. 1975 Jun;66(3):347-8.,,,,,,,,
1180973,NLM,MEDLINE,19760108,20041117,0300-0893 (Print) 0300-0893 (Linking),22,1,1975 Jan,"Role of macrophages in immunity, with special reference to tumour immunology. A review.",25-34,"['Lejeune, F J']",['Lejeune FJ'],['eng'],['Journal Article'],France,Biomedicine,Biomedicine / [publiee pour l'A.A.I.C.I.G.],0361342,,IM,"['Animals', 'Antibody Formation', 'Cell Migration Inhibition', 'Cytotoxicity Tests, Immunologic', 'Humans', 'Hypersensitivity, Delayed', 'Immunotherapy', 'Leukemia/therapy', 'Lymphocyte Activation', 'Macrophages/*immunology/ultrastructure', 'Neoplasm Transplantation', 'Neoplasms/*immunology', 'Phagocytosis', 'Pinocytosis']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",,ppublish,Biomedicine. 1975 Jan;22(1):25-34.,"It seems that macrophages, which are present in most tissues, are involved in many steps of the immune reaction. They are essential for initiating the response and they assist the lymphocytes in several ways. By themselves, they play an important role in the immune surveillance and in tumour immunology. The behaviour of macrophages is strongly influenced by lymphocytes. However macrophages are equipped with a special machinery, including an active membrane and a developed lysosomal system. A lot remains to be done on its functions and on the trigger mechanisms.",,,,,,,
1180772,NLM,MEDLINE,19751218,20190718,0005-0423 (Print) 0005-0423 (Linking),51,7,1975 Jul,Causes of disease in two commercial flocks of laying hens.,337-43,"['Grimes, T M']",['Grimes TM'],['eng'],['Journal Article'],England,Aust Vet J,Australian veterinary journal,0370616,,IM,"['Animals', 'Avian Leukosis/epidemiology', '*Chickens', 'Cloaca', 'Dehydration/epidemiology/veterinary', 'Fatty Liver/epidemiology/veterinary', 'Female', 'Genital Diseases, Female/epidemiology/veterinary', 'Hemangioma/epidemiology/veterinary', 'Marek Disease/epidemiology', 'Poultry Diseases/*epidemiology', 'Sarcoma/epidemiology/veterinary', 'Starvation/epidemiology/veterinary']",1975/07/01 00:00,1975/07/01 00:01,['1975/07/01 00:00'],"['1975/07/01 00:00 [pubmed]', '1975/07/01 00:01 [medline]', '1975/07/01 00:00 [entrez]']",['10.1111/j.1751-0813.1975.tb15942.x [doi]'],ppublish,Aust Vet J. 1975 Jul;51(7):337-43. doi: 10.1111/j.1751-0813.1975.tb15942.x.,"Laboratory examination of all birds that were culled or died during an eight-month period in two commerical laying flocks was performed to reveal the causes of disease and their prevalence. The average weekly total of diseased birds was greater in one flock (60-69) than the other (27-37). This resulted mainly from a high incidence in the former flock of leucoses and sarcomas, although losses due to fatty liver syndrome, prolapse and cannibalism and cage layer fatigue were also marginally greater in this flock than the second. Haemangiomas occurred more frequently in the flock with the higher disease level. A total of 273 hens of the 2,000 examined from this flock had single or multiple haemangiomas. Special features of the major causes of disease were outlined and discussed. A conclusion made from this study was that histopathological examination is necessary for accurate diagnosis of avian tumours.",,,,,,,
1180542,NLM,MEDLINE,19760102,20210526,0066-4804 (Print) 0066-4804 (Linking),8,2,1975 Aug,"Fermentation, isolation, and antitumor activity of sterigmatocystins.",159-63,"['Bradner, W T', 'Bush, J A', 'Myllymaki, R W', 'Nettleton, D E Jr', ""O'Herron, F A""]","['Bradner WT', 'Bush JA', 'Myllymaki RW', 'Nettleton DE Jr', ""O'Herron FA""]",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Antimicrob Agents Chemother,Antimicrobial agents and chemotherapy,0315061,"['0 (5-methoxysterigmatocystin)', '0 (Xanthenes)', '10048-13-2 (Sterigmatocystin)']",IM,"['Animals', 'Aspergillus/metabolism', 'Fermentation', 'Leukemia L1210/drug therapy', 'Leukemia, Experimental/drug therapy', 'Mice', 'Sterigmatocystin/*analogs & derivatives/biosynthesis/isolation & purification/therapeutic use', '*Xanthenes']",1975/08/11 19:15,2001/03/28 10:01,['1975/08/11 19:15'],"['1975/08/11 19:15 [pubmed]', '2001/03/28 10:01 [medline]', '1975/08/11 19:15 [entrez]']",['10.1128/AAC.8.2.159 [doi]'],ppublish,Antimicrob Agents Chemother. 1975 Aug;8(2):159-63. doi: 10.1128/AAC.8.2.159.,"In a screening program for antitumor substances from microbial fermentations, a compound was isolated from the mycelium of an Aspergillus species which proved to be the mycotoxin 5-methoxysterigmatocystin. This and the subsequently isolated sterigmatocystin gave significant inhibition of the transplanted mouse leukemias P-388 and L-1210. Preparation and testing of several derivatives of 5-methoxysterigmatocystin suggest that certain functions in the molecule are essential for tumor inhibition. Although slight antitumor effects have been reported for the chemically related aflatoxins, we believe this is the first report of antitumor activity of sterigmatocystins.",PMC429283,,,,,,
1180508,NLM,MEDLINE,19760102,20061115,0300-4910 (Print) 0300-4910 (Linking),126,3,1975 Apr,"[Proceedings: Comparative reactivity of lymphocytes in normal and leukemic subjects before and after treatment with neuraminidase, in regard to cytotoxic allo-antiserums].",368,"['de Mouzon, A', 'Oskman, F', 'Ohayon, E', 'Ducos, J']","['de Mouzon A', 'Oskman F', 'Ohayon E', 'Ducos J']",['fre'],"['Comparative Study', 'Journal Article']",France,Ann Immunol (Paris),Annales d'immunologie,0353045,"['0 (Isoantibodies)', 'EC 3.2.1.18 (Neuraminidase)']",IM,"['Antibody Formation', 'Cell Membrane/immunology', '*Cytotoxicity Tests, Immunologic', 'Humans', '*Isoantibodies', 'Leukemia/*immunology', 'Lymphocytes/*immunology', '*Neuraminidase']",1975/04/01 00:00,1975/04/01 00:01,['1975/04/01 00:00'],"['1975/04/01 00:00 [pubmed]', '1975/04/01 00:01 [medline]', '1975/04/01 00:00 [entrez]']",,ppublish,Ann Immunol (Paris). 1975 Apr;126(3):368.,,,"Reactivite comparee de lymphocytes provenant de sujets normaux et leucemiques avant et aprees traitement par la neuraminidase, a l'egard d'allo-serums cytotoxiques",,,,,
