PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,GS,MH,PMC,EDAT,MHDA,CRDT,PHST,PST,SO,SI,GR,AID,RF,TT,RIN,EIN,CIN,OID,OAB,OABL,OTO,OT,GN,CON
1288734,NLM,MEDLINE,19930325,20190911,0959-4973 (Print) 0959-4973 (Linking),3,6,1992 Dec,Synergistic cytotoxicity of combinations of dimethyl sulfoxide and antineoplastic agents against P388 leukemia in CD-F1 mice.,635-9,"We have reported that dimethyl sulfoxide (DMSO) and antineoplastic agents exhibit synergistic cytotoxicity against human tumors in vitro. This study was undertaken to investigate this effect in vivo. Groups of mice were given intraperitoneal (i.p.) injections of P388 leukemia cells. Groups were treated with i.p. injections of either saline, DMSO alone, mitoxantrone hydrochloride (DHAD) alone, methotrexate alone, DHAD in DMSO or methotrexate in DMSO. Combinations of DMSO and DHAD produced 46-61% increases above expected survival, demonstrating synergistic cytotoxicity in vivo. Following confirmatory animal studies, trials utilizing i.p. delivery of antineoplastics in DMSO as treatment for peritoneal tumors should be undertaken.","['Pommier, R F', 'Woltering, E A', 'Milo, G', 'Fletcher, W S']","['Pommier RF', 'Woltering EA', 'Milo G', 'Fletcher WS']","['Department of Surgery, Oregon Health Sciences University, Portland 97201-3098.']",['eng'],['Journal Article'],England,Anticancer Drugs,Anti-cancer drugs,9100823,"['0 (Antineoplastic Agents)', 'BZ114NVM5P (Mitoxantrone)', 'YL5FZ2Y5U1 (Methotrexate)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,,"['Animals', 'Antineoplastic Agents/*pharmacology', 'Cell Survival/drug effects', 'Dimethyl Sulfoxide/*pharmacology', 'Drug Synergism', 'Leukemia P388/*drug therapy/pathology', 'Methotrexate/pharmacology', 'Mice', 'Mice, Inbred Strains', 'Mitoxantrone/pharmacology', 'Tumor Cells, Cultured/drug effects']",,1992/12/01 00:00,1992/12/01 00:01,['1992/12/01 00:00'],"['1992/12/01 00:00 [pubmed]', '1992/12/01 00:01 [medline]', '1992/12/01 00:00 [entrez]']",ppublish,Anticancer Drugs. 1992 Dec;3(6):635-9. doi: 10.1097/00001813-199212000-00012.,,,['10.1097/00001813-199212000-00012 [doi]'],,,,,,,,,,,,
1288501,NLM,MEDLINE,19930315,20131121,0158-5231 (Print) 0158-5231 (Linking),28,5,1992 Dec,In vitro transfer of N-acetylglucosamine to endogenous glycoprotein acceptors catalyzed by the nucleus and the cytoplasmic membranes prepared from L1210 cells.,905-20,The non-nuclear membranes and the nuclei prepared from L1210 cells catalyze the in vitro transfer of N-acetyl(14C)glucosamine from UDP-N-acetyl(14C)glucosamine to endogenous glycoprotein acceptors. Adequate analysis of these acceptors have demonstrated that the nucleus has its own N-acetylglucosaminyltransferase system that leads to the formation of N-N'-diacetylchitobiosylated proteins.,"['Frot-Coutaz, J', 'Degiuli, A', 'Letoublon, R', 'Vila, J']","['Frot-Coutaz J', 'Degiuli A', 'Letoublon R', 'Vila J']","['Laboratoire de Biochimie des Membranes, Universite Claude Bernard, Lyon, Villeurbanne, France.']",['eng'],['Journal Article'],Australia,Biochem Int,Biochemistry international,8100311,"['0 (Disaccharides)', '0 (Glucans)', '0 (Glycoproteins)', '0 (Nuclear Proteins)', '2706-64-1 (N,N-diacetylchitobiose)', 'V956696549 (Acetylglucosamine)']",IM,,"['Acetylglucosamine/*metabolism', 'Animals', 'Catalysis', 'Cell Nucleus/*enzymology', '*Disaccharides', 'Electrophoresis', 'Glucans/metabolism', 'Glycoproteins/*metabolism', 'Intracellular Membranes/*enzymology', 'Leukemia L1210', 'Mice', 'Microscopy, Electron', 'Nuclear Proteins/*metabolism', 'Tumor Cells, Cultured']",,1992/12/01 00:00,1992/12/01 00:01,['1992/12/01 00:00'],"['1992/12/01 00:00 [pubmed]', '1992/12/01 00:01 [medline]', '1992/12/01 00:00 [entrez]']",ppublish,Biochem Int. 1992 Dec;28(5):905-20.,,,,,,,,,,,,,,,
1288449,NLM,MEDLINE,19930312,20051116,0003-9764 (Print) 0003-9764 (Linking),49,8,1992 Oct,[The future of children cured from leukemia].,677-9,,"['Tron, P', 'Vannier, J P']","['Tron P', 'Vannier JP']",,['fre'],"['Editorial', 'Review']",France,Arch Fr Pediatr,Archives francaises de pediatrie,0372421,,IM,,"['Acute Disease', 'Child', 'Endocrine System Diseases/etiology', 'Growth Disorders/etiology', 'Heart Diseases/etiology', 'Humans', 'Leukemia/*complications/therapy', 'Nervous System Diseases/etiology/psychology', 'Prognosis', 'Remission Induction', 'Treatment Outcome']",,1992/10/01 00:00,1992/10/01 00:01,['1992/10/01 00:00'],"['1992/10/01 00:00 [pubmed]', '1992/10/01 00:01 [medline]', '1992/10/01 00:00 [entrez]']",ppublish,Arch Fr Pediatr. 1992 Oct;49(8):677-9.,,,,24,L'avenir de l'enfant gueri de leucemie.,,,,,,,,,,
1288302,NLM,MEDLINE,19930315,20190819,0361-8609 (Print) 0361-8609 (Linking),41,4,1992 Dec,"Case report: all-trans retinoic acid, hyperleukocytosis, and marrow infarction.",305-6,,"['Lopez, P', 'Hayne, O']","['Lopez P', 'Hayne O']",,['eng'],['Letter'],United States,Am J Hematol,American journal of hematology,7610369,['5688UTC01R (Tretinoin)'],IM,,"['Bone Marrow/*blood supply', 'Humans', 'Infarction/*chemically induced', 'Leukemia, Promyelocytic, Acute/*drug therapy', 'Leukocytosis/*chemically induced', 'Male', 'Middle Aged', 'Pancytopenia/chemically induced', 'Tretinoin/*adverse effects/therapeutic use']",,1992/12/01 00:00,1992/12/01 00:01,['1992/12/01 00:00'],"['1992/12/01 00:00 [pubmed]', '1992/12/01 00:01 [medline]', '1992/12/01 00:00 [entrez]']",ppublish,Am J Hematol. 1992 Dec;41(4):305-6. doi: 10.1002/ajh.2830410426.,,,['10.1002/ajh.2830410426 [doi]'],,,,,,,,,,,,
1288300,NLM,MEDLINE,19930315,20190819,0361-8609 (Print) 0361-8609 (Linking),41,4,1992 Dec,Chronic neutrophilic leukemia: case report documenting the absence of bcr-abl rearrangement.,304,,"['Storek, J']",['Storek J'],,['eng'],"['Case Reports', 'Letter']",United States,Am J Hematol,American journal of hematology,7610369,"['EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,,"['*Fusion Proteins, bcr-abl', '*Gene Rearrangement', 'Humans', 'Leukemia, Neutrophilic, Chronic/*genetics', 'Male', 'Middle Aged']",,1992/12/01 00:00,1992/12/01 00:01,['1992/12/01 00:00'],"['1992/12/01 00:00 [pubmed]', '1992/12/01 00:01 [medline]', '1992/12/01 00:00 [entrez]']",ppublish,Am J Hematol. 1992 Dec;41(4):304. doi: 10.1002/ajh.2830410424.,,,['10.1002/ajh.2830410424 [doi]'],,,,,,,,,,,,
1288293,NLM,MEDLINE,19930315,20190819,0361-8609 (Print) 0361-8609 (Linking),41,4,1992 Dec,Cerebral infarction in a patient with acute lymphoblastic leukemia after fresh-frozen plasma replacement during L-asparaginase therapy.,295-6,,"['Ishii, H', 'Oh, H', 'Ishizuka, N', 'Matsuura, Y', 'Nakamura, H', 'Asai, T', 'Yoshida, S']","['Ishii H', 'Oh H', 'Ishizuka N', 'Matsuura Y', 'Nakamura H', 'Asai T', 'Yoshida S']",,['eng'],"['Case Reports', 'Letter']",United States,Am J Hematol,American journal of hematology,7610369,['EC 3.5.1.1 (Asparaginase)'],IM,,"['Adolescent', 'Asparaginase/*therapeutic use', '*Blood Transfusion', 'Cerebral Infarction/*etiology', 'Female', 'Humans', 'Plasma', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/*therapy']",,1992/12/01 00:00,1992/12/01 00:01,['1992/12/01 00:00'],"['1992/12/01 00:00 [pubmed]', '1992/12/01 00:01 [medline]', '1992/12/01 00:00 [entrez]']",ppublish,Am J Hematol. 1992 Dec;41(4):295-6. doi: 10.1002/ajh.2830410415.,,,['10.1002/ajh.2830410415 [doi]'],,,,,,,,,,,,
1288292,NLM,MEDLINE,19930315,20211203,0361-8609 (Print) 0361-8609 (Linking),41,4,1992 Dec,Adult T-cell leukemia developing during immunosuppressive treatment in a renal transplant recipient.,292-4,"We report a case of a 32-year-old male, an asymptomatic carrier of human T-cell leukemia virus type 1 (HTLV-1), who underwent a renal transplantation and developed adult T-cell leukemia (ATL) during the course of posttransplant immunosuppressive treatment. He was treated with combination chemotherapies consisting of cyclophosphamide, vincristine, doxorubicin, prednisolone, cisplatin, cytosine arabinoside, etoposide, and methyl-prednisolone, without any improvement. Bestrabucil (KM2210), a conjugate of chlorambucil and estradiol, was administered as an alternative therapy; this therapy successfully suppressed his leukemic cell growth, and partial remission was achieved. Posttransplant immunosuppressive therapy with prednisolone, mizoribine, and cyclosporin A might have been the predominant cause of the transition from an asymptomatic HTLV-1 infection to overt ATL. A careful approach is required with HTLV-1 asymptomatic carriers who need organ transplantation followed by immunosuppressive treatment.","['Tsurumi, H', 'Tani, K', 'Tsuruta, T', 'Shirato, R', 'Matsudaira, T', 'Tojo, A', 'Wada, C', 'Uchida, H', 'Ozawa, K', 'Asano, S']","['Tsurumi H', 'Tani K', 'Tsuruta T', 'Shirato R', 'Matsudaira T', 'Tojo A', 'Wada C', 'Uchida H', 'Ozawa K', 'Asano S']","['Department of Hematology/Oncology, University of Tokyo, Japan.']",['eng'],"['Case Reports', 'Journal Article']",United States,Am J Hematol,American journal of hematology,7610369,"['0 (Antineoplastic Agents)', '18D0SL7309 (Chlorambucil)', '4TI98Z838E (Estradiol)', '75219-46-4 (bestrabucil)']",IM,,"['Adult', 'Antineoplastic Agents/therapeutic use', 'Carrier State', 'Chlorambucil/analogs & derivatives/therapeutic use', 'Estradiol/analogs & derivatives/therapeutic use', 'Humans', 'Immunosuppression Therapy/*adverse effects', '*Kidney Transplantation', 'Leukemia-Lymphoma, Adult T-Cell/drug therapy/*etiology', 'Male']",,1992/12/01 00:00,1992/12/01 00:01,['1992/12/01 00:00'],"['1992/12/01 00:00 [pubmed]', '1992/12/01 00:01 [medline]', '1992/12/01 00:00 [entrez]']",ppublish,Am J Hematol. 1992 Dec;41(4):292-4. doi: 10.1002/ajh.2830410414.,,,['10.1002/ajh.2830410414 [doi]'],,,,,,,,,,,,
1288288,NLM,MEDLINE,19930315,20190819,0361-8609 (Print) 0361-8609 (Linking),41,4,1992 Dec,Interleukin-2 production by primary adult T cell leukemia tumor cells is macrophage dependent.,258-63,"We have investigated the cellular requirements for IL-2 production by autocrine proliferating tumor cells from four patients with adult T cell leukemia (ATL). Cultures of these ATL cells both produced endogenous IL-2 protein in the absence of added mitogen and proliferated at higher levels when exogenous recombinant IL-2 was added. Depletion of macrophages in the tumor cell cultures resulted in a sharp decline in tumor cell IL-2 production, while re-addition of macrophages reconstituted this response. Macrophage-derived factors including IL-6 and IL-1 also reconstituted IL-2 production in these macrophage depleted cultures. These results raise the possibility that macrophages may play a central role in HTLV-I mediated immortalization of T cells.","['Arima, N', 'Daitoku, Y', 'Hidaka, S', 'Yamamoto, Y', 'Fujimoto, K', 'Matsushita, K', 'Ohtsubo, H', 'Fukumori, J', 'Tanaka, H', 'Onoue, K']","['Arima N', 'Daitoku Y', 'Hidaka S', 'Yamamoto Y', 'Fujimoto K', 'Matsushita K', 'Ohtsubo H', 'Fukumori J', 'Tanaka H', 'Onoue K']","['First Department of Internal Medicine, Faculty of Medicine, Kagoshima University, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Hematol,American journal of hematology,7610369,"['0 (Interleukin-2)', '0 (RNA, Messenger)', '0 (RNA, Neoplasm)']",IM,,"['Blotting, Northern', 'Cellular Senescence', 'Humans', 'Interleukin-2/*biosynthesis/genetics', 'Leukemia, T-Cell/*metabolism/pathology/physiopathology', 'Macrophages/*physiology', 'RNA, Messenger/analysis', 'RNA, Neoplasm/analysis', 'Reference Values', 'T-Lymphocytes/metabolism', 'Time Factors', 'Tumor Cells, Cultured']",,1992/12/01 00:00,1992/12/01 00:01,['1992/12/01 00:00'],"['1992/12/01 00:00 [pubmed]', '1992/12/01 00:01 [medline]', '1992/12/01 00:00 [entrez]']",ppublish,Am J Hematol. 1992 Dec;41(4):258-63. doi: 10.1002/ajh.2830410407.,,,['10.1002/ajh.2830410407 [doi]'],,,,,,,,,,,,
1288285,NLM,MEDLINE,19930315,20190819,0361-8609 (Print) 0361-8609 (Linking),41,4,1992 Dec,Cytogenic characterization of primary refractory anemia.,241-8,"Refractory anemia (RA) is the only myelodysplastic syndrome (MDS) devoid of quantitative marrow diagnostic criteria. The diagnosis rests mainly on the subjective identification of qualitative abnormalities according to the French-American-British criteria (FAB) involving one or more bone marrow hematopoietic cell lineages. The occurrence of nonrandom chromosome abnormalities remains the hallmark of the disease and the only means of investigation which confirms the disease objectively. With the purpose in mind to further characterize RA among MDS, we have undertaken a prospective high resolution banding chromosome analyses of bone marrow cells in patients with primary refractory anemia (PRA) with the aim of defining a cytogenetic phenotype and of assessing the clinical relevance of clonal abnormalities at initial diagnosis. Of 39 patients consecutively referred for chromosome analyses with a diagnosis of RA according to the FAB criteria, 27 patients had PRA and fulfilled our criteria for adequate chromosome analyses. Median age was 68 years. Fourteen of 27 patients (52%) had clonal chromosomal abnormalities at diagnosis. None of the patients showed a complex karyotype; 9/14 (64%) had a mixture of normal and abnormal cells. Interstitial or terminal deletions, involving chromosomes 5, 6, 7, 9, 11, 12, and 20, were found in 11/14 (79%) of the patients. Comparison of survival between patients with and without abnormalities showed no difference. The presence of clonal abnormalities did not predict transformation to acute myeloblastic leukemia (AML) nor was it associated with poor survival. In this study, patients with PRA were found to have a predominant pseudodiploid karyotypic pattern characterized by interstitial and/or terminal deletions as opposed to derivatives, specific and non-specific balanced translocations, or other structural and numerical abnormalities. We were unable to reveal any prognostic significance to the presence of these clonal abnormalities at initial diagnosis.","['Gyger, M', ""D'Angelo, G"", 'Belanger, R', 'Forest, L', 'Lussier, P', 'Busque, L', 'Perreault, C', 'Boileau, J', 'Bonny, Y', 'Lavallee, R']","['Gyger M', ""D'Angelo G"", 'Belanger R', 'Forest L', 'Lussier P', 'Busque L', 'Perreault C', 'Boileau J', 'Bonny Y', 'Lavallee R', 'et al.']","['Department of Hematology, Maisonneuve-Rosemont Hospital, Montreal, Quebec, Canada.']",['eng'],['Journal Article'],United States,Am J Hematol,American journal of hematology,7610369,,IM,,"['Adult', 'Aged', 'Aged, 80 and over', 'Anemia, Refractory/diagnosis/*genetics/mortality', 'Bone Marrow/physiopathology', 'Chromosome Aberrations/genetics', 'Chromosome Deletion', 'Chromosome Disorders', 'Cytogenetics/*methods', 'Erythropoiesis', 'Female', 'Humans', 'Male', 'Middle Aged', 'Survival Analysis']",,1992/12/01 00:00,1992/12/01 00:01,['1992/12/01 00:00'],"['1992/12/01 00:00 [pubmed]', '1992/12/01 00:01 [medline]', '1992/12/01 00:00 [entrez]']",ppublish,Am J Hematol. 1992 Dec;41(4):241-8. doi: 10.1002/ajh.2830410404.,,,['10.1002/ajh.2830410404 [doi]'],,,,,,,,,,,,
1288248,NLM,MEDLINE,19930315,20041117,0309-3913 (Print) 0309-3913 (Linking),21,1,1992 Oct,Socio-economic class distribution of the prognostic variants of lymphoproliferative cancers in Nigerians.,79-83,"One hundred and twenty Nigerians with various lymphoproliferative cancers were grouped according to socio-economic class and the prognosis of their disease. The best prognostic variant of acute lymphoblastic leukaemia occurred mainly in the highest socio-economic class and the worst variant mostly in the low socio-economic class. Chronic lymphocytic leukaemia, a low grade malignancy, and the high grade Burkitt's type of Non-Hodgkin's lymphoma occurred predominantly in the low class. The relationship between prognosis and socio-economic class was not so remarkable in patients with Hodgkin's disease and multiple myeloma. The precise mechanisms by which socio-economic strata influence development of the different prognostic variants of individual lymphoproliferative cancers are not certain.","['Okpala, I E', 'Okpala, J U']","['Okpala IE', 'Okpala JU']","['Department of Haematology, University College Hospital Ibadan, Nigeria.']",['eng'],['Journal Article'],Nigeria,Afr J Med Med Sci,African journal of medicine and medical sciences,7801013,,IM,,"['Adolescent', 'Adult', 'Aged', 'Child', 'Child, Preschool', 'Educational Status', 'Female', 'Hospitals, University', 'Humans', 'Infant', 'Lymphoproliferative Disorders/classification/*epidemiology/etiology', 'Male', 'Middle Aged', 'Nigeria/epidemiology', 'Occupations', 'Prognosis', 'Socioeconomic Factors']",,1992/10/01 00:00,1992/10/01 00:01,['1992/10/01 00:00'],"['1992/10/01 00:00 [pubmed]', '1992/10/01 00:01 [medline]', '1992/10/01 00:00 [entrez]']",ppublish,Afr J Med Med Sci. 1992 Oct;21(1):79-83.,,,,,,,,,,,,,,,
